,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,1.0,105,0,12,7,0,1,0,0,0,0
1,6,74,37,2,4.0,1.0,95,0,12,7,0,1,5,3,0,0
2,10,76,38,4,8.0,1.0,105,1,14,8,2,2,0,0,1,1
3,14,69,34,9,12.0,1.0,95,1,7,4,7,5,0,0,-1,0
4,18,66,32,6,16.0,1.0,105,2,4,2,4,3,-3,-2,-1,-1
5,22,67,33,7,20.0,1.0,95,2,5,3,5,4,1,1,1,0
6,26,69,34,9,24.0,1.0,105,3,7,4,7,5,2,1,1,1
7,30,81,41,9,28.0,1.0,95,3,19,11,7,5,3,2,1,2
8,34,74,37,2,32.0,1.0,105,4,12,7,0,1,-4,-2,-1,1
9,40,74,37,2,36.0,1.0,95,4,12,7,0,1,5,3,0,1
10,44,76,38,4,40.0,1.0,105,5,14,8,2,2,0,0,1,2
11,48,69,34,9,44.0,1.0,95,5,7,4,7,5,0,0,-1,1
12,52,66,32,6,48.0,1.0,105,6,4,2,4,3,-3,-2,-1,0
13,56,67,33,7,52.0,1.0,95,6,5,3,5,4,1,1,1,1
14,60,81,41,9,56.0,1.0,105,7,19,11,7,5,3,2,1,2
15,64,74,37,2,60.0,2.0,95,7,12,7,0,1,-4,-2,-1,1
16,65,74,37,2,64.0,1.0,105,8,12,7,0,1,0,0,0,1
17,71,74,37,2,68.0,1.0,95,8,12,7,0,1,5,3,0,1
18,75,76,38,4,72.0,1.0,105,9,14,8,2,2,0,0,1,2
19,79,69,34,9,76.0,1.0,95,9,7,4,7,5,0,0,-1,1
20,83,66,32,6,80.0,1.0,105,10,4,2,4,3,-3,-2,-1,0
21,87,67,33,7,84.0,1.0,95,10,5,3,5,4,1,1,1,1
22,91,69,34,9,88.0,1.0,105,11,7,4,7,5,2,1,1,2
23,95,81,41,9,92.0,1.0,95,11,19,11,7,5,3,2,1,3
24,99,74,37,2,96.0,1.0,105,12,12,7,0,1,-4,-2,-1,2
25,105,74,37,2,100.0,1.0,95,12,12,7,0,1,5,3,0,2
26,109,76,38,4,104.0,1.0,105,13,14,8,2,2,0,0,1,3
27,113,69,34,9,108.0,1.0,95,13,7,4,7,5,0,0,-1,2
28,117,66,32,6,112.0,1.0,105,14,4,2,4,3,-3,-2,-1,1
29,121,67,33,7,116.0,1.0,95,14,5,3,5,4,1,1,1,2
30,125,81,41,9,120.0,1.0,105,15,19,11,7,5,3,2,1,3
31,129,74,37,2,124.0,1.0,95,15,12,7,0,1,-4,-2,-1,2
32,134,79,40,7,128.0,3.0,105,16,17,10,5,4,5,3,1,3
33,136,79,40,7,132.0,1.0,95,16,17,10,5,4,1,1,0,3
34,140,78,39,6,136.0,2.0,105,17,16,9,4,3,-1,-1,-1,2
35,143,67,33,7,140.0,1.0,95,17,5,3,5,4,-2,-1,-1,1
36,149,66,32,6,144.0,1.0,105,18,4,2,4,3,-3,-2,-1,0
37,154,67,33,7,148.0,1.0,95,18,5,3,5,4,-2,-1,1,1
38,158,67,33,7,152.0,1.0,105,19,5,3,5,4,-2,-1,0,1
39,162,69,34,9,156.0,1.0,95,19,7,4,7,5,-4,-2,1,2
40,167,79,40,7,160.0,3.0,105,20,17,10,5,4,5,3,1,3
41,169,79,40,7,164.0,1.0,95,20,17,10,5,4,1,1,0,3
42,173,78,39,6,168.0,2.0,105,21,16,9,4,3,-1,-1,-1,2
43,176,67,33,7,172.0,1.0,95,21,5,3,5,4,-2,-1,-1,1
44,182,66,32,6,176.0,1.0,105,22,4,2,4,3,-3,-2,-1,0
45,186,67,33,7,180.0,1.0,95,22,5,3,5,4,1,1,1,1
46,190,81,41,9,184.0,1.0,105,23,19,11,7,5,3,2,1,2
47,194,74,37,2,188.0,2.0,95,23,12,7,0,1,-4,-2,-1,1
48,195,79,40,7,192.0,3.0,105,24,17,10,5,4,5,3,1,2
49,197,79,40,7,196.0,1.0,95,24,17,10,5,4,1,1,0,2
50,201,78,39,6,200.0,2.0,105,25,16,9,4,3,-1,-1,-1,1
51,204,67,33,7,204.0,1.0,95,25,5,3,5,4,-2,-1,-1,0
52,210,66,32,6,208.0,1.0,105,26,4,2,4,3,-3,-2,-1,-1
53,215,67,33,7,212.0,1.0,95,26,5,3,5,4,-2,-1,1,0
54,219,67,33,7,216.0,1.0,105,27,5,3,5,4,-2,-1,0,0
55,223,69,34,9,220.0,1.0,95,27,7,4,7,5,-4,-2,1,1
56,228,79,40,7,224.0,3.0,105,28,17,10,5,4,5,3,1,2
57,230,79,40,7,228.0,1.0,95,28,17,10,5,4,1,1,0,2
58,234,78,39,6,232.0,2.0,105,29,16,9,4,3,-1,-1,-1,1
59,237,67,33,7,236.0,1.0,95,29,5,3,5,4,-2,-1,-1,0
60,243,66,32,6,240.0,1.0,105,30,4,2,4,3,-3,-2,-1,-1
61,247,67,33,7,244.0,1.0,95,30,5,3,5,4,1,1,1,0
62,251,81,41,9,248.0,1.0,105,31,19,11,7,5,3,2,1,1
63,255,74,37,2,252.0,2.0,95,31,12,7,0,1,-4,-2,-1,0
64,257,76,38,4,256.0,1.0,95,31,14,8,2,2,-2,-1,1,1
