,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,2.0,1.5,105,0,12,7,0,1,0,0,0,0
1,6,69,34,9,6.0,2.0,95,0,7,4,7,5,-2,-1,-1,-1
2,9,64,31,4,10.0,1.5,105,1,2,1,2,2,-2,-1,-1,-2
3,13,69,34,9,14.0,2.0,95,1,7,4,7,5,2,1,1,-1
4,17,74,37,2,18.0,1.5,105,2,12,7,0,1,1,1,1,0
5,21,74,37,2,22.0,1.5,95,2,12,7,0,1,3,2,0,0
6,25,74,37,2,26.0,6.0,105,3,12,7,0,1,1,1,0,0
7,28,74,37,2,34.0,1.5,105,4,12,7,0,1,-2,-1,0,0
8,32,69,34,9,38.0,2.0,95,4,7,4,7,5,-2,-1,-1,-1
9,35,64,31,4,42.0,1.5,105,5,2,1,2,2,-2,-1,-1,-2
10,39,69,34,9,46.0,2.0,95,5,7,4,7,5,2,1,1,-1
11,43,74,37,2,50.0,1.5,105,6,12,7,0,1,1,1,1,0
12,47,74,37,2,54.0,1.5,95,6,12,7,0,1,3,2,0,0
13,51,74,37,2,58.0,6.0,105,7,12,7,0,1,1,1,0,0
14,54,78,39,6,66.0,2.0,105,8,16,9,4,3,2,1,1,1
15,56,78,39,6,70.0,2.0,95,8,16,9,4,3,0,0,0,1
16,59,79,40,7,74.0,1.5,105,9,17,10,5,4,1,1,1,2
17,62,76,38,4,78.0,4.0,95,9,14,8,2,2,0,0,-1,1
18,63,74,37,2,82.0,2.0,105,10,12,7,0,1,-2,-1,-1,0
19,65,74,37,2,86.0,2.0,95,10,12,7,0,1,0,0,0,0
20,68,73,36,1,90.0,1.5,105,11,11,6,11,7,-1,-1,-1,-1
21,71,69,34,9,94.0,2.0,95,11,7,4,7,5,0,0,-1,-2
22,75,74,37,2,98.0,0.67,105,12,12,7,0,1,1,1,1,-1
23,81,71,35,11,102.0,1.5,95,12,9,5,9,6,2,1,-1,-2
24,84,74,37,2,106.0,0.67,105,13,12,7,0,1,0,0,1,-1
25,90,71,35,11,110.0,1.5,95,13,9,5,9,6,2,1,-1,-2
26,94,76,38,4,114.0,2.0,105,14,14,8,2,2,-2,-1,1,-1
27,98,81,41,9,118.0,2.0,95,14,19,11,7,5,2,1,1,0
28,102,74,37,2,122.0,2.0,105,15,12,7,0,1,1,1,-1,-1
29,104,74,37,2,126.0,2.0,95,15,12,7,0,1,-4,-2,0,-1
