,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,1.0,105,0,12,7,0,1,0,0,0,0
1,4,74,37,2,4.0,1.0,95,0,12,7,0,1,0,0,0,0
2,7,76,38,4,7.0,1.0,105,1,14,8,2,2,2,1,1,1
3,10,81,41,9,10.0,1.0,95,1,19,11,7,5,2,1,1,2
4,13,71,35,11,13.0,1.0,105,2,9,5,9,6,-3,-2,-1,1
5,16,79,40,7,16.0,1.0,95,2,17,10,5,4,1,1,1,2
6,19,73,36,1,19.0,1.0,105,3,11,6,11,7,-1,-1,-1,1
7,22,69,34,9,22.0,1.0,95,3,7,4,7,5,-4,-2,-1,0
8,25,74,37,2,25.0,1.0,105,4,12,7,0,1,1,1,1,1
9,28,74,37,2,28.0,1.0,95,4,12,7,0,1,0,0,0,1
10,31,76,38,4,31.0,1.0,105,5,14,8,2,2,2,1,1,2
11,34,81,41,9,34.0,1.0,95,5,19,11,7,5,2,1,1,3
12,37,74,37,2,37.0,1.0,105,6,12,7,0,1,0,0,-1,2
13,40,76,38,4,40.0,1.0,95,6,14,8,2,2,-2,-1,1,3
14,43,74,37,2,43.0,3.0,105,7,12,7,0,1,1,1,-1,2
15,44,62,30,2,46.0,2.0,95,7,0,0,0,1,-12,-7,-1,1
16,46,74,37,2,49.0,1.0,105,8,12,7,0,1,5,3,1,2
17,49,74,37,2,52.0,1.0,95,8,12,7,0,1,0,0,0,2
18,52,76,38,4,55.0,1.0,105,9,14,8,2,2,2,1,1,3
19,55,81,41,9,58.0,1.0,95,9,19,11,7,5,2,1,1,4
20,58,71,35,11,61.0,1.0,105,10,9,5,9,6,-3,-2,-1,3
21,61,79,40,7,64.0,1.0,95,10,17,10,5,4,1,1,1,4
22,64,73,36,1,67.0,1.0,105,11,11,6,11,7,-1,-1,-1,3
23,67,69,34,9,70.0,1.0,95,11,7,4,7,5,-4,-2,-1,2
24,70,74,37,2,73.0,1.0,105,12,12,7,0,1,1,1,1,3
25,73,74,37,2,76.0,1.0,95,12,12,7,0,1,0,0,0,3
26,76,76,38,4,79.0,1.0,105,13,14,8,2,2,2,1,1,4
27,79,81,41,9,82.0,1.0,95,13,19,11,7,5,2,1,1,5
28,82,74,37,2,85.0,1.0,105,14,12,7,0,1,0,0,-1,4
29,85,76,38,4,88.0,1.0,95,14,14,8,2,2,-2,-1,1,5
30,88,74,37,2,91.0,3.0,105,15,12,7,0,1,1,1,-1,4
31,89,62,30,2,94.0,2.0,95,15,0,0,0,1,-12,-7,-1,3
32,91,69,34,9,97.0,1.0,105,16,7,4,7,5,0,0,1,4
33,94,67,33,7,100.0,1.0,95,16,5,3,5,4,1,1,-1,3
34,97,62,30,2,103.0,1.0,105,17,0,0,0,1,-2,-1,-1,2
35,100,73,36,1,106.0,1.0,95,17,11,6,11,7,-1,-1,1,3
36,103,74,37,2,109.0,1.0,105,18,12,7,0,1,-2,-1,1,4
37,106,78,39,6,112.0,1.0,95,18,16,9,4,3,0,0,1,5
38,109,73,36,1,115.0,1.0,105,19,11,6,11,7,-1,-1,-1,4
39,112,73,36,1,118.0,1.0,95,19,11,6,11,7,-1,-1,0,4
40,115,69,34,9,121.0,1.0,105,20,7,4,7,5,2,1,-1,3
41,118,67,33,7,124.0,1.0,95,20,5,3,5,4,1,1,-1,2
42,121,62,30,2,127.0,1.0,105,21,0,0,0,1,-2,-1,-1,1
43,124,73,36,1,130.0,1.0,95,21,11,6,11,7,-1,-1,1,2
44,127,74,37,2,133.0,1.0,105,22,12,7,0,1,-2,-1,1,3
45,130,78,39,6,136.0,1.0,95,22,16,9,4,3,0,0,1,4
46,133,79,40,7,139.0,1.0,105,23,17,10,5,4,1,1,1,5
47,136,74,37,2,142.0,2.0,95,23,12,7,0,1,1,1,-1,4
48,138,69,34,9,145.0,1.0,105,24,7,4,7,5,0,0,-1,3
49,141,67,33,7,148.0,1.0,95,24,5,3,5,4,1,1,-1,2
50,144,62,30,2,151.0,1.0,105,25,0,0,0,1,-2,-1,-1,1
51,147,73,36,1,154.0,1.0,95,25,11,6,11,7,-1,-1,1,2
52,150,74,37,2,157.0,1.0,105,26,12,7,0,1,-2,-1,1,3
53,153,78,39,6,160.0,1.0,95,26,16,9,4,3,0,0,1,4
54,156,73,36,1,163.0,1.0,105,27,11,6,11,7,-1,-1,-1,3
55,159,73,36,1,166.0,1.0,95,27,11,6,11,7,-1,-1,0,3
56,162,69,34,9,169.0,1.0,105,28,7,4,7,5,2,1,-1,2
57,165,67,33,7,172.0,1.0,95,28,5,3,5,4,1,1,-1,1
