,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,0.67,105,0,0,0,0,1,0,0,0,0
1,4,74,37,2,2.0,0.5,105,1,12,7,0,1,5,3,1,1
2,10,67,33,7,6.0,1.0,105,2,5,3,5,4,1,1,-1,0
3,13,69,34,9,8.0,0.5,105,3,7,4,7,5,2,1,1,1
4,18,74,37,2,10.0,0.5,105,4,12,7,0,1,5,3,1,2
5,24,64,31,4,14.0,0.5,105,5,2,1,2,2,-2,-1,-1,1
6,29,69,34,9,16.0,0.5,105,6,7,4,7,5,-2,-1,1,2
7,34,74,37,2,18.0,0.5,105,7,12,7,0,1,5,3,1,3
8,40,67,33,7,22.0,1.0,105,8,5,3,5,4,1,1,-1,2
9,43,69,34,9,24.0,0.5,105,9,7,4,7,5,2,1,1,3
10,48,74,37,2,26.0,0.5,105,10,12,7,0,1,5,3,1,4
11,54,64,31,4,30.0,0.5,105,11,2,1,2,2,-2,-1,-1,3
12,62,73,36,1,34.0,0.5,105,12,11,6,11,7,-1,-1,1,4
13,68,71,35,11,38.0,0.5,105,13,9,5,9,6,-3,-2,-1,3
14,72,74,37,2,40.0,0.67,105,14,12,7,0,1,8,5,1,4
15,76,73,36,1,42.0,0.5,105,15,11,6,11,7,-1,-1,-1,3
16,80,71,35,11,44.0,0.5,105,16,9,5,9,6,2,1,-1,2
17,85,76,38,4,46.0,0.5,105,17,14,8,2,2,2,1,1,3
18,89,74,37,2,48.0,0.67,105,18,12,7,0,1,-2,-1,-1,2
19,93,73,36,1,50.0,0.5,105,19,11,6,11,7,-1,-1,-1,1
20,99,71,35,11,54.0,0.5,105,20,9,5,9,6,-3,-2,-1,0
21,104,81,41,9,56.0,0.5,105,21,19,11,7,5,2,1,1,1
22,108,78,39,6,58.0,0.5,105,22,16,9,4,3,2,1,-1,0
23,114,64,31,4,62.0,0.5,105,23,2,1,2,2,-2,-1,-1,-1
