,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,2.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,59,28,11,5.0,1.0,95,0,-8,-5,4,3,-8,-5,-1,-1
2,8,71,35,11,8.0,1.0,105,1,4,2,4,3,4,2,1,0
3,11,74,37,2,11.0,1.0,95,1,7,4,7,5,0,0,1,1
4,14,76,38,4,14.0,1.0,105,2,9,5,9,6,9,5,1,2
5,17,57,27,9,17.0,1.0,95,2,-10,-6,2,2,-12,-7,-1,1
6,20,69,34,9,20.0,1.0,105,3,2,1,2,2,5,3,1,2
7,23,79,40,7,23.0,1.0,95,3,12,7,0,1,3,2,1,3
8,26,74,37,2,26.0,1.0,105,4,7,4,7,5,-2,-1,-1,2
9,29,59,28,11,29.0,1.0,95,4,-8,-5,4,3,-8,-5,-1,1
10,32,71,35,11,32.0,1.0,105,5,4,2,4,3,4,2,1,2
11,35,74,37,2,35.0,1.0,95,5,7,4,7,5,0,0,1,3
12,38,69,34,9,38.0,1.0,105,6,2,1,2,2,-2,-1,-1,2
13,41,81,41,9,41.0,1.0,95,6,14,8,2,2,5,3,1,3
14,44,78,39,6,44.0,1.0,105,7,11,6,11,7,4,2,-1,2
15,47,74,37,2,47.0,1.0,95,7,7,4,7,5,0,0,-1,1
16,50,74,37,2,50.0,1.0,105,8,7,4,7,5,-2,-1,0,1
17,53,59,28,11,53.0,1.0,95,8,-8,-5,4,3,-8,-5,-1,0
18,56,71,35,11,56.0,1.0,105,9,4,2,4,3,4,2,1,1
19,59,74,37,2,59.0,1.0,95,9,7,4,7,5,0,0,1,2
20,62,76,38,4,62.0,1.0,105,10,9,5,9,6,9,5,1,3
21,65,57,27,9,65.0,1.0,95,10,-10,-6,2,2,-12,-7,-1,2
22,68,69,34,9,68.0,1.0,105,11,2,1,2,2,5,3,1,3
23,71,79,40,7,71.0,1.0,95,11,12,7,0,1,3,2,1,4
24,74,74,37,2,74.0,1.0,105,12,7,4,7,5,-2,-1,-1,3
25,77,59,28,11,77.0,1.0,95,12,-8,-5,4,3,-8,-5,-1,2
26,80,71,35,11,80.0,1.0,105,13,4,2,4,3,4,2,1,3
27,83,74,37,2,83.0,1.0,95,13,7,4,7,5,0,0,1,4
28,86,69,34,9,86.0,1.0,105,14,2,1,2,2,-2,-1,-1,3
29,89,81,41,9,89.0,1.0,95,14,14,8,2,2,5,3,1,4
30,92,78,39,6,92.0,1.0,105,15,11,6,11,7,4,2,-1,3
31,95,74,37,2,95.0,1.0,95,15,7,4,7,5,0,0,-1,2
32,98,79,40,7,98.0,1.0,105,16,12,7,0,1,1,1,1,3
33,101,78,39,6,101.0,1.0,95,16,11,6,11,7,-3,-2,-1,2
34,104,76,38,4,104.0,1.0,105,17,9,5,9,6,-3,-2,-1,1
35,107,74,37,2,107.0,1.0,95,17,7,4,7,5,-2,-1,-1,0
36,110,67,33,7,110.0,1.0,105,18,0,0,0,1,0,0,-1,-1
37,113,79,40,7,113.0,1.0,95,18,12,7,0,1,5,3,1,0
38,116,74,37,2,116.0,1.0,105,19,7,4,7,5,-2,-1,-1,-1
39,119,67,33,7,119.0,1.0,95,19,0,0,0,1,0,0,-1,-2
40,122,79,40,7,122.0,1.0,105,20,12,7,0,1,5,3,1,-1
41,125,78,39,6,125.0,1.0,95,20,11,6,11,7,-3,-2,-1,-2
42,128,76,38,4,128.0,1.0,105,21,9,5,9,6,-3,-2,-1,-3
43,131,74,37,2,131.0,1.0,95,21,7,4,7,5,-2,-1,-1,-4
44,134,69,34,9,134.0,1.0,105,22,2,1,2,2,-2,-1,-1,-5
45,137,81,41,9,137.0,1.0,95,22,14,8,2,2,5,3,1,-4
46,140,78,39,6,140.0,1.0,105,23,11,6,11,7,4,2,-1,-5
47,143,74,37,2,143.0,1.0,95,23,7,4,7,5,0,0,-1,-6
48,146,79,40,7,146.0,1.0,105,24,12,7,0,1,1,1,1,-5
49,149,78,39,6,149.0,1.0,95,24,11,6,11,7,-3,-2,-1,-6
50,152,76,38,4,152.0,1.0,105,25,9,5,9,6,-3,-2,-1,-7
51,155,74,37,2,155.0,1.0,95,25,7,4,7,5,-2,-1,-1,-8
52,158,67,33,7,158.0,1.0,105,26,0,0,0,1,0,0,-1,-9
53,161,79,40,7,161.0,1.0,95,26,12,7,0,1,5,3,1,-8
54,164,74,37,2,164.0,1.0,105,27,7,4,7,5,-2,-1,-1,-9
55,167,67,33,7,167.0,1.0,95,27,0,0,0,1,0,0,-1,-10
56,170,79,40,7,170.0,1.0,105,28,12,7,0,1,5,3,1,-9
57,173,78,39,6,173.0,1.0,95,28,11,6,11,7,-3,-2,-1,-10
58,176,76,38,4,176.0,1.0,105,29,9,5,9,6,-3,-2,-1,-11
59,179,74,37,2,179.0,1.0,95,29,7,4,7,5,-2,-1,-1,-12
60,182,69,34,9,182.0,1.0,105,30,2,1,2,2,-2,-1,-1,-13
61,185,81,41,9,185.0,1.0,95,30,14,8,2,2,5,3,1,-12
62,188,78,39,6,188.0,1.0,105,31,11,6,11,7,4,2,-1,-13
63,191,74,37,2,191.0,1.0,95,31,7,4,7,5,0,0,-1,-14
64,194,71,35,11,194.0,1.0,105,32,4,2,4,3,-1,-1,-1,-15
65,197,74,37,2,197.0,1.0,95,32,7,4,7,5,1,1,1,-14
66,200,81,41,9,200.0,1.0,105,33,14,8,2,2,3,2,1,-13
67,203,78,39,6,203.0,1.0,95,33,11,6,11,7,4,2,-1,-14
68,206,74,37,2,206.0,1.0,105,34,7,4,7,5,-1,-1,-1,-15
69,209,81,41,9,209.0,1.0,95,34,14,8,2,2,3,2,1,-14
70,212,78,39,6,212.0,1.0,105,35,11,6,11,7,4,2,-1,-15
71,215,83,42,11,215.0,1.0,95,35,16,9,4,3,9,5,1,-14
72,218,74,37,2,218.0,1.0,105,36,7,4,7,5,-2,-1,-1,-15
73,221,81,41,9,221.0,1.0,95,36,14,8,2,2,3,2,1,-14
74,224,71,35,11,224.0,1.0,105,37,4,2,4,3,-3,-2,-1,-15
75,227,79,40,7,227.0,1.0,95,37,12,7,0,1,0,0,1,-14
76,230,69,34,9,230.0,1.0,105,38,2,1,2,2,-2,-1,-1,-15
77,233,81,41,9,233.0,1.0,95,38,14,8,2,2,5,3,1,-14
78,236,78,39,6,236.0,1.0,105,39,11,6,11,7,4,2,-1,-15
79,239,74,37,2,239.0,1.0,95,39,7,4,7,5,0,0,-1,-16
80,242,71,35,11,242.0,1.0,105,40,4,2,4,3,-1,-1,-1,-17
81,245,74,37,2,245.0,1.0,95,40,7,4,7,5,1,1,1,-16
82,248,81,41,9,248.0,1.0,105,41,14,8,2,2,3,2,1,-15
83,251,78,39,6,251.0,1.0,95,41,11,6,11,7,4,2,-1,-16
84,254,74,37,2,254.0,1.0,105,42,7,4,7,5,-1,-1,-1,-17
85,257,81,41,9,257.0,1.0,95,42,14,8,2,2,3,2,1,-16
86,260,78,39,6,260.0,1.0,105,43,11,6,11,7,4,2,-1,-17
87,263,83,42,11,263.0,1.0,95,43,16,9,4,3,9,5,1,-16
88,266,74,37,2,266.0,1.0,105,44,7,4,7,5,-2,-1,-1,-17
89,269,81,41,9,269.0,1.0,95,44,14,8,2,2,3,2,1,-16
90,272,71,35,11,272.0,1.0,105,45,4,2,4,3,-3,-2,-1,-17
91,275,79,40,7,275.0,1.0,95,45,12,7,0,1,0,0,1,-16
92,278,69,34,9,278.0,1.0,105,46,2,1,2,2,-2,-1,-1,-17
93,281,81,41,9,281.0,1.0,95,46,14,8,2,2,5,3,1,-16
94,284,78,39,6,284.0,1.0,105,47,11,6,11,7,4,2,-1,-17
95,287,74,37,2,287.0,1.0,95,47,7,4,7,5,0,0,-1,-18
