,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,66,32,6,1.0,0.5,105,0,4,2,4,3,0,0,0,0
1,5,74,37,2,4.0,2.0,95,0,12,7,0,1,8,5,1,1
2,7,74,37,2,7.0,2.0,95,0,12,7,0,1,5,3,0,1
3,9,71,35,11,10.0,0.5,105,1,9,5,9,6,2,1,-1,0
4,13,69,34,9,13.0,1.0,95,1,7,4,7,5,-2,-1,-1,-1
5,16,64,31,4,16.0,2.0,95,1,2,1,2,2,2,1,-1,-2
6,18,66,32,6,19.0,0.5,105,2,4,2,4,3,-1,-1,1,-1
7,22,74,37,2,22.0,2.0,95,2,12,7,0,1,8,5,1,0
8,24,74,37,2,25.0,2.0,95,2,12,7,0,1,5,3,0,0
9,26,78,39,6,28.0,0.5,105,3,16,9,4,3,-1,-1,1,1
10,30,76,38,4,31.0,1.0,95,3,14,8,2,2,-2,-1,-1,0
11,33,74,37,2,34.0,2.0,95,3,12,7,0,1,1,1,-1,-1
12,35,66,32,6,37.0,0.5,105,4,4,2,4,3,-1,-1,-1,-2
13,39,74,37,2,40.0,2.0,95,4,12,7,0,1,8,5,1,-1
14,41,74,37,2,43.0,2.0,95,4,12,7,0,1,5,3,0,-1
15,43,71,35,11,46.0,0.5,105,5,9,5,9,6,2,1,-1,-2
16,47,69,34,9,49.0,1.0,95,5,7,4,7,5,-2,-1,-1,-3
17,50,64,31,4,52.0,2.0,95,5,2,1,2,2,2,1,-1,-4
18,52,66,32,6,55.0,0.5,105,6,4,2,4,3,-1,-1,1,-3
19,56,74,37,2,58.0,2.0,95,6,12,7,0,1,8,5,1,-2
20,58,74,37,2,61.0,2.0,95,6,12,7,0,1,5,3,0,-2
21,60,78,39,6,64.0,0.5,105,7,16,9,4,3,-1,-1,1,-1
22,64,76,38,4,67.0,1.0,95,7,14,8,2,2,-2,-1,-1,-2
23,67,74,37,2,70.0,2.0,95,7,12,7,0,1,1,1,-1,-3
24,69,78,39,6,73.0,2.0,105,8,16,9,4,3,-1,-1,1,-2
25,71,78,39,6,76.0,0.5,95,8,16,9,4,3,4,2,0,-2
