,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,5,71,35,11,6.0,2.0,95,0,0,0,0,1,2,1,0,0
2,7,81,41,9,10.0,1.0,105,1,10,6,10,7,-2,-1,1,1
3,11,73,36,1,14.0,2.0,95,1,2,1,2,2,-5,-3,-1,0
4,14,69,34,9,18.0,2.0,105,2,-2,-1,10,7,-2,-1,-1,-1
5,17,73,36,1,22.0,2.0,95,2,2,1,2,2,2,1,1,0
6,19,78,39,6,26.0,1.0,105,3,7,4,7,5,2,1,1,1
7,23,78,39,6,30.0,1.0,95,3,7,4,7,5,-3,-2,0,1
8,27,71,35,11,34.0,2.0,105,4,0,0,0,1,2,1,-1,0
9,30,71,35,11,38.0,2.0,95,4,0,0,0,1,2,1,0,0
10,32,81,41,9,42.0,1.0,105,5,10,6,10,7,-2,-1,1,1
11,36,73,36,1,46.0,2.0,95,5,2,1,2,2,-5,-3,-1,0
12,39,69,34,9,50.0,1.0,105,6,-2,-1,10,7,-2,-1,-1,-1
13,43,69,34,9,54.0,1.0,95,6,-2,-1,10,7,3,2,0,-1
14,47,78,39,6,58.0,1.0,105,7,7,4,7,5,2,1,1,0
15,51,71,35,11,62.0,1.0,95,7,0,0,0,1,2,1,-1,-1
16,55,71,35,11,66.0,2.0,105,8,0,0,0,1,2,1,0,-1
17,58,71,35,11,70.0,2.0,95,8,0,0,0,1,2,1,0,-1
18,60,81,41,9,74.0,1.0,105,9,10,6,10,7,-2,-1,1,0
19,64,73,36,1,78.0,2.0,95,9,2,1,2,2,-5,-3,-1,-1
20,67,69,34,9,82.0,2.0,105,10,-2,-1,10,7,-2,-1,-1,-2
21,70,73,36,1,86.0,2.0,95,10,2,1,2,2,2,1,1,-1
22,72,78,39,6,90.0,1.0,105,11,7,4,7,5,2,1,1,0
23,76,78,39,6,94.0,1.0,95,11,7,4,7,5,-3,-2,0,0
24,80,71,35,11,98.0,2.0,105,12,0,0,0,1,2,1,-1,-1
25,83,71,35,11,102.0,2.0,95,12,0,0,0,1,2,1,0,-1
26,85,81,41,9,106.0,1.0,105,13,10,6,10,7,-2,-1,1,0
27,89,73,36,1,110.0,2.0,95,13,2,1,2,2,-5,-3,-1,-1
28,92,69,34,9,114.0,1.0,105,14,-2,-1,10,7,-2,-1,-1,-2
29,96,69,34,9,118.0,1.0,95,14,-2,-1,10,7,3,2,0,-2
30,100,78,39,6,122.0,1.0,105,15,7,4,7,5,2,1,1,-1
31,104,71,35,11,126.0,4.0,95,15,0,0,0,1,2,1,-1,-2
32,105,83,42,11,130.0,1.0,105,16,12,7,0,1,12,7,1,-1
33,109,78,39,6,134.0,2.0,95,16,7,4,7,5,2,1,-1,-2
34,111,83,42,11,138.0,1.0,105,17,12,7,0,1,0,0,1,-1
35,115,78,39,6,142.0,2.0,95,17,7,4,7,5,2,1,-1,-2
36,117,69,34,9,146.0,2.0,105,18,-2,-1,10,7,-12,-7,-1,-3
37,120,73,36,1,150.0,2.0,95,18,2,1,2,2,2,1,1,-2
38,122,78,39,6,154.0,1.0,105,19,7,4,7,5,2,1,1,-1
39,126,78,39,6,158.0,1.0,95,19,7,4,7,5,-3,-2,0,-1
40,130,83,42,11,162.0,1.0,105,20,12,7,0,1,14,8,1,0
41,134,78,39,6,166.0,2.0,95,20,7,4,7,5,2,1,-1,-1
42,136,83,42,11,170.0,1.0,105,21,12,7,0,1,0,0,1,0
43,140,78,39,6,174.0,2.0,95,21,7,4,7,5,2,1,-1,-1
44,142,69,34,9,178.0,2.0,105,22,-2,-1,10,7,-12,-7,-1,-2
45,145,73,36,1,182.0,1.0,95,22,2,1,2,2,2,1,1,-1
46,149,73,36,1,186.0,1.0,105,23,2,1,2,2,-3,-2,0,-1
47,153,71,35,11,190.0,4.0,95,23,0,0,0,1,2,1,-1,-2
48,154,83,42,11,194.0,1.0,105,24,12,7,0,1,12,7,1,-1
49,158,78,39,6,198.0,2.0,95,24,7,4,7,5,2,1,-1,-2
50,160,83,42,11,202.0,1.0,105,25,12,7,0,1,0,0,1,-1
51,164,78,39,6,206.0,2.0,95,25,7,4,7,5,2,1,-1,-2
52,166,69,34,9,210.0,2.0,105,26,-2,-1,10,7,-12,-7,-1,-3
53,169,73,36,1,214.0,2.0,95,26,2,1,2,2,2,1,1,-2
54,171,78,39,6,218.0,1.0,105,27,7,4,7,5,2,1,1,-1
55,175,78,39,6,222.0,1.0,95,27,7,4,7,5,-3,-2,0,-1
56,179,66,32,6,226.0,1.0,105,28,-5,-3,7,5,-3,-2,-1,-2
57,183,71,35,11,230.0,3.0,95,28,0,0,0,1,-2,-1,1,-1
58,185,76,38,4,234.0,1.0,105,29,5,3,5,4,3,2,1,0
59,189,78,39,6,238.0,2.0,95,29,7,4,7,5,-5,-3,1,1
60,192,73,36,1,242.0,3.0,105,30,2,1,2,2,-3,-2,-1,0
61,194,76,38,4,246.0,2.0,95,30,5,3,5,4,-2,-1,1,1
62,197,71,35,11,250.0,2.0,105,31,0,0,0,1,2,1,-1,0
63,200,71,35,11,254.0,4.0,95,31,0,0,0,1,2,1,0,0
