,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,2.0,1.33,105,0,7,4,7,5,0,0,0,0
1,6,72,36,0,6.0,1.33,95,0,5,3,5,4,1,1,-1,-1
2,10,67,33,7,10.0,1.33,105,1,0,0,0,1,-2,-1,-1,-2
3,14,67,33,7,14.0,1.33,95,1,0,0,0,1,1,1,0,-2
4,18,74,37,2,18.0,1.33,105,2,7,4,7,5,2,1,1,-1
5,22,76,38,4,22.0,1.33,95,2,9,5,9,6,-3,-2,1,0
6,26,74,37,2,26.0,1.33,105,3,7,4,7,5,-2,-1,-1,-1
7,30,69,34,9,30.0,2.0,95,3,2,1,2,2,-2,-1,-1,-2
8,33,74,37,2,34.0,1.33,105,4,7,4,7,5,2,1,1,-1
9,37,72,36,0,38.0,1.33,95,4,5,3,5,4,1,1,-1,-2
10,41,67,33,7,42.0,3.0,105,5,0,0,0,1,-2,-1,-1,-3
11,43,67,33,7,46.0,1.33,95,5,0,0,0,1,1,1,0,-3
12,47,74,37,2,50.0,1.33,105,6,7,4,7,5,2,1,1,-2
13,51,76,38,4,54.0,1.33,95,6,9,5,9,6,-3,-2,1,-1
14,55,67,33,7,58.0,2.0,105,7,0,0,0,1,1,1,-1,-2
15,58,67,33,7,62.0,2.0,95,7,0,0,0,1,1,1,0,-2
16,61,74,37,2,66.0,1.33,105,8,7,4,7,5,2,1,1,-1
17,65,76,38,4,70.0,1.33,95,8,9,5,9,6,-3,-2,1,0
18,69,74,37,2,74.0,1.33,105,9,7,4,7,5,-2,-1,-1,-1
19,73,76,38,4,78.0,1.33,95,9,9,5,9,6,-3,-2,1,0
20,77,74,37,2,82.0,1.33,105,10,7,4,7,5,-2,-1,-1,-1
21,81,76,38,4,86.0,1.33,95,10,9,5,9,6,-3,-2,1,0
22,85,74,37,2,90.0,1.33,105,11,7,4,7,5,-2,-1,-1,-1
23,89,69,34,9,94.0,2.0,95,11,2,1,2,2,-2,-1,-1,-2
24,92,74,37,2,98.0,1.33,105,12,7,4,7,5,2,1,1,-1
25,96,72,36,0,102.0,1.33,95,12,5,3,5,4,1,1,-1,-2
26,100,67,33,7,106.0,1.33,105,13,0,0,0,1,-2,-1,-1,-3
27,104,67,33,7,110.0,1.33,95,13,0,0,0,1,1,1,0,-3
28,108,74,37,2,114.0,1.33,105,14,7,4,7,5,2,1,1,-2
29,112,76,38,4,118.0,1.33,95,14,9,5,9,6,-3,-2,1,-1
30,116,67,33,7,122.0,2.0,105,15,0,0,0,1,1,1,-1,-2
31,119,67,33,7,126.0,2.0,95,15,0,0,0,1,1,1,0,-2
