,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,2.0,105,0,9,5,9,6,0,0,0,0
1,1,76,38,4,2.0,2.0,105,1,9,5,9,6,0,0,0,0
2,2,76,38,4,4.0,1.0,105,2,9,5,9,6,0,0,0,0
3,4,71,35,11,6.0,1.0,105,3,4,2,4,3,-1,-1,-1,-1
4,6,64,31,4,8.0,1.0,105,4,-3,-2,9,6,-5,-3,-1,-2
5,8,68,33,8,10.0,0.5,105,5,1,0,1,1,0,0,1,-1
6,12,69,34,9,12.0,0.5,105,6,2,1,2,2,-2,-1,1,0
7,16,71,35,11,14.0,0.5,105,7,4,2,4,3,-1,-1,1,1
8,20,76,38,4,16.0,2.0,105,8,9,5,9,6,7,4,1,2
9,21,76,38,4,18.0,2.0,105,9,9,5,9,6,0,0,0,2
10,22,76,38,4,20.0,1.0,105,10,9,5,9,6,0,0,0,2
11,24,71,35,11,22.0,1.0,105,11,4,2,4,3,-1,-1,-1,1
12,26,64,31,4,24.0,1.0,105,12,-3,-2,9,6,-5,-3,-1,0
13,28,68,33,8,26.0,0.5,105,13,1,0,1,1,0,0,1,1
14,32,69,34,9,28.0,0.5,105,14,2,1,2,2,-2,-1,1,2
15,36,69,34,9,30.0,2.0,105,15,2,1,2,2,-3,-2,0,2
16,38,76,38,4,34.0,2.0,105,16,9,5,9,6,0,0,1,3
17,39,76,38,4,36.0,1.0,105,17,9,5,9,6,0,0,0,3
18,41,71,35,11,38.0,1.0,105,18,4,2,4,3,-1,-1,-1,2
19,43,64,31,4,40.0,1.0,105,19,-3,-2,9,6,-5,-3,-1,1
20,45,68,33,8,42.0,0.5,105,20,1,0,1,1,0,0,1,2
21,49,69,34,9,44.0,0.5,105,21,2,1,2,2,-2,-1,1,3
22,53,71,35,11,46.0,0.5,105,22,4,2,4,3,-1,-1,1,4
23,57,76,38,4,48.0,2.0,105,23,9,5,9,6,7,4,1,5
24,58,76,38,4,50.0,2.0,105,24,9,5,9,6,0,0,0,5
25,59,76,38,4,52.0,1.0,105,25,9,5,9,6,0,0,0,5
26,61,71,35,11,54.0,1.0,105,26,4,2,4,3,-1,-1,-1,4
27,63,64,31,4,56.0,1.0,105,27,-3,-2,9,6,-5,-3,-1,3
28,65,68,33,8,58.0,0.5,105,28,1,0,1,1,0,0,1,4
29,69,69,34,9,60.0,0.5,105,29,2,1,2,2,-2,-1,1,5
30,73,69,34,9,62.0,2.0,105,30,2,1,2,2,-3,-2,0,5
