,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,2,1,2,2,-2,-1,1,1
2,7,71,35,11,7.0,1.0,105,1,4,2,4,3,-1,-1,1,2
3,10,76,38,4,10.0,1.0,95,1,9,5,9,6,2,1,1,3
4,13,74,37,2,13.0,1.0,105,2,7,4,7,5,-2,-1,-1,2
5,16,67,33,7,16.0,1.0,95,2,0,0,0,1,0,0,-1,1
6,19,69,34,9,19.0,1.0,105,3,2,1,2,2,2,1,1,2
7,22,62,30,2,22.0,1.0,95,3,-5,-3,7,5,0,0,-1,1
8,25,67,33,7,25.0,1.0,105,4,0,0,0,1,1,1,1,2
9,28,69,34,9,28.0,1.0,95,4,2,1,2,2,-2,-1,1,3
10,31,71,35,11,31.0,1.0,105,5,4,2,4,3,-1,-1,1,4
11,34,76,38,4,34.0,1.0,95,5,9,5,9,6,2,1,1,5
12,37,74,37,2,37.0,1.0,105,6,7,4,7,5,-2,-1,-1,4
13,40,69,34,9,40.0,1.0,95,6,2,1,2,2,2,1,-1,3
14,43,67,33,7,43.0,3.0,105,7,0,0,0,1,-2,-1,-1,2
15,44,67,33,7,46.0,2.0,95,7,0,0,0,1,0,0,0,2
16,46,67,33,7,49.0,1.0,105,8,0,0,0,1,5,3,0,2
17,49,69,34,9,52.0,1.0,95,8,2,1,2,2,-2,-1,1,3
18,52,71,35,11,55.0,1.0,105,9,4,2,4,3,-1,-1,1,4
19,55,76,38,4,58.0,1.0,95,9,9,5,9,6,2,1,1,5
20,58,74,37,2,61.0,1.0,105,10,7,4,7,5,-2,-1,-1,4
21,61,67,33,7,64.0,1.0,95,10,0,0,0,1,0,0,-1,3
22,64,69,34,9,67.0,1.0,105,11,2,1,2,2,2,1,1,4
23,67,62,30,2,70.0,1.0,95,11,-5,-3,7,5,0,0,-1,3
24,70,67,33,7,73.0,1.0,105,12,0,0,0,1,1,1,1,4
25,73,69,34,9,76.0,1.0,95,12,2,1,2,2,-2,-1,1,5
26,76,71,35,11,79.0,1.0,105,13,4,2,4,3,-1,-1,1,6
27,79,76,38,4,82.0,1.0,95,13,9,5,9,6,2,1,1,7
28,82,74,37,2,85.0,1.0,105,14,7,4,7,5,-2,-1,-1,6
29,85,69,34,9,88.0,1.0,95,14,2,1,2,2,2,1,-1,5
30,88,67,33,7,91.0,3.0,105,15,0,0,0,1,-2,-1,-1,4
31,89,67,33,7,94.0,2.0,95,15,0,0,0,1,0,0,0,4
32,91,71,35,11,97.0,1.0,105,16,4,2,4,3,2,1,1,5
33,94,71,35,11,100.0,1.0,95,16,4,2,4,3,0,0,0,5
34,97,72,36,0,103.0,1.0,105,17,5,3,5,4,1,1,1,6
35,100,72,36,0,106.0,1.0,95,17,5,3,5,4,0,0,0,6
36,103,71,35,11,109.0,1.0,105,18,4,2,4,3,-1,-1,-1,5
37,106,71,35,11,112.0,1.0,95,18,4,2,4,3,0,0,0,5
38,109,74,37,2,115.0,1.0,105,19,7,4,7,5,3,2,1,6
39,112,69,34,9,118.0,2.0,95,19,2,1,2,2,-2,-1,-1,5
40,114,71,35,11,121.0,1.0,105,20,4,2,4,3,2,1,1,6
41,117,71,35,11,124.0,1.0,95,20,4,2,4,3,0,0,0,6
42,120,72,36,0,127.0,1.0,105,21,5,3,5,4,1,1,1,7
43,123,72,36,0,130.0,1.0,95,21,5,3,5,4,0,0,0,7
44,126,71,35,11,133.0,1.0,105,22,4,2,4,3,-1,-1,-1,6
45,129,74,37,2,136.0,1.0,95,22,7,4,7,5,3,2,1,7
46,132,67,33,7,139.0,3.0,105,23,0,0,0,1,-2,-1,-1,6
47,133,67,33,7,142.0,2.0,95,23,0,0,0,1,0,0,0,6
48,135,71,35,11,145.0,1.0,105,24,4,2,4,3,2,1,1,7
49,138,71,35,11,148.0,1.0,95,24,4,2,4,3,0,0,0,7
50,141,72,36,0,151.0,1.0,105,25,5,3,5,4,1,1,1,8
51,144,72,36,0,154.0,1.0,95,25,5,3,5,4,0,0,0,8
52,147,71,35,11,157.0,1.0,105,26,4,2,4,3,-1,-1,-1,7
53,150,71,35,11,160.0,1.0,95,26,4,2,4,3,0,0,0,7
54,153,74,37,2,163.0,1.0,105,27,7,4,7,5,3,2,1,8
55,156,69,34,9,166.0,2.0,95,27,2,1,2,2,-2,-1,-1,7
56,158,71,35,11,169.0,1.0,105,28,4,2,4,3,2,1,1,8
57,161,71,35,11,172.0,1.0,95,28,4,2,4,3,0,0,0,8
58,164,72,36,0,175.0,1.0,105,29,5,3,5,4,1,1,1,9
59,167,72,36,0,178.0,1.0,95,29,5,3,5,4,0,0,0,9
60,170,71,35,11,181.0,1.0,105,30,4,2,4,3,-1,-1,-1,8
61,173,74,37,2,184.0,1.0,95,30,7,4,7,5,3,2,1,9
62,176,67,33,7,187.0,3.0,105,31,0,0,0,1,-2,-1,-1,8
63,177,67,33,7,190.0,2.0,95,31,0,0,0,1,0,0,0,8
