,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,59,28,11,2.0,1.0,105,0,-8,-5,4,3,0,0,0,0
1,6,71,35,11,6.0,2.0,95,0,4,2,4,3,2,1,1,1
2,9,64,31,4,10.0,1.0,105,1,-3,-2,9,6,-3,-2,-1,0
3,13,62,30,2,14.0,2.0,95,1,-5,-3,7,5,-2,-1,-1,-1
4,16,59,28,11,18.0,1.0,105,2,-8,-5,4,3,-1,-1,-1,-2
5,20,71,35,11,22.0,1.0,95,2,4,2,4,3,2,1,1,-1
6,24,69,34,9,26.0,6.0,105,3,2,1,2,2,-2,-1,-1,-2
7,27,59,28,11,34.0,1.0,105,4,-8,-5,4,3,-1,-1,-1,-3
8,31,71,35,11,38.0,2.0,95,4,4,2,4,3,2,1,1,-2
9,34,64,31,4,42.0,1.0,105,5,-3,-2,9,6,-3,-2,-1,-3
10,38,62,30,2,46.0,2.0,95,5,-5,-3,7,5,-2,-1,-1,-4
11,41,71,35,11,50.0,1.0,105,6,4,2,4,3,2,1,1,-3
12,45,69,34,9,54.0,1.5,95,6,2,1,2,2,-2,-1,-1,-4
13,49,67,33,7,58.0,6.0,105,7,0,0,0,1,-2,-1,-1,-5
14,52,74,37,2,66.0,2.0,105,8,7,4,7,5,2,1,1,-4
15,54,67,33,7,70.0,2.0,95,8,0,0,0,1,-4,-2,-1,-5
16,57,76,38,4,74.0,2.0,105,9,9,5,9,6,2,1,1,-4
17,60,69,34,9,78.0,2.0,95,9,2,1,2,2,-2,-1,-1,-5
18,63,74,37,2,82.0,1.0,105,10,7,4,7,5,2,1,1,-4
19,67,71,35,11,86.0,1.0,95,10,4,2,4,3,2,1,-1,-5
20,71,62,30,2,90.0,6.0,105,11,-5,-3,7,5,-4,-2,-1,-6
21,74,74,37,2,98.0,1.0,105,12,7,4,7,5,2,1,1,-5
22,78,67,33,7,102.0,2.0,95,12,0,0,0,1,-2,-1,-1,-6
23,81,76,38,4,106.0,1.0,105,13,9,5,9,6,2,1,1,-5
24,85,69,34,9,110.0,2.0,95,13,2,1,2,2,-2,-1,-1,-6
25,88,74,37,2,114.0,1.0,105,14,7,4,7,5,2,1,1,-5
26,92,66,32,6,118.0,1.0,95,14,-1,-1,11,7,-3,-2,-1,-6
27,96,67,33,7,122.0,6.0,105,15,0,0,0,1,-2,-1,1,-5
