,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,2.0,1.33,105,0,2,1,2,2,0,0,0,0
1,5,72,36,0,6.0,1.33,95,0,5,3,5,4,1,1,1,1
2,9,76,38,4,10.0,0.67,105,1,9,5,9,6,2,1,1,2
3,14,74,37,2,14.0,2.0,95,1,7,4,7,5,2,1,-1,1
4,17,74,37,2,18.0,0.67,105,2,7,4,7,5,-2,-1,0,1
5,22,74,37,2,22.0,0.67,95,2,7,4,7,5,-2,-1,0,1
6,27,74,37,2,26.0,1.33,105,3,7,4,7,5,-2,-1,0,1
7,31,67,33,7,30.0,2.0,95,3,0,0,0,1,-2,-1,-1,0
8,33,69,34,9,34.0,1.33,105,4,2,1,2,2,5,3,1,1
9,37,72,36,0,38.0,1.33,95,4,5,3,5,4,1,1,1,2
10,41,76,38,4,42.0,0.67,105,5,9,5,9,6,2,1,1,3
11,46,74,37,2,46.0,2.0,95,5,7,4,7,5,2,1,-1,2
12,49,74,37,2,50.0,1.33,105,6,7,4,7,5,-2,-1,0,2
13,53,74,37,2,54.0,1.33,95,6,7,4,7,5,3,2,0,2
14,57,72,36,0,58.0,2.0,105,7,5,3,5,4,1,1,-1,1
15,59,69,34,9,62.0,2.0,95,7,2,1,2,2,0,0,-1,0
16,61,69,34,9,66.0,1.33,105,8,2,1,2,2,5,3,0,0
17,65,72,36,0,70.0,1.33,95,8,5,3,5,4,1,1,1,1
18,69,76,38,4,74.0,0.67,105,9,9,5,9,6,2,1,1,2
19,74,74,37,2,78.0,2.0,95,9,7,4,7,5,2,1,-1,1
20,77,74,37,2,82.0,0.67,105,10,7,4,7,5,-2,-1,0,1
21,82,74,37,2,86.0,0.67,95,10,7,4,7,5,-2,-1,0,1
22,87,74,37,2,90.0,1.33,105,11,7,4,7,5,-2,-1,0,1
23,91,67,33,7,94.0,2.0,95,11,0,0,0,1,-2,-1,-1,0
24,93,69,34,9,98.0,1.33,105,12,2,1,2,2,5,3,1,1
25,97,72,36,0,102.0,1.33,95,12,5,3,5,4,1,1,1,2
26,101,76,38,4,106.0,0.67,105,13,9,5,9,6,2,1,1,3
27,106,74,37,2,110.0,2.0,95,13,7,4,7,5,2,1,-1,2
28,109,74,37,2,114.0,1.33,105,14,7,4,7,5,-2,-1,0,2
29,113,74,37,2,118.0,1.33,95,14,7,4,7,5,3,2,0,2
30,117,72,36,0,122.0,2.0,105,15,5,3,5,4,1,1,-1,1
31,119,69,34,9,126.0,2.0,95,15,2,1,2,2,0,0,-1,0
32,121,76,38,4,130.0,0.67,105,16,9,5,9,6,2,1,1,1
33,126,74,37,2,134.0,2.0,95,16,7,4,7,5,2,1,-1,0
34,128,76,38,4,138.0,0.67,105,17,9,5,9,6,-3,-2,1,1
35,133,74,37,2,142.0,2.0,95,17,7,4,7,5,2,1,-1,0
36,135,78,39,6,146.0,0.67,105,18,11,6,11,7,-1,-1,1,1
37,140,74,37,2,150.0,2.0,95,18,7,4,7,5,-4,-2,-1,0
38,142,78,39,6,154.0,0.67,105,19,11,6,11,7,-1,-1,1,1
39,147,74,37,2,158.0,2.0,95,19,7,4,7,5,-4,-2,-1,0
40,150,83,42,11,162.0,1.33,105,20,16,9,4,3,2,1,1,1
41,154,76,38,4,166.0,1.33,95,20,9,5,9,6,-2,-1,-1,0
42,158,83,42,11,170.0,1.33,105,21,16,9,4,3,2,1,1,1
43,162,76,38,4,174.0,2.0,95,21,9,5,9,6,-2,-1,-1,0
44,165,83,42,11,178.0,1.33,105,22,16,9,4,3,2,1,1,1
45,169,83,42,11,182.0,1.33,95,22,16,9,4,3,2,1,0,1
46,173,76,38,4,186.0,1.33,105,23,9,5,9,6,-2,-1,-1,0
47,177,79,40,7,190.0,1.33,95,23,12,7,0,1,1,1,1,1
48,181,76,38,4,194.0,0.67,105,24,9,5,9,6,-2,-1,-1,0
49,186,74,37,2,198.0,2.0,95,24,7,4,7,5,2,1,-1,-1
50,188,76,38,4,202.0,1.33,105,25,9,5,9,6,-3,-2,1,0
51,192,72,36,0,206.0,1.33,95,25,5,3,5,4,-2,-1,-1,-1
52,196,69,34,9,210.0,1.33,105,26,2,1,2,2,-2,-1,-1,-2
53,200,79,40,7,214.0,1.33,95,26,12,7,0,1,3,2,1,-1
54,204,74,37,2,218.0,1.33,105,27,7,4,7,5,-2,-1,-1,-2
55,208,67,33,7,222.0,2.0,95,27,0,0,0,1,-2,-1,-1,-3
56,210,69,34,9,226.0,1.33,105,28,2,1,2,2,5,3,1,-2
57,214,72,36,0,230.0,1.33,95,28,5,3,5,4,1,1,1,-1
58,218,76,38,4,234.0,0.67,105,29,9,5,9,6,2,1,1,0
59,223,74,37,2,238.0,2.0,95,29,7,4,7,5,2,1,-1,-1
60,226,74,37,2,242.0,1.33,105,30,7,4,7,5,-2,-1,0,-1
61,230,74,37,2,246.0,1.33,95,30,7,4,7,5,3,2,0,-1
62,234,72,36,0,250.0,2.0,105,31,5,3,5,4,1,1,-1,-2
63,236,69,34,9,254.0,2.0,95,31,2,1,2,2,0,0,-1,-3
64,238,76,38,4,258.0,0.67,105,32,9,5,9,6,2,1,1,-2
65,243,74,37,2,262.0,2.0,95,32,7,4,7,5,2,1,-1,-3
66,245,76,38,4,266.0,0.67,105,33,9,5,9,6,-3,-2,1,-2
67,250,74,37,2,270.0,2.0,95,33,7,4,7,5,2,1,-1,-3
68,252,78,39,6,274.0,0.67,105,34,11,6,11,7,-1,-1,1,-2
69,257,74,37,2,278.0,2.0,95,34,7,4,7,5,-4,-2,-1,-3
70,259,78,39,6,282.0,0.67,105,35,11,6,11,7,-1,-1,1,-2
71,264,74,37,2,286.0,2.0,95,35,7,4,7,5,-4,-2,-1,-3
72,267,83,42,11,290.0,1.33,105,36,16,9,4,3,2,1,1,-2
73,271,76,38,4,294.0,1.33,95,36,9,5,9,6,-2,-1,-1,-3
74,275,83,42,11,298.0,1.33,105,37,16,9,4,3,2,1,1,-2
75,279,76,38,4,302.0,2.0,95,37,9,5,9,6,-2,-1,-1,-3
76,282,83,42,11,306.0,1.33,105,38,16,9,4,3,2,1,1,-2
77,286,83,42,11,310.0,1.33,95,38,16,9,4,3,2,1,0,-2
78,290,76,38,4,314.0,1.33,105,39,9,5,9,6,-2,-1,-1,-3
79,294,79,40,7,318.0,1.33,95,39,12,7,0,1,1,1,1,-2
80,298,76,38,4,322.0,0.67,105,40,9,5,9,6,-2,-1,-1,-3
81,303,74,37,2,326.0,2.0,95,40,7,4,7,5,2,1,-1,-4
82,305,76,38,4,330.0,1.33,105,41,9,5,9,6,-3,-2,1,-3
83,309,72,36,0,334.0,1.33,95,41,5,3,5,4,-2,-1,-1,-4
84,313,69,34,9,338.0,1.33,105,42,2,1,2,2,-2,-1,-1,-5
85,317,79,40,7,342.0,1.33,95,42,12,7,0,1,3,2,1,-4
86,321,74,37,2,346.0,1.33,105,43,7,4,7,5,-2,-1,-1,-5
87,325,67,33,7,350.0,2.0,95,43,0,0,0,1,-2,-1,-1,-6
88,327,69,34,9,354.0,1.33,105,44,2,1,2,2,5,3,1,-5
89,331,72,36,0,358.0,1.33,95,44,5,3,5,4,1,1,1,-4
90,335,76,38,4,362.0,0.67,105,45,9,5,9,6,2,1,1,-3
91,340,74,37,2,366.0,2.0,95,45,7,4,7,5,2,1,-1,-4
92,343,74,37,2,370.0,1.33,105,46,7,4,7,5,-2,-1,0,-4
93,347,74,37,2,374.0,1.33,95,46,7,4,7,5,3,2,0,-4
94,351,72,36,0,378.0,2.0,105,47,5,3,5,4,1,1,-1,-5
95,353,69,34,9,382.0,2.0,95,47,2,1,2,2,0,0,-1,-6
