,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,75,38,3,2.0,2.0,105,0,12,7,0,1,0,0,0,0
1,7,74,37,2,10.0,2.0,105,1,11,6,11,7,4,2,-1,-1
2,9,71,35,11,14.0,2.0,95,1,8,4,8,5,1,0,-1,-2
3,11,72,36,0,18.0,2.0,105,2,9,5,9,6,5,3,1,-1
4,13,72,36,0,22.0,1.33,95,2,9,5,9,6,4,3,0,-1
5,17,70,35,10,26.0,1.33,105,3,7,4,7,5,-5,-3,-1,-2
6,21,67,33,7,30.0,1.33,95,3,4,2,4,3,-1,0,-1,-3
7,25,63,31,3,34.0,3.0,105,4,0,0,0,1,1,1,-1,-4
8,27,63,31,3,38.0,1.33,95,4,0,0,0,1,-4,-2,0,-4
9,31,60,29,0,42.0,2.0,105,5,-3,-2,9,6,-1,0,-1,-5
10,33,68,33,8,46.0,2.0,95,5,5,2,5,3,12,7,1,-4
11,35,58,28,10,50.0,1.33,105,6,-5,-3,7,5,1,1,-1,-5
12,39,65,32,5,54.0,1.33,95,6,2,1,2,2,3,2,1,-4
13,43,63,31,3,58.0,2.0,105,7,0,0,0,1,-2,-1,-1,-5
14,45,63,31,3,62.0,2.0,95,7,0,0,0,1,-4,-2,0,-5
15,49,75,38,3,66.0,2.0,105,8,12,7,0,1,1,1,1,-4
16,53,74,37,2,74.0,2.0,105,9,11,6,11,7,4,2,-1,-5
17,55,71,35,11,78.0,2.0,95,9,8,4,8,5,1,0,-1,-6
18,57,72,36,0,82.0,2.0,105,10,9,5,9,6,5,3,1,-5
19,59,72,36,0,86.0,1.33,95,10,9,5,9,6,4,3,0,-5
20,63,70,35,10,90.0,1.33,105,11,7,4,7,5,-5,-3,-1,-6
21,67,67,33,7,94.0,1.33,95,11,4,2,4,3,-1,0,-1,-7
22,71,63,31,3,98.0,3.0,105,12,0,0,0,1,1,1,-1,-8
23,73,63,31,3,102.0,1.33,95,12,0,0,0,1,-4,-2,0,-8
24,77,60,29,0,106.0,2.0,105,13,-3,-2,9,6,-1,0,-1,-9
25,79,68,33,8,110.0,2.0,95,13,5,2,5,3,12,7,1,-8
26,81,58,28,10,114.0,1.33,105,14,-5,-3,7,5,1,1,-1,-9
27,85,65,32,5,118.0,1.33,95,14,2,1,2,2,3,2,1,-8
28,89,63,31,3,122.0,2.0,105,15,0,0,0,1,-2,-1,-1,-9
29,91,63,31,3,126.0,2.0,95,15,0,0,0,1,-4,-2,0,-9
30,94,79,40,7,130.0,2.0,105,16,16,9,4,3,1,1,1,-8
31,96,82,42,10,134.0,2.0,95,16,19,11,7,5,7,4,1,-7
32,98,77,39,5,138.0,1.33,105,17,14,8,2,2,2,1,-1,-8
33,102,77,39,5,142.0,2.0,95,17,14,8,2,2,-5,-3,0,-8
34,105,75,38,3,146.0,2.0,105,18,12,7,0,1,1,1,-1,-9
35,107,79,40,7,150.0,2.0,95,18,16,9,4,3,7,4,1,-8
36,109,74,37,2,154.0,2.0,105,19,11,6,11,7,2,1,-1,-9
37,111,75,38,3,158.0,1.33,95,19,12,7,0,1,8,5,1,-8
38,115,72,36,0,162.0,2.0,105,20,9,5,9,6,2,1,-1,-9
39,117,75,38,3,166.0,2.0,95,20,12,7,0,1,7,5,1,-8
40,119,67,33,7,170.0,1.33,105,21,4,2,4,3,-1,0,-1,-9
41,123,70,35,10,174.0,2.0,95,21,7,4,7,5,-2,-1,1,-8
42,127,62,30,2,178.0,2.0,105,22,-1,-1,11,7,-1,-1,-1,-9
43,130,79,40,7,186.0,1.33,105,23,16,9,4,3,-1,0,1,-8
44,134,75,38,3,190.0,1.33,95,23,12,7,0,1,-4,-2,-1,-9
45,138,79,40,7,194.0,2.0,105,24,16,9,4,3,1,1,1,-8
46,140,82,42,10,198.0,2.0,95,24,19,11,7,5,7,4,1,-7
47,142,77,39,5,202.0,1.33,105,25,14,8,2,2,2,1,-1,-8
48,146,77,39,5,206.0,1.33,95,25,14,8,2,2,-5,-3,0,-8
49,150,72,36,0,210.0,2.0,105,26,9,5,9,6,-2,-1,-1,-9
50,152,75,38,3,214.0,2.0,95,26,12,7,0,1,15,9,1,-8
51,154,70,35,10,218.0,1.33,105,27,7,4,7,5,10,6,-1,-9
52,158,70,35,10,222.0,1.33,95,27,7,4,7,5,-5,-3,0,-9
53,162,60,29,0,226.0,1.33,105,28,-3,-2,9,6,2,1,-1,-10
54,166,75,38,3,230.0,1.33,95,28,12,7,0,1,3,2,1,-9
55,170,58,28,10,234.0,1.33,105,29,-5,-3,7,5,-5,-3,-1,-10
56,174,75,38,3,238.0,1.33,95,29,12,7,0,1,5,3,1,-9
57,178,62,30,2,242.0,1.33,105,30,-1,-1,11,7,-1,-1,-1,-10
58,182,70,35,10,246.0,1.33,95,30,7,4,7,5,-2,-1,1,-9
59,186,63,31,3,250.0,2.0,105,31,0,0,0,1,1,1,-1,-10
60,188,63,31,3,254.0,2.0,95,31,0,0,0,1,-4,-2,0,-10
