,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,5,67,33,7,3.0,1.0,95,0,0,0,0,1,0,0,0,0
2,8,76,38,4,6.0,1.0,105,1,9,5,9,6,2,1,1,1
3,11,74,37,2,9.0,2.0,95,1,7,4,7,5,3,2,-1,0
4,13,83,42,11,12.0,1.0,105,2,16,9,4,3,4,2,1,1
5,16,76,38,4,15.0,1.0,95,2,9,5,9,6,0,0,-1,0
6,19,74,37,2,18.0,1.0,105,3,7,4,7,5,3,2,-1,-1
7,22,71,35,11,21.0,2.0,95,3,4,2,4,3,2,1,-1,-2
8,24,67,33,7,24.0,3.0,105,4,0,0,0,1,-2,-1,-1,-3
9,25,67,33,7,27.0,1.0,95,4,0,0,0,1,0,0,0,-3
10,29,76,38,4,30.0,1.0,105,5,9,5,9,6,2,1,1,-2
11,32,74,37,2,33.0,2.0,95,5,7,4,7,5,3,2,-1,-3
12,34,81,41,9,36.0,1.0,105,6,14,8,2,2,2,1,1,-2
13,37,74,37,2,39.0,1.0,95,6,7,4,7,5,-2,-1,-1,-3
14,40,81,41,9,42.0,1.0,105,7,14,8,2,2,2,1,1,-2
15,43,81,41,9,45.0,0.5,95,7,14,8,2,2,0,0,0,-2
16,47,67,33,7,48.0,1.0,105,8,0,0,0,1,-4,-2,-1,-3
17,52,67,33,7,51.0,1.0,95,8,0,0,0,1,0,0,0,-3
18,55,76,38,4,54.0,1.0,105,9,9,5,9,6,2,1,1,-2
19,58,74,37,2,57.0,2.0,95,9,7,4,7,5,3,2,-1,-3
20,60,83,42,11,60.0,1.0,105,10,16,9,4,3,4,2,1,-2
21,63,76,38,4,63.0,1.0,95,10,9,5,9,6,0,0,-1,-3
22,66,74,37,2,66.0,1.0,105,11,7,4,7,5,3,2,-1,-4
23,69,72,36,0,69.0,1.0,95,11,5,3,5,4,3,2,-1,-5
24,72,67,33,7,72.0,3.0,105,12,0,0,0,1,-2,-1,-1,-6
25,73,67,33,7,75.0,1.0,95,12,0,0,0,1,0,0,0,-6
26,76,76,38,4,78.0,1.0,105,13,9,5,9,6,2,1,1,-5
27,79,74,37,2,81.0,2.0,95,13,7,4,7,5,3,2,-1,-6
