,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,5,66,32,6,3.0,1.0,95,0,4,2,4,3,0,0,0,0
2,8,66,32,6,6.0,1.0,105,1,4,2,4,3,4,2,0,0
3,11,66,32,6,9.0,1.0,95,1,4,2,4,3,0,0,0,0
4,14,62,30,2,12.0,1.0,105,2,0,0,0,1,-4,-2,-1,-1
5,17,74,37,2,15.0,1.0,95,2,12,7,0,1,5,3,1,0
6,20,57,27,9,18.0,2.0,105,3,-5,-3,7,5,-9,-5,-1,-1
7,22,57,27,9,21.0,1.0,95,3,-5,-3,7,5,0,0,0,-1
8,27,66,32,6,24.0,2.0,105,4,4,2,4,3,9,5,1,0
9,29,66,32,6,27.0,1.0,95,4,4,2,4,3,0,0,0,0
10,32,66,32,6,30.0,1.0,105,5,4,2,4,3,4,2,0,0
11,35,66,32,6,33.0,1.0,95,5,4,2,4,3,0,0,0,0
12,38,62,30,2,36.0,1.0,105,6,0,0,0,1,-4,-2,-1,-1
13,41,74,37,2,39.0,1.0,95,6,12,7,0,1,5,3,1,0
14,44,57,27,9,42.0,1.0,105,7,-5,-3,7,5,-9,-5,-1,-1
15,47,62,30,2,45.0,2.0,95,7,0,0,0,1,-2,-1,1,0
16,49,66,32,6,48.0,1.0,105,8,4,2,4,3,2,1,1,1
17,54,66,32,6,51.0,1.0,95,8,4,2,4,3,0,0,0,1
18,57,66,32,6,54.0,1.0,105,9,4,2,4,3,4,2,0,1
19,60,66,32,6,57.0,1.0,95,9,4,2,4,3,0,0,0,1
20,63,62,30,2,60.0,1.0,105,10,0,0,0,1,-4,-2,-1,0
21,66,74,37,2,63.0,1.0,95,10,12,7,0,1,5,3,1,1
22,69,57,27,9,66.0,2.0,105,11,-5,-3,7,5,-9,-5,-1,0
23,71,57,27,9,69.0,1.0,95,11,-5,-3,7,5,0,0,0,0
24,76,66,32,6,72.0,2.0,105,12,4,2,4,3,9,5,1,1
25,78,66,32,6,75.0,1.0,95,12,4,2,4,3,0,0,0,1
26,81,66,32,6,78.0,1.0,105,13,4,2,4,3,4,2,0,1
27,84,66,32,6,81.0,1.0,95,13,4,2,4,3,0,0,0,1
28,87,62,30,2,84.0,1.0,105,14,0,0,0,1,-4,-2,-1,0
29,90,74,37,2,87.0,1.0,95,14,12,7,0,1,5,3,1,1
30,93,57,27,9,90.0,1.0,105,15,-5,-3,7,5,-9,-5,-1,0
31,96,62,30,2,93.0,2.0,95,15,0,0,0,1,-2,-1,1,1
32,98,78,39,6,96.0,1.0,105,16,16,9,4,3,-1,-1,1,2
33,101,76,38,4,99.0,1.0,95,16,14,8,2,2,2,1,-1,1
34,104,74,37,2,102.0,1.0,105,17,12,7,0,1,1,1,-1,0
35,107,69,34,9,105.0,1.0,95,17,7,4,7,5,-5,-3,-1,-1
36,110,78,39,6,108.0,1.0,105,18,16,9,4,3,9,5,1,0
37,113,76,38,4,111.0,1.0,95,18,14,8,2,2,2,1,-1,-1
38,116,74,37,2,114.0,1.0,105,19,12,7,0,1,1,1,-1,-2
39,119,81,41,9,117.0,2.0,95,19,19,11,7,5,-2,-1,1,-1
40,121,78,39,6,120.0,1.0,105,20,16,9,4,3,-1,-1,-1,-2
41,124,76,38,4,123.0,1.0,95,20,14,8,2,2,2,1,-1,-3
42,127,74,37,2,126.0,1.0,105,21,12,7,0,1,1,1,-1,-4
43,132,69,34,9,129.0,1.0,95,21,7,4,7,5,-5,-3,-1,-5
44,135,62,30,2,132.0,1.0,105,22,0,0,0,1,-2,-1,-1,-6
45,138,74,37,2,135.0,1.0,95,22,12,7,0,1,5,3,1,-5
46,141,57,27,9,138.0,1.0,105,23,-5,-3,7,5,-9,-5,-1,-6
47,144,62,30,2,141.0,2.0,95,23,0,0,0,1,-2,-1,1,-5
48,146,78,39,6,144.0,1.0,105,24,16,9,4,3,-1,-1,1,-4
49,149,76,38,4,147.0,1.0,95,24,14,8,2,2,2,1,-1,-5
50,152,74,37,2,150.0,1.0,105,25,12,7,0,1,1,1,-1,-6
51,155,69,34,9,153.0,1.0,95,25,7,4,7,5,-5,-3,-1,-7
52,158,78,39,6,156.0,1.0,105,26,16,9,4,3,9,5,1,-6
53,161,76,38,4,159.0,1.0,95,26,14,8,2,2,2,1,-1,-7
54,164,74,37,2,162.0,1.0,105,27,12,7,0,1,1,1,-1,-8
55,167,81,41,9,165.0,2.0,95,27,19,11,7,5,-2,-1,1,-7
56,169,78,39,6,168.0,1.0,105,28,16,9,4,3,-1,-1,-1,-8
57,172,76,38,4,171.0,1.0,95,28,14,8,2,2,2,1,-1,-9
58,175,74,37,2,174.0,1.0,105,29,12,7,0,1,1,1,-1,-10
59,180,69,34,9,177.0,1.0,95,29,7,4,7,5,-5,-3,-1,-11
60,183,62,30,2,180.0,1.0,105,30,0,0,0,1,-2,-1,-1,-12
61,186,74,37,2,183.0,1.0,95,30,12,7,0,1,5,3,1,-11
62,189,57,27,9,186.0,1.0,105,31,-5,-3,7,5,-9,-5,-1,-12
63,192,62,30,2,189.0,2.0,95,31,0,0,0,1,-2,-1,1,-11
