,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,76,38,4,1.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,76,38,4,5.0,2.0,95,0,7,4,7,5,3,2,0,0
2,5,76,38,4,9.0,1.0,105,1,7,4,7,5,3,2,0,0
3,9,69,34,9,13.0,1.0,95,1,0,0,0,1,-4,-2,-1,-1
4,13,71,35,11,17.0,2.0,105,2,2,1,2,2,2,1,1,0
5,15,71,35,11,21.0,2.0,95,2,2,1,2,2,3,2,0,0
6,17,71,35,11,25.0,1.0,105,3,2,1,2,2,3,2,0,0
7,21,69,34,9,29.0,3.0,95,3,0,0,0,1,1,1,-1,-1
8,23,69,34,9,33.0,1.0,105,4,0,0,0,1,0,0,0,-1
9,27,76,38,4,37.0,1.0,95,4,7,4,7,5,2,1,1,0
10,31,79,40,7,41.0,1.0,105,5,10,6,10,7,1,1,1,1
11,35,76,38,4,45.0,1.0,95,5,7,4,7,5,2,1,-1,0
12,39,73,36,1,49.0,1.0,105,6,4,2,4,3,-1,-1,-1,-1
13,43,64,31,4,53.0,1.0,95,6,-5,-3,7,5,-4,-2,-1,-2
14,47,73,36,1,57.0,1.0,105,7,4,2,4,3,-1,-1,1,-1
15,50,69,34,9,61.0,3.0,95,7,0,0,0,1,-2,-1,-1,-2
16,52,76,38,4,65.0,2.0,105,8,7,4,7,5,0,0,1,-1
17,54,76,38,4,69.0,2.0,95,8,7,4,7,5,3,2,0,-1
18,56,76,38,4,73.0,1.0,105,9,7,4,7,5,3,2,0,-1
19,60,69,34,9,77.0,1.0,95,9,0,0,0,1,-4,-2,-1,-2
20,64,71,35,11,81.0,2.0,105,10,2,1,2,2,2,1,1,-1
21,66,71,35,11,85.0,2.0,95,10,2,1,2,2,3,2,0,-1
22,68,71,35,11,89.0,1.0,105,11,2,1,2,2,3,2,0,-1
23,72,69,34,9,93.0,3.0,95,11,0,0,0,1,1,1,-1,-2
24,74,69,34,9,97.0,1.0,105,12,0,0,0,1,0,0,0,-2
25,78,76,38,4,101.0,1.0,95,12,7,4,7,5,2,1,1,-1
26,82,79,40,7,105.0,1.0,105,13,10,6,10,7,1,1,1,0
27,86,76,38,4,109.0,1.0,95,13,7,4,7,5,2,1,-1,-1
28,90,73,36,1,113.0,1.0,105,14,4,2,4,3,-1,-1,-1,-2
29,94,64,31,4,117.0,1.0,95,14,-5,-3,7,5,-4,-2,-1,-3
30,98,73,36,1,121.0,1.0,105,15,4,2,4,3,-1,-1,1,-2
31,101,69,34,9,125.0,3.0,95,15,0,0,0,1,-2,-1,-1,-3
32,103,81,41,9,129.0,3.0,105,16,12,7,0,1,5,3,1,-2
33,105,81,41,9,133.0,3.0,95,16,12,7,0,1,-2,-1,0,-2
34,107,85,43,1,137.0,2.0,105,17,16,9,4,3,0,0,1,-1
35,109,76,38,4,141.0,6.0,95,17,7,4,7,5,-9,-5,-1,-2
36,111,78,39,6,148.0,1.0,105,18,9,5,9,6,-2,-1,1,-1
37,114,74,37,2,152.0,3.0,95,18,5,3,5,4,0,0,-1,-2
38,116,76,38,4,156.0,1.0,105,19,7,4,7,5,-2,-1,1,-1
39,120,69,34,9,160.0,2.0,95,19,0,0,0,1,-2,-1,-1,-2
40,122,69,34,9,164.0,1.0,105,20,0,0,0,1,1,1,0,-2
41,126,76,38,4,168.0,2.0,95,20,7,4,7,5,2,1,1,-1
42,128,79,40,7,172.0,1.0,105,21,10,6,10,7,-2,-1,1,0
43,132,76,38,4,176.0,1.0,95,21,7,4,7,5,2,1,-1,-1
44,136,73,36,1,180.0,1.0,105,22,4,2,4,3,-1,-1,-1,-2
45,140,64,31,4,184.0,1.0,95,22,-5,-3,7,5,-4,-2,-1,-3
46,144,73,36,1,188.0,1.0,105,23,4,2,4,3,-1,-1,1,-2
47,147,69,34,9,192.0,2.0,95,23,0,0,0,1,-2,-1,-1,-3
48,150,81,41,9,196.0,3.0,105,24,12,7,0,1,5,3,1,-2
49,152,81,41,9,200.0,3.0,95,24,12,7,0,1,-2,-1,0,-2
50,154,85,43,1,204.0,2.0,105,25,16,9,4,3,0,0,1,-1
51,156,76,38,4,208.0,6.0,95,25,7,4,7,5,-9,-5,-1,-2
52,158,78,39,6,215.0,1.0,105,26,9,5,9,6,-2,-1,1,-1
53,161,74,37,2,219.0,3.0,95,26,5,3,5,4,0,0,-1,-2
54,163,76,38,4,223.0,1.0,105,27,7,4,7,5,-2,-1,1,-1
55,167,69,34,9,227.0,2.0,95,27,0,0,0,1,-2,-1,-1,-2
56,169,69,34,9,231.0,1.0,105,28,0,0,0,1,1,1,0,-2
57,173,76,38,4,235.0,2.0,95,28,7,4,7,5,2,1,1,-1
58,175,79,40,7,239.0,1.0,105,29,10,6,10,7,-2,-1,1,0
59,179,76,38,4,243.0,1.0,95,29,7,4,7,5,2,1,-1,-1
60,183,73,36,1,247.0,1.0,105,30,4,2,4,3,-1,-1,-1,-2
61,187,64,31,4,251.0,1.0,95,30,-5,-3,7,5,-4,-2,-1,-3
62,191,73,36,1,255.0,1.0,105,31,4,2,4,3,-1,-1,1,-2
63,194,69,34,9,259.0,2.0,95,31,0,0,0,1,-2,-1,-1,-3
