,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,0.67,105,0,7,4,7,5,0,0,0,0
1,8,67,33,7,6.0,0.67,95,0,3,2,3,3,-2,-1,-1,-1
2,14,64,31,4,10.0,1.33,105,1,0,0,0,1,-2,-1,-1,-2
3,18,71,35,11,14.0,2.0,95,1,7,4,7,5,2,1,1,-1
4,21,79,40,7,18.0,1.33,105,2,15,9,3,3,1,1,1,0
5,25,71,35,11,22.0,1.33,95,2,7,4,7,5,-3,-2,-1,-1
6,29,76,38,4,26.0,0.67,105,3,12,7,0,1,-2,-1,1,0
7,35,72,36,0,30.0,0.67,95,3,8,5,8,6,-2,-1,-1,-1
8,40,71,35,11,34.0,0.67,105,4,7,4,7,5,2,1,-1,-2
9,46,67,33,7,38.0,0.67,95,4,3,2,3,3,-2,-1,-1,-3
10,52,64,31,4,42.0,1.33,105,5,0,0,0,1,-2,-1,-1,-4
11,56,71,35,11,46.0,2.0,95,5,7,4,7,5,2,1,1,-3
12,59,79,40,7,50.0,1.33,105,6,15,9,3,3,1,1,1,-2
13,63,71,35,11,54.0,1.33,95,6,7,4,7,5,-3,-2,-1,-3
14,67,76,38,4,58.0,2.0,105,7,12,7,0,1,-3,-2,1,-2
15,69,64,31,4,62.0,2.0,95,7,0,0,0,1,0,0,-1,-3
16,72,71,35,11,66.0,0.67,105,8,7,4,7,5,2,1,1,-2
17,78,67,33,7,70.0,0.67,95,8,3,2,3,3,-2,-1,-1,-3
18,84,64,31,4,74.0,1.33,105,9,0,0,0,1,-2,-1,-1,-4
19,88,71,35,11,78.0,2.0,95,9,7,4,7,5,2,1,1,-3
20,91,79,40,7,82.0,1.33,105,10,15,9,3,3,1,1,1,-2
21,95,71,35,11,86.0,1.33,95,10,7,4,7,5,-3,-2,-1,-3
22,99,76,38,4,90.0,0.67,105,11,12,7,0,1,-2,-1,1,-2
23,105,72,36,0,94.0,0.67,95,11,8,5,8,6,-2,-1,-1,-3
24,110,71,35,11,98.0,0.67,105,12,7,4,7,5,2,1,-1,-4
25,116,67,33,7,102.0,0.67,95,12,3,2,3,3,-2,-1,-1,-5
26,122,64,31,4,106.0,1.33,105,13,0,0,0,1,-2,-1,-1,-6
27,126,71,35,11,110.0,2.0,95,13,7,4,7,5,2,1,1,-5
28,129,79,40,7,114.0,1.33,105,14,15,9,3,3,1,1,1,-4
29,133,71,35,11,118.0,1.33,95,14,7,4,7,5,-3,-2,-1,-5
30,137,76,38,4,122.0,2.0,105,15,12,7,0,1,-3,-2,1,-4
31,139,64,31,4,126.0,2.0,95,15,0,0,0,1,0,0,-1,-5
32,142,83,42,11,130.0,1.33,105,16,19,11,7,5,2,1,1,-4
33,146,76,38,4,134.0,1.33,95,16,12,7,0,1,-3,-2,-1,-5
34,150,83,42,11,138.0,1.33,105,17,19,11,7,5,2,1,1,-4
35,154,76,38,4,142.0,0.67,95,17,12,7,0,1,-3,-2,-1,-5
36,159,74,37,2,146.0,2.0,105,18,10,6,10,7,-2,-1,-1,-6
37,162,74,37,2,150.0,1.33,95,18,10,6,10,7,1,1,0,-6
38,166,81,41,9,154.0,1.33,105,19,17,10,5,4,2,1,1,-5
39,170,81,41,9,158.0,2.0,95,19,17,10,5,4,3,2,0,-5
40,173,76,38,4,162.0,1.33,105,20,12,7,0,1,-2,-1,-1,-6
41,177,79,40,7,166.0,1.33,95,20,15,9,3,3,1,1,1,-5
42,181,83,42,11,170.0,1.33,105,21,19,11,7,5,2,1,1,-4
43,185,79,40,7,174.0,1.33,95,21,15,9,3,3,1,1,-1,-5
44,189,79,40,7,178.0,1.33,105,22,15,9,3,3,1,1,0,-5
45,193,71,35,11,182.0,1.33,95,22,7,4,7,5,-3,-2,-1,-6
46,197,76,38,4,186.0,2.0,105,23,12,7,0,1,-3,-2,1,-5
47,199,64,31,4,190.0,2.0,95,23,0,0,0,1,0,0,-1,-6
48,202,83,42,11,194.0,1.33,105,24,19,11,7,5,2,1,1,-5
49,206,76,38,4,198.0,1.33,95,24,12,7,0,1,-3,-2,-1,-6
50,210,83,42,11,202.0,1.33,105,25,19,11,7,5,2,1,1,-5
51,214,76,38,4,206.0,0.67,95,25,12,7,0,1,-3,-2,-1,-6
52,219,74,37,2,210.0,2.0,105,26,10,6,10,7,-2,-1,-1,-7
53,222,74,37,2,214.0,1.33,95,26,10,6,10,7,1,1,0,-7
54,226,81,41,9,218.0,1.33,105,27,17,10,5,4,2,1,1,-6
55,230,81,41,9,222.0,2.0,95,27,17,10,5,4,3,2,0,-6
56,233,76,38,4,226.0,1.33,105,28,12,7,0,1,-2,-1,-1,-7
57,237,79,40,7,230.0,1.33,95,28,15,9,3,3,1,1,1,-6
58,241,83,42,11,234.0,1.33,105,29,19,11,7,5,2,1,1,-5
59,245,79,40,7,238.0,1.33,95,29,15,9,3,3,1,1,-1,-6
60,249,79,40,7,242.0,1.33,105,30,15,9,3,3,1,1,0,-6
61,253,71,35,11,246.0,1.33,95,30,7,4,7,5,-3,-2,-1,-7
62,257,76,38,4,250.0,2.0,105,31,12,7,0,1,-3,-2,1,-6
63,259,64,31,4,254.0,2.0,95,31,0,0,0,1,0,0,-1,-7
