,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,2.0,105,0,7,4,7,5,0,0,0,0
1,5,67,33,7,8.0,2.0,105,1,5,3,5,4,-2,-1,-1,-1
2,8,66,32,6,14.0,2.0,105,2,4,2,4,3,-1,-1,-1,-2
3,11,66,32,6,20.0,4.0,105,3,4,2,4,3,4,2,0,-2
4,14,66,32,6,26.0,2.0,105,4,4,2,4,3,-1,-1,0,-2
5,17,67,33,7,32.0,2.0,105,5,5,3,5,4,1,1,1,-1
6,20,71,35,11,38.0,4.0,105,6,9,5,9,6,4,2,1,0
7,22,66,32,6,44.0,4.0,105,7,4,2,4,3,-3,-2,-1,-1
8,25,69,34,9,50.0,2.0,105,8,7,4,7,5,2,1,1,0
9,28,67,33,7,56.0,2.0,105,9,5,3,5,4,-2,-1,-1,-1
10,31,66,32,6,62.0,2.0,105,10,4,2,4,3,-1,-1,-1,-2
11,34,66,32,6,68.0,4.0,105,11,4,2,4,3,4,2,0,-2
12,37,66,32,6,74.0,2.0,105,12,4,2,4,3,-1,-1,0,-2
13,40,67,33,7,80.0,3.0,105,13,5,3,5,4,1,1,1,-1
14,43,62,30,2,86.0,10.0,105,14,0,0,0,1,-2,-1,-1,-2
15,46,69,34,9,98.0,2.0,105,15,7,4,7,5,2,1,1,-1
16,49,71,35,11,104.0,2.0,105,16,9,5,9,6,2,1,1,0
17,51,69,34,9,110.0,1.0,105,17,7,4,7,5,-10,-6,-1,-1
18,56,69,34,9,116.0,4.0,105,18,7,4,7,5,-5,-3,0,-1
19,59,73,36,1,122.0,2.0,105,19,11,6,11,7,-1,-1,1,0
20,62,67,33,7,128.0,3.0,105,20,5,3,5,4,1,1,-1,-1
21,65,67,33,7,134.0,3.0,105,21,5,3,5,4,0,0,0,-1
22,68,62,30,2,140.0,10.0,105,22,0,0,0,1,-2,-1,-1,-2
