,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,76,38,4,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,74,37,2,5.0,3.0,95,0,5,3,5,4,1,1,-1,-1
2,7,74,37,2,9.0,1.0,105,1,5,3,5,4,3,2,0,-1
3,11,73,36,1,13.0,3.0,95,1,4,2,4,3,-3,-2,-1,-2
4,13,73,36,1,17.0,1.0,105,2,4,2,4,3,0,0,0,-2
5,17,71,35,11,21.0,3.0,95,2,2,1,2,2,2,1,-1,-3
6,19,71,35,11,25.0,1.0,105,3,2,1,2,2,2,1,0,-3
7,23,71,35,11,29.0,3.0,95,3,2,1,2,2,-2,-1,0,-3
8,25,76,38,4,33.0,1.0,105,4,7,4,7,5,3,2,1,-2
9,29,74,37,2,37.0,3.0,95,4,5,3,5,4,1,1,-1,-3
10,31,74,37,2,41.0,1.0,105,5,5,3,5,4,3,2,0,-3
11,35,73,36,1,45.0,3.0,95,5,4,2,4,3,-3,-2,-1,-4
12,37,73,36,1,49.0,1.0,105,6,4,2,4,3,0,0,0,-4
13,41,71,35,11,53.0,3.0,95,6,2,1,2,2,2,1,-1,-5
14,43,71,35,11,57.0,1.0,105,7,2,1,2,2,2,1,0,-5
15,47,76,38,4,61.0,3.0,95,7,7,4,7,5,3,2,1,-4
16,49,78,39,6,69.0,1.0,95,7,9,5,9,6,0,0,1,-3
17,53,73,36,1,73.0,4.0,105,8,4,2,4,3,-1,-1,-1,-4
18,56,74,37,2,85.0,1.0,95,8,5,3,5,4,0,0,1,-3
19,59,76,38,4,89.0,4.0,105,9,7,4,7,5,2,1,1,-2
20,61,78,39,6,101.0,1.0,95,9,9,5,9,6,0,0,1,-1
21,65,73,36,1,105.0,1.0,105,10,4,2,4,3,-1,-1,-1,-2
22,69,76,38,4,109.0,3.0,95,10,7,4,7,5,2,1,1,-1
23,71,71,35,11,113.0,3.0,105,11,2,1,2,2,0,0,-1,-2
24,73,71,35,11,117.0,3.0,95,11,2,1,2,2,-2,-1,0,-2
25,75,69,34,9,121.0,4.0,105,12,0,0,0,1,0,0,-1,-3
26,76,69,34,9,125.0,4.0,95,12,0,0,0,1,0,0,0,-3
