,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,3.0,105,0,16,9,4,3,0,0,0,0
1,3,74,37,2,6.0,2.0,105,1,12,7,0,1,0,0,-1,-1
2,6,71,35,11,12.0,4.0,105,2,9,5,9,6,-3,-2,-1,-2
3,8,66,32,6,18.0,4.0,105,3,4,2,4,3,-3,-2,-1,-3
4,10,71,35,11,24.0,1.0,105,4,9,5,9,6,2,1,1,-2
5,15,76,38,4,30.0,4.0,105,5,14,8,2,2,2,1,1,-1
6,18,78,39,6,36.0,2.0,105,6,16,9,4,3,2,1,1,0
7,21,74,37,2,42.0,4.0,105,7,12,7,0,1,-2,-1,-1,-1
8,23,71,35,11,48.0,4.0,105,8,9,5,9,6,-7,-4,-1,-2
9,25,69,34,9,54.0,4.0,105,9,7,4,7,5,-7,-4,-1,-3
10,27,66,32,6,60.0,2.0,105,10,4,2,4,3,-8,-5,-1,-4
11,30,62,30,2,66.0,4.0,105,11,0,0,0,1,-2,-1,-1,-5
12,32,71,35,11,72.0,4.0,105,12,9,5,9,6,-7,-4,1,-4
13,34,69,34,9,78.0,4.0,105,13,7,4,7,5,-7,-4,-1,-5
14,37,74,37,2,84.0,10.0,105,14,12,7,0,1,1,1,1,-4
15,41,74,37,2,100.0,2.0,105,15,12,7,0,1,0,0,0,-4
16,44,71,35,11,106.0,4.0,105,16,9,5,9,6,-3,-2,-1,-5
17,46,66,32,6,112.0,4.0,105,17,4,2,4,3,-3,-2,-1,-6
18,48,71,35,11,118.0,1.0,105,18,9,5,9,6,2,1,1,-5
19,53,76,38,4,124.0,4.0,105,19,14,8,2,2,2,1,1,-4
20,56,78,39,6,130.0,2.0,105,20,16,9,4,3,2,1,1,-3
21,59,74,37,2,136.0,4.0,105,21,12,7,0,1,-2,-1,-1,-4
22,61,71,35,11,142.0,4.0,105,22,9,5,9,6,-7,-4,-1,-5
23,63,69,34,9,148.0,4.0,105,23,7,4,7,5,-7,-4,-1,-6
24,65,66,32,6,154.0,2.0,105,24,4,2,4,3,-8,-5,-1,-7
25,68,62,30,2,160.0,4.0,105,25,0,0,0,1,-2,-1,-1,-8
26,70,71,35,11,166.0,4.0,105,26,9,5,9,6,-7,-4,1,-7
27,72,69,34,9,172.0,4.0,105,27,7,4,7,5,-7,-4,-1,-8
28,75,74,37,2,178.0,10.0,105,28,12,7,0,1,1,1,1,-7
29,79,76,38,4,194.0,1.0,105,29,14,8,2,2,2,1,1,-6
30,84,83,42,11,200.0,4.0,105,30,21,12,9,6,2,1,1,-5
31,86,78,39,6,206.0,4.0,105,31,16,9,4,3,-3,-2,-1,-6
32,89,76,38,4,212.0,2.0,105,32,14,8,2,2,2,1,-1,-7
33,92,78,39,6,218.0,4.0,105,33,16,9,4,3,-3,-2,1,-6
34,94,74,37,2,224.0,4.0,105,34,12,7,0,1,-2,-1,-1,-7
35,96,71,35,11,230.0,4.0,105,35,9,5,9,6,0,0,-1,-8
36,98,66,32,6,236.0,4.0,105,36,4,2,4,3,-3,-2,-1,-9
37,100,62,30,2,242.0,4.0,105,37,0,0,0,1,-2,-1,-1,-10
38,102,71,35,11,248.0,4.0,105,38,9,5,9,6,-7,-4,1,-9
39,104,69,34,9,254.0,4.0,105,39,7,4,7,5,-7,-4,-1,-10
40,106,83,42,11,260.0,1.0,105,40,21,12,9,6,2,1,1,-9
41,112,76,38,4,266.0,3.0,105,41,14,8,2,2,2,1,-1,-10
42,115,74,37,2,271.0,1.0,105,42,12,7,0,1,-2,-1,-1,-11
