,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,80,40,8,0.0,2.0,105,0,16,9,4,3,0,0,0,0
1,3,80,40,8,4.0,1.0,95,0,16,9,4,3,-1,-1,0,0
2,7,71,35,11,8.0,1.0,105,1,7,4,7,5,-2,-1,-1,-1
3,11,80,40,8,12.0,1.0,95,1,16,9,4,3,-3,-2,1,0
4,15,73,36,1,16.0,1.0,105,2,9,5,9,6,1,0,-1,-1
5,19,75,38,3,20.0,1.0,95,2,11,7,11,1,-6,-3,1,0
6,23,71,35,11,24.0,1.0,105,3,7,4,7,5,-5,-3,-1,-1
7,27,78,39,6,28.0,1.0,95,3,14,8,2,2,2,1,1,0
8,31,80,40,8,32.0,2.0,105,4,16,9,4,3,2,1,1,1
9,34,80,40,8,36.0,1.0,95,4,16,9,4,3,-1,-1,0,1
10,38,71,35,11,40.0,1.0,105,5,7,4,7,5,-2,-1,-1,0
11,42,80,40,8,44.0,1.0,95,5,16,9,4,3,-3,-2,1,1
12,46,73,36,1,48.0,1.0,105,6,9,5,9,6,1,0,-1,0
13,50,78,39,6,52.0,1.0,95,6,14,8,2,2,-2,-1,1,1
14,54,76,38,4,56.0,2.0,105,7,12,7,0,1,-2,-1,-1,0
15,57,76,38,4,60.0,2.0,95,7,12,7,0,1,-2,-1,0,0
16,60,80,40,8,64.0,2.0,105,8,16,9,4,3,2,1,1,1
17,63,80,40,8,68.0,1.0,95,8,16,9,4,3,-1,-1,0,1
18,67,71,35,11,72.0,1.0,105,9,7,4,7,5,-2,-1,-1,0
19,72,76,38,4,76.0,1.0,95,9,12,7,0,1,-4,-2,1,1
20,76,73,36,1,80.0,1.0,105,10,9,5,9,6,1,0,-1,0
21,81,75,38,3,84.0,1.0,95,10,11,7,11,1,-1,0,1,1
22,85,71,35,11,88.0,1.0,105,11,7,4,7,5,-5,-3,-1,0
23,89,78,39,6,92.0,1.0,95,11,14,8,2,2,2,1,1,1
24,93,80,40,8,96.0,2.0,105,12,16,9,4,3,2,1,1,2
25,96,80,40,8,100.0,1.0,95,12,16,9,4,3,-1,-1,0,2
26,100,71,35,11,104.0,1.0,105,13,7,4,7,5,-2,-1,-1,1
27,105,76,38,4,108.0,1.0,95,13,12,7,0,1,-4,-2,1,2
28,109,73,36,1,112.0,1.0,105,14,9,5,9,6,1,0,-1,1
29,113,78,39,6,116.0,1.0,95,14,14,8,2,2,-2,-1,1,2
30,117,76,38,4,120.0,2.0,105,15,12,7,0,1,-2,-1,-1,1
31,120,76,38,4,124.0,2.0,95,15,12,7,0,1,-2,-1,0,1
32,123,80,40,8,128.0,1.0,105,16,16,9,4,3,2,1,1,2
33,127,76,38,4,132.0,1.0,95,16,12,7,0,1,-2,-1,-1,1
34,131,83,42,11,136.0,1.0,105,17,19,11,7,5,2,1,1,2
35,135,81,41,9,140.0,1.0,95,17,17,10,5,4,-2,-1,-1,1
36,139,71,35,11,144.0,1.0,105,18,7,4,7,5,2,1,-1,0
37,143,81,41,9,148.0,1.0,95,18,17,10,5,4,1,1,1,1
38,149,83,42,11,156.0,1.0,95,18,19,11,7,5,2,1,1,2
39,153,80,40,8,160.0,1.0,105,19,16,9,4,3,-1,-1,-1,1
40,157,76,38,4,164.0,1.0,95,19,12,7,0,1,-2,-1,-1,0
41,161,83,42,11,168.0,1.0,105,20,19,11,7,5,2,1,1,1
42,165,81,41,9,172.0,1.0,95,20,17,10,5,4,-2,-1,-1,0
43,169,71,35,11,176.0,1.0,105,21,7,4,7,5,2,1,-1,-1
44,173,81,41,9,180.0,1.0,95,21,17,10,5,4,1,1,1,0
45,179,78,39,6,188.0,1.0,95,21,14,8,2,2,2,1,-1,-1
46,182,80,40,8,192.0,1.0,105,22,16,9,4,3,4,2,1,0
47,186,76,38,4,196.0,1.0,95,22,12,7,0,1,-2,-1,-1,-1
48,190,83,42,11,200.0,1.0,105,23,19,11,7,5,2,1,1,0
49,193,81,41,9,204.0,1.0,95,23,17,10,5,4,-2,-1,-1,-1
50,197,71,35,11,208.0,1.0,105,24,7,4,7,5,2,1,-1,-2
51,201,81,41,9,212.0,1.0,95,24,17,10,5,4,1,1,1,-1
52,207,83,42,11,220.0,1.0,95,24,19,11,7,5,2,1,1,0
53,211,80,40,8,224.0,1.0,105,25,16,9,4,3,-1,-1,-1,-1
54,215,76,38,4,228.0,1.0,95,25,12,7,0,1,-2,-1,-1,-2
55,219,83,42,11,232.0,1.0,105,26,19,11,7,5,2,1,1,-1
56,223,81,41,9,236.0,1.0,95,26,17,10,5,4,-2,-1,-1,-2
57,227,71,35,11,240.0,1.0,105,27,7,4,7,5,2,1,-1,-3
58,231,81,41,9,244.0,1.0,95,27,17,10,5,4,1,1,1,-2
59,237,78,39,6,252.0,1.0,95,27,14,8,2,2,2,1,-1,-3
