,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,76,38,4,4.0,1.0,95,0,5,3,5,4,-2,-1,-1,-1
2,7,74,37,2,8.0,1.0,105,1,3,2,3,3,-2,-1,-1,-2
3,11,71,35,11,12.0,1.0,95,1,0,0,0,1,1,0,-1,-3
4,15,73,36,1,16.0,1.0,105,2,2,1,2,2,2,1,1,-2
5,19,66,32,6,20.0,1.0,95,2,-5,-3,7,5,-7,-4,-1,-3
6,23,74,37,2,24.0,1.0,105,3,3,2,3,3,-2,-1,1,-2
7,27,71,35,11,28.0,1.0,95,3,0,0,0,1,2,1,-1,-3
8,31,78,39,6,32.0,2.0,105,4,7,4,7,5,2,1,1,-2
9,34,76,38,4,36.0,1.0,95,4,5,3,5,4,-2,-1,-1,-3
10,38,74,37,2,40.0,1.0,105,5,3,2,3,3,-2,-1,-1,-4
11,42,71,35,11,44.0,1.0,95,5,0,0,0,1,1,0,-1,-5
12,46,73,36,1,48.0,1.0,105,6,2,1,2,2,2,1,1,-4
13,50,66,32,6,52.0,1.0,95,6,-5,-3,7,5,-7,-4,-1,-5
14,54,74,37,2,56.0,1.0,105,7,3,2,3,3,-2,-1,1,-4
15,58,71,35,11,60.0,4.0,95,7,0,0,0,1,2,1,-1,-5
16,59,78,39,6,64.0,2.0,105,8,7,4,7,5,7,4,1,-4
17,62,76,38,4,68.0,1.0,95,8,5,3,5,4,-2,-1,-1,-5
18,66,74,37,2,72.0,1.0,105,9,3,2,3,3,-2,-1,-1,-6
19,70,71,35,11,76.0,1.0,95,9,0,0,0,1,1,0,-1,-7
20,74,73,36,1,80.0,1.0,105,10,2,1,2,2,2,1,1,-6
21,78,66,32,6,84.0,1.0,95,10,-5,-3,7,5,-7,-4,-1,-7
22,82,74,37,2,88.0,1.0,105,11,3,2,3,3,-2,-1,1,-6
23,86,71,35,11,92.0,1.0,95,11,0,0,0,1,2,1,-1,-7
24,90,78,39,6,96.0,2.0,105,12,7,4,7,5,2,1,1,-6
25,93,76,38,4,100.0,1.0,95,12,5,3,5,4,-2,-1,-1,-7
26,97,74,37,2,104.0,1.0,105,13,3,2,3,3,-2,-1,-1,-8
27,101,71,35,11,108.0,1.0,95,13,0,0,0,1,1,0,-1,-9
28,105,73,36,1,112.0,1.0,105,14,2,1,2,2,2,1,1,-8
29,109,66,32,6,116.0,1.0,95,14,-5,-3,7,5,-7,-4,-1,-9
30,113,74,37,2,120.0,1.0,105,15,3,2,3,3,-2,-1,1,-8
31,117,71,35,11,124.0,4.0,95,15,0,0,0,1,2,1,-1,-9
32,118,79,40,7,128.0,4.0,105,16,8,5,8,6,8,5,1,-8
33,119,76,38,4,132.0,1.0,95,16,5,3,5,4,-3,-2,-1,-9
34,123,78,39,6,136.0,4.0,105,17,7,4,7,5,-1,-1,1,-8
35,124,74,37,2,140.0,1.0,95,17,3,2,3,3,-4,-2,-1,-9
36,128,76,38,4,144.0,1.0,105,18,5,3,5,4,-2,-1,1,-8
37,132,66,32,6,148.0,1.0,95,18,-5,-3,7,5,-7,-4,-1,-9
38,136,74,37,2,152.0,1.0,105,19,3,2,3,3,-2,-1,1,-8
39,140,71,35,11,156.0,1.0,95,19,0,0,0,1,2,1,-1,-9
40,144,79,40,7,160.0,4.0,105,20,8,5,8,6,1,1,1,-8
41,145,76,38,4,164.0,1.0,95,20,5,3,5,4,-3,-2,-1,-9
42,149,78,39,6,168.0,4.0,105,21,7,4,7,5,-1,-1,1,-8
43,150,74,37,2,172.0,1.0,95,21,3,2,3,3,-4,-2,-1,-9
44,154,76,38,4,176.0,1.0,105,22,5,3,5,4,-2,-1,1,-8
45,158,66,32,6,180.0,1.0,95,22,-5,-3,7,5,-7,-4,-1,-9
46,162,74,37,2,184.0,1.0,105,23,3,2,3,3,-2,-1,1,-8
47,166,71,35,11,188.0,4.0,95,23,0,0,0,1,2,1,-1,-9
48,167,79,40,7,192.0,4.0,105,24,8,5,8,6,8,5,1,-8
49,168,76,38,4,196.0,1.0,95,24,5,3,5,4,-3,-2,-1,-9
50,172,78,39,6,200.0,4.0,105,25,7,4,7,5,-1,-1,1,-8
51,173,74,37,2,204.0,1.0,95,25,3,2,3,3,-4,-2,-1,-9
52,177,76,38,4,208.0,1.0,105,26,5,3,5,4,-2,-1,1,-8
53,181,66,32,6,212.0,1.0,95,26,-5,-3,7,5,-7,-4,-1,-9
54,185,74,37,2,216.0,1.0,105,27,3,2,3,3,-2,-1,1,-8
55,189,71,35,11,220.0,1.0,95,27,0,0,0,1,2,1,-1,-9
56,193,79,40,7,224.0,4.0,105,28,8,5,8,6,1,1,1,-8
57,194,76,38,4,228.0,1.0,95,28,5,3,5,4,-3,-2,-1,-9
58,198,78,39,6,232.0,4.0,105,29,7,4,7,5,-1,-1,1,-8
59,199,74,37,2,236.0,1.0,95,29,3,2,3,3,-4,-2,-1,-9
60,203,76,38,4,240.0,1.0,105,30,5,3,5,4,-2,-1,1,-8
61,207,66,32,6,244.0,1.0,95,30,-5,-3,7,5,-7,-4,-1,-9
62,211,74,37,2,248.0,1.0,105,31,3,2,3,3,-2,-1,1,-8
63,215,71,35,11,252.0,4.0,95,31,0,0,0,1,2,1,-1,-9
64,216,66,32,6,256.0,1.0,105,32,-5,-3,7,5,-5,-3,-1,-10
65,220,69,34,9,260.0,1.0,95,32,-2,-1,10,7,-2,-1,1,-9
66,224,69,34,9,264.0,1.0,105,33,-2,-1,10,7,2,1,0,-9
67,228,66,32,6,268.0,1.0,95,33,-5,-3,7,5,-1,-1,-1,-10
68,232,73,36,1,272.0,1.0,105,34,2,1,2,2,2,1,1,-9
69,236,70,35,10,276.0,1.0,95,34,-1,0,11,1,-1,0,-1,-10
70,240,76,38,4,280.0,1.0,105,35,5,3,5,4,2,1,1,-9
