,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,71,35,11,1.0,3.0,105,0,4,2,4,3,0,0,0,0
1,5,69,34,9,7.0,4.0,105,1,2,1,2,2,-2,-1,-1,-1
2,8,67,33,7,13.0,1.0,105,2,0,0,0,1,-2,-1,-1,-2
3,12,71,35,11,19.0,2.0,105,3,4,2,4,3,0,0,1,-1
4,15,71,35,11,25.0,1.0,105,4,4,2,4,3,-1,-1,0,-1
5,19,67,33,7,31.0,1.0,105,5,0,0,0,1,1,1,-1,-2
6,23,64,31,4,37.0,2.0,105,6,-3,-2,9,6,2,1,-1,-3
7,26,69,34,9,43.0,4.0,105,7,2,1,2,2,-2,-1,1,-2
8,28,71,35,11,49.0,3.0,105,8,4,2,4,3,-1,-1,1,-1
9,32,69,34,9,55.0,4.0,105,9,2,1,2,2,-2,-1,-1,-2
10,35,67,33,7,61.0,1.0,105,10,0,0,0,1,-2,-1,-1,-3
11,39,71,35,11,67.0,2.0,105,11,4,2,4,3,0,0,1,-2
12,42,71,35,11,73.0,1.0,105,12,4,2,4,3,-1,-1,0,-2
13,46,67,33,7,79.0,1.0,105,13,0,0,0,1,1,1,-1,-3
14,50,64,31,4,85.0,2.0,105,14,-3,-2,9,6,2,1,-1,-4
15,53,69,34,9,91.0,3.0,105,15,2,1,2,2,-2,-1,1,-3
16,56,67,33,7,97.0,1.0,95,15,0,0,0,1,5,3,-1,-4
17,60,69,34,9,102.0,1.0,105,16,2,1,2,2,2,1,1,-3
18,63,64,31,4,108.0,1.0,105,17,-3,-2,9,6,2,1,-1,-4
19,67,74,37,2,114.0,1.0,105,18,7,4,7,5,0,0,1,-3
20,70,64,31,4,120.0,2.0,105,19,-3,-2,9,6,-2,-1,-1,-4
21,75,71,35,11,126.0,1.0,105,20,4,2,4,3,4,2,1,-3
22,78,64,31,4,132.0,2.0,105,21,-3,-2,9,6,2,1,-1,-4
23,83,67,33,7,138.0,1.0,105,22,0,0,0,1,0,0,1,-3
24,89,62,30,2,144.0,1.0,105,23,-5,-3,7,5,-4,-2,-1,-4
25,94,69,34,9,150.0,1.0,105,24,2,1,2,2,2,1,1,-3
26,97,64,31,4,156.0,1.0,105,25,-3,-2,9,6,2,1,-1,-4
27,101,74,37,2,162.0,1.0,105,26,7,4,7,5,0,0,1,-3
28,104,76,38,4,168.0,2.0,105,27,9,5,9,6,10,6,1,-2
29,107,74,37,2,174.0,2.0,105,28,7,4,7,5,2,1,-1,-3
30,110,74,37,2,180.0,1.0,105,29,7,4,7,5,0,0,0,-3
31,114,74,37,2,186.0,1.0,105,30,7,4,7,5,0,0,0,-3
32,117,66,32,6,192.0,1.0,105,31,-1,-1,11,7,0,0,-1,-4
33,121,66,32,6,198.0,1.0,105,32,-1,-1,11,7,-1,-1,0,-4
34,126,76,38,4,204.0,2.0,105,33,9,5,9,6,2,1,1,-3
35,129,71,35,11,210.0,3.0,105,34,4,2,4,3,0,0,-1,-4
36,132,66,32,6,216.0,1.0,105,35,-1,-1,11,7,-3,-2,-1,-5
37,136,66,32,6,222.0,1.0,105,36,-1,-1,11,7,-1,-1,0,-5
38,141,76,38,4,228.0,2.0,105,37,9,5,9,6,2,1,1,-4
39,145,79,40,7,234.0,1.0,105,38,12,7,0,1,3,2,1,-3
40,151,78,39,6,240.0,1.0,105,39,11,6,11,7,0,0,-1,-4
41,155,78,39,6,246.0,1.0,105,40,11,6,11,7,-1,-1,0,-4
42,158,76,38,4,252.0,2.0,105,41,9,5,9,6,2,1,-1,-5
43,161,71,35,11,258.0,3.0,105,42,4,2,4,3,0,0,-1,-6
44,164,71,35,11,264.0,2.0,105,43,4,2,4,3,2,1,0,-6
45,167,67,33,7,270.0,3.0,105,44,0,0,0,1,1,1,-1,-7
46,170,64,31,4,276.0,2.0,105,45,-3,-2,9,6,-7,-4,-1,-8
47,173,69,34,9,282.0,6.0,105,46,2,1,2,2,-2,-1,1,-7
