,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,71,35,11,1.0,1.0,105,0,9,5,9,6,0,0,0,0
1,5,67,33,7,5.0,2.0,95,0,5,3,5,4,5,3,-1,-1
2,8,62,30,2,9.0,1.0,105,1,0,0,0,1,-4,-2,-1,-2
3,12,66,32,6,13.0,1.0,95,1,4,2,4,3,4,2,1,-1
4,16,71,35,11,17.0,1.0,105,2,9,5,9,6,-2,-1,1,0
5,20,67,33,7,21.0,2.0,95,2,5,3,5,4,1,1,-1,-1
6,23,62,30,2,25.0,1.0,105,3,0,0,0,1,-4,-2,-1,-2
7,27,71,35,11,29.0,2.0,95,3,9,5,9,6,5,3,1,-1
8,30,71,35,11,33.0,1.0,105,4,9,5,9,6,-3,-2,0,-1
9,34,67,33,7,37.0,1.0,95,4,5,3,5,4,5,3,-1,-2
10,38,62,30,2,41.0,1.0,105,5,0,0,0,1,-4,-2,-1,-3
11,42,66,32,6,45.0,1.0,95,5,4,2,4,3,4,2,1,-2
12,46,71,35,11,49.0,1.0,105,6,9,5,9,6,-3,-2,1,-1
13,50,71,35,11,53.0,1.0,95,6,9,5,9,6,-3,-2,0,-1
14,53,71,35,11,57.0,0.5,105,7,9,5,9,6,5,3,0,-1
15,58,66,32,6,61.0,1.0,95,7,4,2,4,3,0,0,-1,-2
16,62,71,35,11,65.0,1.0,105,8,9,5,9,6,9,5,1,-1
17,66,67,33,7,69.0,2.0,95,8,5,3,5,4,5,3,-1,-2
18,69,62,30,2,73.0,1.0,105,9,0,0,0,1,-4,-2,-1,-3
19,73,66,32,6,77.0,1.0,95,9,4,2,4,3,4,2,1,-2
20,77,71,35,11,81.0,1.0,105,10,9,5,9,6,-2,-1,1,-1
21,81,67,33,7,85.0,2.0,95,10,5,3,5,4,1,1,-1,-2
22,84,62,30,2,89.0,1.0,105,11,0,0,0,1,-4,-2,-1,-3
23,88,71,35,11,93.0,2.0,95,11,9,5,9,6,5,3,1,-2
24,91,71,35,11,97.0,1.0,105,12,9,5,9,6,-3,-2,0,-2
25,95,67,33,7,101.0,1.0,95,12,5,3,5,4,5,3,-1,-3
26,99,62,30,2,105.0,1.0,105,13,0,0,0,1,-4,-2,-1,-4
27,103,66,32,6,109.0,1.0,95,13,4,2,4,3,4,2,1,-3
28,107,71,35,11,113.0,1.0,105,14,9,5,9,6,-3,-2,1,-2
29,111,71,35,11,117.0,1.0,95,14,9,5,9,6,-3,-2,0,-2
30,114,71,35,11,121.0,0.5,105,15,9,5,9,6,5,3,0,-2
31,119,66,32,6,125.0,1.0,95,15,4,2,4,3,0,0,-1,-3
32,123,74,37,2,129.0,1.0,105,16,12,7,0,1,0,0,1,-2
33,127,83,42,11,133.0,1.0,95,16,21,12,9,6,7,4,1,-1
34,131,74,37,2,137.0,1.0,105,17,12,7,0,1,-2,-1,-1,-2
35,134,81,41,9,141.0,1.0,95,17,19,11,7,5,3,2,1,-1
36,138,74,37,2,145.0,1.0,105,18,12,7,0,1,-4,-2,-1,-2
37,142,83,42,11,149.0,1.0,95,18,21,12,9,6,7,4,1,-1
38,147,81,41,9,153.0,1.0,105,19,19,11,7,5,-2,-1,-1,-2
39,151,79,40,7,157.0,1.0,95,19,17,10,5,4,-2,-1,-1,-3
40,155,74,37,2,161.0,1.0,105,20,12,7,0,1,0,0,-1,-4
41,159,83,42,11,165.0,1.0,95,20,21,12,9,6,4,2,1,-3
42,162,74,37,2,169.0,1.0,105,21,12,7,0,1,-2,-1,-1,-4
43,165,81,41,9,173.0,1.0,95,21,19,11,7,5,3,2,1,-3
44,169,76,38,4,177.0,1.0,105,22,14,8,2,2,-2,-1,-1,-4
45,173,83,42,11,181.0,1.0,95,22,21,12,9,6,2,1,1,-3
46,177,81,41,9,185.0,1.0,105,23,19,11,7,5,3,2,-1,-4
47,181,74,37,2,189.0,1.0,95,23,12,7,0,1,-4,-2,-1,-5
48,185,76,38,4,193.0,1.0,105,24,14,8,2,2,2,1,1,-4
49,188,71,35,11,197.0,1.0,95,24,9,5,9,6,-5,-3,-1,-5
50,192,74,37,2,201.0,3.0,105,25,12,7,0,1,-2,-1,1,-4
51,194,81,41,9,205.0,1.0,95,25,19,11,7,5,0,0,1,-3
52,198,76,38,4,209.0,1.0,105,26,14,8,2,2,-2,-1,-1,-4
53,202,83,42,11,213.0,1.0,95,26,21,12,9,6,7,4,1,-3
54,207,81,41,9,217.0,1.0,105,27,19,11,7,5,-2,-1,-1,-4
55,211,79,40,7,221.0,1.0,95,27,17,10,5,4,-2,-1,-1,-5
56,214,76,38,4,225.0,1.0,105,28,14,8,2,2,2,1,-1,-6
57,218,83,42,11,229.0,1.0,95,28,21,12,9,6,4,2,1,-5
58,222,74,37,2,233.0,1.0,105,29,12,7,0,1,-2,-1,-1,-6
59,225,81,41,9,237.0,1.0,95,29,19,11,7,5,3,2,1,-5
60,229,76,38,4,241.0,1.0,105,30,14,8,2,2,-2,-1,-1,-6
61,233,83,42,11,245.0,1.0,95,30,21,12,9,6,2,1,1,-5
62,237,81,41,9,249.0,1.0,105,31,19,11,7,5,3,2,-1,-6
63,241,76,38,4,253.0,1.0,95,31,14,8,2,2,-2,-1,-1,-7
