,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,3.0,105,0,7,4,7,5,0,0,0,0
1,1,73,36,1,3.0,1.0,95,0,11,6,11,7,4,2,1,1
2,4,74,37,2,6.0,1.0,105,1,12,7,0,1,1,1,1,2
3,7,71,35,11,9.0,1.0,95,1,9,5,9,6,0,0,-1,1
4,10,67,33,7,12.0,3.0,105,2,5,3,5,4,1,1,-1,0
5,11,71,35,11,15.0,1.0,95,2,9,5,9,6,4,2,1,1
6,14,72,36,0,18.0,1.0,105,3,10,6,10,7,1,1,1,2
7,17,71,35,11,21.0,1.0,95,3,9,5,9,6,2,1,-1,1
8,20,69,34,9,24.0,3.0,105,4,7,4,7,5,-5,-3,-1,0
9,21,73,36,1,27.0,1.0,95,4,11,6,11,7,4,2,1,1
10,24,74,37,2,30.0,1.0,105,5,12,7,0,1,1,1,1,2
11,27,73,36,1,33.0,1.0,95,5,11,6,11,7,2,1,-1,1
12,30,79,40,7,36.0,1.0,105,6,17,10,5,4,3,2,1,2
13,33,74,37,2,39.0,1.0,95,6,12,7,0,1,-2,-1,-1,1
14,36,71,35,11,42.0,1.0,105,7,9,5,9,6,4,2,-1,0
15,39,69,34,9,45.0,3.0,95,7,7,4,7,5,2,1,-1,-1
16,40,69,34,9,48.0,3.0,105,8,7,4,7,5,0,0,0,-1
17,41,73,36,1,51.0,1.0,95,8,11,6,11,7,4,2,1,0
18,44,74,37,2,54.0,1.0,105,9,12,7,0,1,1,1,1,1
19,47,71,35,11,57.0,1.0,95,9,9,5,9,6,0,0,-1,0
20,50,67,33,7,60.0,3.0,105,10,5,3,5,4,1,1,-1,-1
21,51,71,35,11,63.0,1.0,95,10,9,5,9,6,4,2,1,0
22,54,72,36,0,66.0,1.0,105,11,10,6,10,7,1,1,1,1
23,57,71,35,11,69.0,1.0,95,11,9,5,9,6,2,1,-1,0
24,60,69,34,9,72.0,3.0,105,12,7,4,7,5,-5,-3,-1,-1
25,61,73,36,1,75.0,1.0,95,12,11,6,11,7,4,2,1,0
26,64,74,37,2,78.0,1.0,105,13,12,7,0,1,1,1,1,1
27,67,73,36,1,81.0,1.0,95,13,11,6,11,7,2,1,-1,0
28,70,79,40,7,84.0,1.0,105,14,17,10,5,4,3,2,1,1
29,73,74,37,2,87.0,1.0,95,14,12,7,0,1,-2,-1,-1,0
30,76,71,35,11,90.0,1.0,105,15,9,5,9,6,4,2,-1,-1
31,79,69,34,9,93.0,3.0,95,15,7,4,7,5,2,1,-1,-2
32,80,81,41,9,96.0,3.0,105,16,19,11,7,5,12,7,1,-1
33,81,78,39,6,99.0,1.0,95,16,16,9,4,3,-3,-2,-1,-2
34,84,76,38,4,102.0,1.0,105,17,14,8,2,2,-2,-1,-1,-3
35,87,69,34,9,105.0,1.0,95,17,7,4,7,5,0,0,-1,-4
36,90,79,40,7,108.0,3.0,105,18,17,10,5,4,3,2,1,-3
37,91,79,40,7,111.0,1.0,95,18,17,10,5,4,0,0,0,-3
38,94,74,37,2,114.0,1.0,105,19,12,7,0,1,-2,-1,-1,-4
39,97,71,35,11,117.0,1.0,95,19,9,5,9,6,4,2,-1,-5
40,100,69,34,9,120.0,3.0,105,20,7,4,7,5,2,1,-1,-6
41,101,79,40,7,123.0,1.0,95,20,17,10,5,4,10,6,1,-5
42,104,76,38,4,126.0,1.0,105,21,14,8,2,2,-2,-1,-1,-6
43,107,71,35,11,129.0,1.0,95,21,9,5,9,6,0,0,-1,-7
44,110,71,35,11,132.0,1.0,105,22,9,5,9,6,4,2,0,-7
45,113,71,35,11,135.0,1.0,95,22,9,5,9,6,4,2,0,-7
46,116,71,35,11,138.0,1.0,105,23,9,5,9,6,-3,-2,0,-7
47,119,69,34,9,141.0,3.0,95,23,7,4,7,5,2,1,-1,-8
48,120,81,41,9,144.0,3.0,105,24,19,11,7,5,12,7,1,-7
49,121,78,39,6,147.0,1.0,95,24,16,9,4,3,-3,-2,-1,-8
50,124,76,38,4,150.0,1.0,105,25,14,8,2,2,-2,-1,-1,-9
51,127,69,34,9,153.0,1.0,95,25,7,4,7,5,0,0,-1,-10
52,130,79,40,7,156.0,3.0,105,26,17,10,5,4,3,2,1,-9
53,131,79,40,7,159.0,1.0,95,26,17,10,5,4,0,0,0,-9
54,134,74,37,2,162.0,1.0,105,27,12,7,0,1,-2,-1,-1,-10
55,137,71,35,11,165.0,1.0,95,27,9,5,9,6,4,2,-1,-11
56,140,69,34,9,168.0,3.0,105,28,7,4,7,5,2,1,-1,-12
57,141,79,40,7,171.0,1.0,95,28,17,10,5,4,10,6,1,-11
58,144,76,38,4,174.0,1.0,105,29,14,8,2,2,-2,-1,-1,-12
59,147,71,35,11,177.0,1.0,95,29,9,5,9,6,0,0,-1,-13
60,150,71,35,11,180.0,1.0,105,30,9,5,9,6,4,2,0,-13
61,153,71,35,11,183.0,1.0,95,30,9,5,9,6,4,2,0,-13
62,156,71,35,11,186.0,1.0,105,31,9,5,9,6,-3,-2,0,-13
63,159,69,34,9,189.0,3.0,95,31,7,4,7,5,2,1,-1,-14
