,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,4,2,4,3,4,2,1,1
2,8,72,36,0,8.0,1.0,105,1,5,3,5,4,5,3,1,2
3,12,74,37,2,12.0,1.0,95,1,7,4,7,5,5,3,1,3
4,16,62,30,2,16.0,1.0,105,2,-5,-3,7,5,-7,-4,-1,2
5,20,67,33,7,20.0,1.0,95,2,0,0,0,1,1,1,1,3
6,24,72,36,0,24.0,1.0,105,3,5,3,5,4,-2,-1,1,4
7,28,69,34,9,28.0,1.0,95,3,2,1,2,2,2,1,-1,3
8,31,62,30,2,32.0,1.0,105,4,-5,-3,7,5,-5,-3,-1,2
9,35,71,35,11,36.0,1.0,95,4,4,2,4,3,4,2,1,3
10,39,72,36,0,40.0,1.0,105,5,5,3,5,4,5,3,1,4
11,43,74,37,2,44.0,2.0,95,5,7,4,7,5,5,3,1,5
12,46,79,40,7,48.0,2.0,105,6,12,7,0,1,1,1,1,6
13,49,79,40,7,52.0,1.0,95,6,12,7,0,1,0,0,0,6
14,53,78,39,6,56.0,1.0,105,7,11,6,11,7,2,1,-1,5
15,57,69,34,9,60.0,1.0,95,7,2,1,2,2,0,0,-1,4
16,60,62,30,2,64.0,1.0,105,8,-5,-3,7,5,-5,-3,-1,3
17,64,71,35,11,68.0,1.0,95,8,4,2,4,3,4,2,1,4
18,68,72,36,0,72.0,1.0,105,9,5,3,5,4,5,3,1,5
19,72,74,37,2,76.0,1.0,95,9,7,4,7,5,5,3,1,6
20,76,62,30,2,80.0,1.0,105,10,-5,-3,7,5,-7,-4,-1,5
21,80,67,33,7,84.0,1.0,95,10,0,0,0,1,1,1,1,6
22,84,72,36,0,88.0,1.0,105,11,5,3,5,4,-2,-1,1,7
23,88,69,34,9,92.0,1.0,95,11,2,1,2,2,2,1,-1,6
24,91,62,30,2,96.0,1.0,105,12,-5,-3,7,5,-5,-3,-1,5
25,95,71,35,11,100.0,1.0,95,12,4,2,4,3,4,2,1,6
26,99,72,36,0,104.0,1.0,105,13,5,3,5,4,5,3,1,7
27,103,74,37,2,108.0,2.0,95,13,7,4,7,5,5,3,1,8
28,106,79,40,7,112.0,2.0,105,14,12,7,0,1,1,1,1,9
29,109,79,40,7,116.0,1.0,95,14,12,7,0,1,0,0,0,9
30,113,78,39,6,120.0,1.0,105,15,11,6,11,7,2,1,-1,8
31,117,69,34,9,124.0,1.0,95,15,2,1,2,2,0,0,-1,7
32,120,74,37,2,128.0,1.0,105,16,7,4,7,5,7,4,1,8
33,124,79,40,7,132.0,1.0,95,16,12,7,0,1,-2,-1,1,9
34,128,78,39,6,136.0,1.0,105,17,11,6,11,7,2,1,-1,8
35,132,78,39,6,140.0,1.0,95,17,11,6,11,7,2,1,0,8
36,136,74,37,2,144.0,1.0,105,18,7,4,7,5,5,3,-1,7
37,140,79,40,7,148.0,1.0,95,18,12,7,0,1,0,0,1,8
38,144,78,39,6,152.0,1.0,105,19,11,6,11,7,2,1,-1,7
39,148,69,34,9,156.0,1.0,95,19,2,1,2,2,0,0,-1,6
40,151,79,40,7,160.0,1.0,105,20,12,7,0,1,12,7,1,7
41,157,79,40,7,164.0,1.0,95,20,12,7,0,1,-2,-1,0,7
42,161,78,39,6,168.0,1.0,105,21,11,6,11,7,2,1,-1,6
43,167,78,39,6,172.0,1.0,95,21,11,6,11,7,-1,-1,0,6
44,171,74,37,2,176.0,1.0,105,22,7,4,7,5,5,3,-1,5
45,175,83,42,11,180.0,1.0,95,22,16,9,4,3,4,2,1,6
46,179,78,39,6,184.0,1.0,105,23,11,6,11,7,-1,-1,-1,5
47,183,69,34,9,188.0,1.0,95,23,2,1,2,2,0,0,-1,4
48,186,74,37,2,192.0,1.0,105,24,7,4,7,5,7,4,1,5
49,190,79,40,7,196.0,1.0,95,24,12,7,0,1,-2,-1,1,6
50,194,78,39,6,200.0,1.0,105,25,11,6,11,7,2,1,-1,5
51,198,78,39,6,204.0,1.0,95,25,11,6,11,7,2,1,0,5
52,202,74,37,2,208.0,1.0,105,26,7,4,7,5,5,3,-1,4
53,206,79,40,7,212.0,1.0,95,26,12,7,0,1,0,0,1,5
54,210,78,39,6,216.0,1.0,105,27,11,6,11,7,2,1,-1,4
55,214,69,34,9,220.0,1.0,95,27,2,1,2,2,0,0,-1,3
56,217,79,40,7,224.0,1.0,105,28,12,7,0,1,12,7,1,4
57,223,79,40,7,228.0,1.0,95,28,12,7,0,1,-2,-1,0,4
58,227,78,39,6,232.0,1.0,105,29,11,6,11,7,2,1,-1,3
59,233,78,39,6,236.0,1.0,95,29,11,6,11,7,-1,-1,0,3
60,237,74,37,2,240.0,1.0,105,30,7,4,7,5,5,3,-1,2
61,241,83,42,11,244.0,1.0,95,30,16,9,4,3,4,2,1,3
62,245,78,39,6,248.0,1.0,105,31,11,6,11,7,-1,-1,-1,2
63,249,69,34,9,252.0,1.0,95,31,2,1,2,2,0,0,-1,1
