,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,4,70,35,10,4.0,1.0,95,0,3,2,3,3,3,2,1,1
2,9,65,32,5,8.0,1.5,105,1,-2,-1,10,7,3,2,-1,0
3,13,65,32,5,12.0,0.5,95,1,-2,-1,10,7,-2,-1,0,0
4,19,67,33,7,16.0,1.5,105,2,0,0,0,1,2,1,1,1
5,24,70,35,10,20.0,0.5,95,2,3,2,3,3,3,2,1,2
6,30,72,36,0,24.0,1.5,105,3,5,3,5,4,-2,-1,1,3
7,34,67,33,7,28.0,0.5,95,3,0,0,0,1,2,1,-1,2
8,41,67,33,7,32.0,2.0,105,4,0,0,0,1,2,1,0,2
9,45,70,35,10,36.0,1.0,95,4,3,2,3,3,3,2,1,3
10,50,65,32,5,40.0,1.5,105,5,-2,-1,10,7,3,2,-1,2
11,54,65,32,5,44.0,0.5,95,5,-2,-1,10,7,-2,-1,0,2
12,60,67,33,7,48.0,1.5,105,6,0,0,0,1,2,1,1,3
13,65,70,35,10,52.0,0.5,95,6,3,2,3,3,3,2,1,4
14,71,72,36,0,56.0,1.5,105,7,5,3,5,4,-2,-1,1,5
15,75,67,33,7,60.0,0.5,95,7,0,0,0,1,2,1,-1,4
16,81,82,42,10,64.0,1.0,105,8,15,9,3,3,1,1,1,5
17,86,82,42,10,68.0,1.0,95,8,15,9,3,3,8,5,0,5
18,91,77,39,5,72.0,1.5,105,9,10,6,10,7,3,2,-1,4
19,95,77,39,5,76.0,0.5,95,9,10,6,10,7,-2,-1,0,4
20,101,82,42,10,80.0,1.0,105,10,15,9,3,3,1,1,1,5
21,106,82,42,10,84.0,1.0,95,10,15,9,3,3,8,5,0,5
22,111,77,39,5,88.0,1.5,105,11,10,6,10,7,3,2,-1,4
23,115,79,40,7,92.0,0.5,95,11,12,7,0,1,2,1,1,5
24,121,82,42,10,96.0,1.0,105,12,15,9,3,3,1,1,1,6
25,126,82,42,10,100.0,1.0,95,12,15,9,3,3,8,5,0,6
26,131,77,39,5,104.0,1.5,105,13,10,6,10,7,3,2,-1,5
27,135,77,39,5,108.0,0.5,95,13,10,6,10,7,-2,-1,0,5
28,141,79,40,7,112.0,1.5,105,14,12,7,0,1,-2,-1,1,6
29,146,79,40,7,116.0,1.0,95,14,12,7,0,1,5,3,0,6
30,152,72,36,0,120.0,1.5,105,15,5,3,5,4,2,1,-1,5
31,156,67,33,7,124.0,0.5,95,15,0,0,0,1,2,1,-1,4
