,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,4.0,1.0,105,0,4,2,4,3,0,0,0,0
1,6,67,33,7,8.0,1.0,95,0,0,0,0,1,-4,-2,-1,-1
2,11,69,34,9,12.0,2.0,105,1,2,1,2,2,2,1,1,0
3,13,69,34,9,16.0,2.0,95,1,2,1,2,2,0,0,0,0
4,16,71,35,11,20.0,1.0,105,2,4,2,4,3,-1,-1,1,1
5,20,67,33,7,24.0,1.0,95,2,0,0,0,1,-4,-2,-1,0
6,24,64,31,4,28.0,2.0,105,3,-3,-2,9,6,2,1,-1,-1
7,26,67,33,7,32.0,2.0,95,3,0,0,0,1,0,0,1,0
8,28,72,36,0,36.0,2.0,95,3,5,3,5,4,-2,-1,1,1
9,29,71,35,11,38.0,1.0,105,4,4,2,4,3,-1,-1,-1,0
10,33,67,33,7,42.0,1.0,95,4,0,0,0,1,-4,-2,-1,-1
11,38,69,34,9,46.0,2.0,105,5,2,1,2,2,2,1,1,0
12,40,69,34,9,50.0,2.0,95,5,2,1,2,2,0,0,0,0
13,43,71,35,11,54.0,1.0,105,6,4,2,4,3,-1,-1,1,1
14,47,67,33,7,58.0,1.0,95,6,0,0,0,1,-4,-2,-1,0
15,51,64,31,4,62.0,2.0,105,7,-3,-2,9,6,2,1,-1,-1
16,53,67,33,7,66.0,2.0,95,7,0,0,0,1,0,0,1,0
17,56,72,36,0,70.0,2.0,105,8,5,3,5,4,1,1,1,1
18,59,76,38,4,74.0,2.0,95,8,9,5,9,6,2,1,1,2
19,62,74,37,2,78.0,1.0,105,9,7,4,7,5,-5,-3,-1,1
20,66,69,34,9,82.0,2.0,95,9,2,1,2,2,2,1,-1,0
21,69,71,35,11,86.0,1.0,105,10,4,2,4,3,2,1,1,1
22,73,67,33,7,90.0,1.0,95,10,0,0,0,1,-4,-2,-1,0
23,77,64,31,4,94.0,2.0,105,11,-3,-2,9,6,2,1,-1,-1
24,79,69,34,9,98.0,2.0,95,11,2,1,2,2,0,0,1,0
25,82,71,35,11,102.0,1.0,105,12,4,2,4,3,-1,-1,1,1
26,86,67,33,7,106.0,1.0,95,12,0,0,0,1,-4,-2,-1,0
27,90,67,33,7,110.0,1.0,105,13,0,0,0,1,3,2,0,0
28,94,71,35,11,114.0,1.0,95,13,4,2,4,3,2,1,1,1
29,95,72,36,0,115.0,2.0,105,14,5,3,5,4,1,1,1,2
30,98,76,38,4,119.0,2.0,95,14,9,5,9,6,2,1,1,3
31,101,74,37,2,123.0,1.0,105,15,7,4,7,5,-5,-3,-1,2
32,105,69,34,9,127.0,2.0,95,15,2,1,2,2,2,1,-1,1
33,108,71,35,11,131.0,1.0,105,16,4,2,4,3,2,1,1,2
34,112,67,33,7,135.0,1.0,95,16,0,0,0,1,-4,-2,-1,1
35,116,64,31,4,139.0,2.0,105,17,-3,-2,9,6,2,1,-1,0
36,118,69,34,9,143.0,2.0,95,17,2,1,2,2,0,0,1,1
37,121,71,35,11,147.0,1.0,105,18,4,2,4,3,-1,-1,1,2
38,125,67,33,7,151.0,1.0,95,18,0,0,0,1,-4,-2,-1,1
39,129,67,33,7,155.0,1.0,105,19,0,0,0,1,3,2,0,1
