,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,-3,-2,9,6,0,0,0,0
1,5,71,35,11,4.0,1.0,95,0,4,2,4,3,2,1,1,1
2,9,69,34,9,8.0,1.0,105,1,2,1,2,2,-2,-1,-1,0
3,13,79,40,7,12.0,1.0,95,1,12,7,0,1,-2,-1,1,1
4,17,79,40,7,16.0,2.0,105,2,12,7,0,1,1,1,0,1
5,20,76,38,4,20.0,1.0,95,2,9,5,9,6,2,1,-1,0
6,24,71,35,11,24.0,1.0,105,3,4,2,4,3,-3,-2,-1,-1
7,28,71,35,11,28.0,1.0,95,3,4,2,4,3,-3,-2,0,-1
8,32,64,31,4,32.0,1.0,105,4,-3,-2,9,6,-5,-3,-1,-2
9,37,71,35,11,36.0,1.0,95,4,4,2,4,3,2,1,1,-1
10,41,69,34,9,40.0,1.0,105,5,2,1,2,2,-2,-1,-1,-2
11,45,79,40,7,44.0,1.0,95,5,12,7,0,1,-2,-1,1,-1
12,49,79,40,7,48.0,2.0,105,6,12,7,0,1,1,1,0,-1
13,52,76,38,4,52.0,1.0,95,6,9,5,9,6,2,1,-1,-2
14,56,71,35,11,56.0,1.0,105,7,4,2,4,3,-3,-2,-1,-3
15,60,71,35,11,60.0,1.0,95,7,4,2,4,3,-3,-2,0,-3
16,63,64,31,4,64.0,1.0,105,8,-3,-2,9,6,-5,-3,-1,-4
17,68,71,35,11,68.0,1.0,95,8,4,2,4,3,2,1,1,-3
18,72,69,34,9,72.0,1.0,105,9,2,1,2,2,-2,-1,-1,-4
19,76,79,40,7,76.0,1.0,95,9,12,7,0,1,-2,-1,1,-3
20,80,79,40,7,80.0,2.0,105,10,12,7,0,1,1,1,0,-3
21,83,76,38,4,84.0,1.0,95,10,9,5,9,6,2,1,-1,-4
22,87,71,35,11,88.0,1.0,105,11,4,2,4,3,-3,-2,-1,-5
23,91,71,35,11,92.0,1.0,95,11,4,2,4,3,-3,-2,0,-5
24,95,64,31,4,96.0,1.0,105,12,-3,-2,9,6,-5,-3,-1,-6
25,100,71,35,11,100.0,1.0,95,12,4,2,4,3,2,1,1,-5
26,104,69,34,9,104.0,1.0,105,13,2,1,2,2,-2,-1,-1,-6
27,108,79,40,7,108.0,1.0,95,13,12,7,0,1,-2,-1,1,-5
28,112,79,40,7,112.0,2.0,105,14,12,7,0,1,1,1,0,-5
29,115,76,38,4,116.0,1.0,95,14,9,5,9,6,2,1,-1,-6
30,119,71,35,11,120.0,1.0,105,15,4,2,4,3,-3,-2,-1,-7
31,123,71,35,11,124.0,1.0,95,15,4,2,4,3,-3,-2,0,-7
32,126,81,41,9,128.0,3.0,105,16,14,8,2,2,12,7,1,-6
33,131,83,42,11,136.0,1.0,105,17,16,9,4,3,2,1,1,-5
34,135,76,38,4,140.0,1.0,95,17,9,5,9,6,-2,-1,-1,-6
35,139,79,40,7,144.0,2.0,105,18,12,7,0,1,1,1,1,-5
36,142,76,38,4,148.0,1.0,95,18,9,5,9,6,2,1,-1,-6
37,146,71,35,11,152.0,1.0,105,19,4,2,4,3,-3,-2,-1,-7
38,150,71,35,11,156.0,1.0,95,19,4,2,4,3,-3,-2,0,-7
39,154,81,41,9,160.0,3.0,105,20,14,8,2,2,5,3,1,-6
40,159,83,42,11,168.0,1.0,105,21,16,9,4,3,2,1,1,-5
41,163,76,38,4,172.0,1.0,95,21,9,5,9,6,-2,-1,-1,-6
42,167,79,40,7,176.0,2.0,105,22,12,7,0,1,1,1,1,-5
43,170,76,38,4,180.0,1.0,95,22,9,5,9,6,2,1,-1,-6
44,174,71,35,11,184.0,1.0,105,23,4,2,4,3,-3,-2,-1,-7
45,178,71,35,11,188.0,1.0,95,23,4,2,4,3,-3,-2,0,-7
46,181,81,41,9,192.0,3.0,105,24,14,8,2,2,12,7,1,-6
47,186,83,42,11,200.0,1.0,105,25,16,9,4,3,2,1,1,-5
48,190,76,38,4,204.0,1.0,95,25,9,5,9,6,-2,-1,-1,-6
49,194,79,40,7,208.0,2.0,105,26,12,7,0,1,1,1,1,-5
50,197,76,38,4,212.0,1.0,95,26,9,5,9,6,2,1,-1,-6
51,201,71,35,11,216.0,1.0,105,27,4,2,4,3,-3,-2,-1,-7
52,205,71,35,11,220.0,1.0,95,27,4,2,4,3,-3,-2,0,-7
53,209,81,41,9,224.0,3.0,105,28,14,8,2,2,5,3,1,-6
54,214,83,42,11,232.0,1.0,105,29,16,9,4,3,2,1,1,-5
55,218,76,38,4,236.0,1.0,95,29,9,5,9,6,-2,-1,-1,-6
56,222,79,40,7,240.0,2.0,105,30,12,7,0,1,1,1,1,-5
57,225,76,38,4,244.0,1.0,95,30,9,5,9,6,2,1,-1,-6
58,229,71,35,11,248.0,1.0,105,31,4,2,4,3,-3,-2,-1,-7
59,233,71,35,11,252.0,1.0,95,31,4,2,4,3,-3,-2,0,-7
