,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,62,30,2,2.0,1.0,105,0,-5,-3,7,5,0,0,0,0
1,6,62,30,2,6.0,1.0,95,0,-5,-3,7,5,2,1,0,0
2,10,62,30,2,10.0,1.0,105,1,-5,-3,7,5,2,1,0,0
3,14,72,36,0,14.0,2.0,95,1,5,3,5,4,5,3,1,1
4,17,74,37,2,18.0,1.0,105,2,7,4,7,5,2,1,1,2
5,21,71,35,11,22.0,1.0,95,2,4,2,4,3,-1,-1,-1,1
6,25,64,31,4,26.0,2.0,105,3,-3,-2,9,6,-1,-1,-1,0
7,27,60,29,0,30.0,2.0,95,3,-7,-4,5,4,0,0,-1,-1
8,30,62,30,2,34.0,1.0,105,4,-5,-3,7,5,2,1,1,0
9,34,62,30,2,38.0,1.0,95,4,-5,-3,7,5,2,1,0,0
10,38,62,30,2,42.0,1.0,105,5,-5,-3,7,5,2,1,0,0
11,42,72,36,0,46.0,1.0,95,5,5,3,5,4,5,3,1,1
12,46,79,40,7,50.0,1.0,105,6,12,7,0,1,1,1,1,2
13,50,74,37,2,54.0,1.0,95,6,7,4,7,5,-2,-1,-1,1
14,54,71,35,11,58.0,2.0,105,7,4,2,4,3,-1,-1,-1,0
15,56,67,33,7,62.0,2.0,95,7,0,0,0,1,0,0,-1,-1
16,59,62,30,2,66.0,1.0,105,8,-5,-3,7,5,2,1,-1,-2
17,63,62,30,2,70.0,1.0,95,8,-5,-3,7,5,2,1,0,-2
18,67,62,30,2,74.0,1.0,105,9,-5,-3,7,5,2,1,0,-2
19,71,72,36,0,78.0,2.0,95,9,5,3,5,4,5,3,1,-1
20,74,74,37,2,82.0,1.0,105,10,7,4,7,5,2,1,1,0
21,78,71,35,11,86.0,1.0,95,10,4,2,4,3,-1,-1,-1,-1
22,82,64,31,4,90.0,2.0,105,11,-3,-2,9,6,-1,-1,-1,-2
23,84,60,29,0,94.0,2.0,95,11,-7,-4,5,4,0,0,-1,-3
24,87,62,30,2,98.0,1.0,105,12,-5,-3,7,5,2,1,1,-2
25,91,62,30,2,102.0,1.0,95,12,-5,-3,7,5,2,1,0,-2
26,95,62,30,2,106.0,1.0,105,13,-5,-3,7,5,2,1,0,-2
27,99,72,36,0,110.0,1.0,95,13,5,3,5,4,5,3,1,-1
28,103,79,40,7,114.0,1.0,105,14,12,7,0,1,1,1,1,0
29,107,74,37,2,118.0,1.0,95,14,7,4,7,5,-2,-1,-1,-1
30,111,71,35,11,122.0,2.0,105,15,4,2,4,3,-1,-1,-1,-2
31,113,67,33,7,126.0,4.0,95,15,0,0,0,1,0,0,-1,-3
32,114,69,34,9,130.0,3.0,105,16,2,1,2,2,2,1,1,-2
33,116,71,35,11,134.0,2.0,95,16,4,2,4,3,-1,-1,1,-1
34,118,69,34,9,138.0,1.0,105,17,2,1,2,2,-5,-3,-1,-2
35,122,71,35,11,142.0,2.0,95,17,4,2,4,3,2,1,1,-1
36,124,69,34,9,146.0,3.0,105,18,2,1,2,2,2,1,-1,-2
37,126,71,35,11,150.0,1.0,95,18,4,2,4,3,-1,-1,1,-1
38,130,79,40,7,154.0,1.0,105,19,12,7,0,1,1,1,1,0
39,134,71,35,11,158.0,2.0,95,19,4,2,4,3,-1,-1,-1,-1
40,136,69,34,9,162.0,3.0,105,20,2,1,2,2,2,1,-1,-2
41,138,71,35,11,166.0,2.0,95,20,4,2,4,3,-1,-1,1,-1
42,140,69,34,9,170.0,1.0,105,21,2,1,2,2,-5,-3,-1,-2
43,144,71,35,11,174.0,1.0,95,21,4,2,4,3,2,1,1,-1
44,148,79,40,7,178.0,1.0,105,22,12,7,0,1,1,1,1,0
45,152,74,37,2,182.0,1.0,95,22,7,4,7,5,-2,-1,-1,-1
46,156,71,35,11,186.0,2.0,105,23,4,2,4,3,-1,-1,-1,-2
47,158,67,33,7,190.0,4.0,95,23,0,0,0,1,0,0,-1,-3
48,159,69,34,9,194.0,3.0,105,24,2,1,2,2,2,1,1,-2
49,161,71,35,11,198.0,2.0,95,24,4,2,4,3,-1,-1,1,-1
50,163,69,34,9,202.0,1.0,105,25,2,1,2,2,-5,-3,-1,-2
51,167,71,35,11,206.0,2.0,95,25,4,2,4,3,2,1,1,-1
52,169,69,34,9,210.0,3.0,105,26,2,1,2,2,2,1,-1,-2
53,171,71,35,11,214.0,1.0,95,26,4,2,4,3,-1,-1,1,-1
54,175,79,40,7,218.0,1.0,105,27,12,7,0,1,1,1,1,0
55,179,71,35,11,222.0,2.0,95,27,4,2,4,3,-1,-1,-1,-1
56,181,69,34,9,226.0,3.0,105,28,2,1,2,2,2,1,-1,-2
57,183,71,35,11,230.0,2.0,95,28,4,2,4,3,-1,-1,1,-1
58,185,69,34,9,234.0,1.0,105,29,2,1,2,2,-5,-3,-1,-2
59,189,71,35,11,238.0,1.0,95,29,4,2,4,3,2,1,1,-1
60,193,79,40,7,242.0,1.0,105,30,12,7,0,1,1,1,1,0
61,197,74,37,2,246.0,1.0,95,30,7,4,7,5,-2,-1,-1,-1
62,201,71,35,11,250.0,2.0,105,31,4,2,4,3,-1,-1,-1,-2
63,203,67,33,7,254.0,2.0,95,31,0,0,0,1,0,0,-1,-3
