,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,81,41,9,0.0,1.0,105,0,19,11,7,5,0,0,0,0
1,4,76,38,4,4.0,1.0,95,0,14,8,2,2,-3,-2,-1,-1
2,8,69,34,9,8.0,1.0,105,1,7,4,7,5,-2,-1,-1,-2
3,12,62,30,2,12.0,1.0,95,1,0,0,0,1,-4,-2,-1,-3
4,16,71,35,11,16.0,1.0,105,2,9,5,9,6,-3,-2,1,-2
5,20,64,31,4,20.0,1.0,95,2,2,1,2,2,-3,-2,-1,-3
6,24,66,32,6,24.0,1.0,105,3,4,2,4,3,2,1,1,-2
7,28,71,35,11,28.0,1.0,95,3,9,5,9,6,2,1,1,-1
8,32,81,41,9,32.0,1.0,105,4,19,11,7,5,12,7,1,0
9,36,76,38,4,36.0,1.0,95,4,14,8,2,2,-3,-2,-1,-1
10,40,69,34,9,40.0,1.0,105,5,7,4,7,5,-2,-1,-1,-2
11,44,62,30,2,44.0,1.0,95,5,0,0,0,1,-4,-2,-1,-3
12,48,71,35,11,48.0,1.0,105,6,9,5,9,6,-3,-2,1,-2
13,52,69,34,9,52.0,0.5,95,6,7,4,7,5,3,2,-1,-3
14,56,78,39,6,56.0,0.67,105,7,16,9,4,3,-1,-1,1,-2
15,61,78,39,6,60.0,1.0,95,7,16,9,4,3,-1,-1,0,-2
16,65,81,41,9,64.0,1.0,105,8,19,11,7,5,3,2,1,-1
17,69,76,38,4,68.0,1.0,95,8,14,8,2,2,-3,-2,-1,-2
18,73,69,34,9,72.0,1.0,105,9,7,4,7,5,-2,-1,-1,-3
19,77,62,30,2,76.0,1.0,95,9,0,0,0,1,-4,-2,-1,-4
20,81,71,35,11,80.0,1.0,105,10,9,5,9,6,-3,-2,1,-3
21,85,64,31,4,84.0,1.0,95,10,2,1,2,2,-3,-2,-1,-4
22,89,66,32,6,88.0,1.0,105,11,4,2,4,3,2,1,1,-3
23,93,71,35,11,92.0,1.0,95,11,9,5,9,6,2,1,1,-2
24,97,81,41,9,96.0,1.0,105,12,19,11,7,5,12,7,1,-1
25,101,76,38,4,100.0,1.0,95,12,14,8,2,2,-3,-2,-1,-2
26,105,69,34,9,104.0,1.0,105,13,7,4,7,5,-2,-1,-1,-3
27,109,62,30,2,108.0,1.0,95,13,0,0,0,1,-4,-2,-1,-4
28,113,71,35,11,112.0,1.0,105,14,9,5,9,6,-3,-2,1,-3
29,117,69,34,9,116.0,0.5,95,14,7,4,7,5,3,2,-1,-4
30,121,78,39,6,120.0,0.67,105,15,16,9,4,3,-1,-1,1,-3
31,126,78,39,6,124.0,1.0,95,15,16,9,4,3,-1,-1,0,-3
32,130,81,41,9,128.0,2.0,105,16,19,11,7,5,3,2,1,-2
33,133,69,34,9,132.0,1.0,95,16,7,4,7,5,-5,-3,-1,-3
34,137,76,38,4,136.0,1.0,105,17,14,8,2,2,2,1,1,-2
35,141,73,36,1,140.0,1.0,95,17,11,6,11,7,-1,-1,-1,-3
36,145,81,41,9,144.0,2.0,105,18,19,11,7,5,12,7,1,-2
37,148,83,42,11,148.0,1.0,95,18,21,12,9,6,2,1,1,-1
38,152,71,35,11,152.0,1.0,105,19,9,5,9,6,-3,-2,-1,-2
39,156,76,38,4,156.0,1.0,95,19,14,8,2,2,2,1,1,-1
40,160,78,39,6,160.0,1.0,105,20,16,9,4,3,2,1,1,0
41,166,79,40,7,164.0,1.0,95,20,17,10,5,4,-2,-1,1,1
42,172,78,39,6,168.0,2.0,105,21,16,9,4,3,2,1,-1,0
43,175,74,37,2,172.0,1.0,95,21,12,7,0,1,-2,-1,-1,-1
44,179,62,30,2,176.0,1.0,105,22,0,0,0,1,-4,-2,-1,-2
45,183,69,34,9,180.0,0.5,95,22,7,4,7,5,3,2,1,-1
46,187,78,39,6,184.0,0.67,105,23,16,9,4,3,-1,-1,1,0
47,192,78,39,6,188.0,1.0,95,23,16,9,4,3,-1,-1,0,0
48,196,81,41,9,192.0,2.0,105,24,19,11,7,5,3,2,1,1
49,199,69,34,9,196.0,1.0,95,24,7,4,7,5,-5,-3,-1,0
50,203,76,38,4,200.0,1.0,105,25,14,8,2,2,2,1,1,1
51,207,73,36,1,204.0,1.0,95,25,11,6,11,7,-1,-1,-1,0
52,211,81,41,9,208.0,2.0,105,26,19,11,7,5,12,7,1,1
53,214,83,42,11,212.0,1.0,95,26,21,12,9,6,2,1,1,2
54,218,71,35,11,216.0,1.0,105,27,9,5,9,6,-3,-2,-1,1
55,222,76,38,4,220.0,1.0,95,27,14,8,2,2,2,1,1,2
56,226,78,39,6,224.0,1.0,105,28,16,9,4,3,2,1,1,3
57,232,79,40,7,228.0,1.0,95,28,17,10,5,4,-2,-1,1,4
58,238,78,39,6,232.0,2.0,105,29,16,9,4,3,2,1,-1,3
59,241,74,37,2,236.0,1.0,95,29,12,7,0,1,-2,-1,-1,2
60,245,62,30,2,240.0,1.0,105,30,0,0,0,1,-4,-2,-1,1
61,249,69,34,9,244.0,0.5,95,30,7,4,7,5,3,2,1,2
62,253,78,39,6,248.0,0.67,105,31,16,9,4,3,-1,-1,1,3
63,258,78,39,6,252.0,1.0,95,31,16,9,4,3,-1,-1,0,3
