,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,66,32,6,4.0,0.5,95,0,4,2,4,3,0,0,1,1
2,7,69,34,9,8.0,1.5,105,1,7,4,7,5,-2,-1,1,2
3,11,66,32,6,12.0,2.0,95,1,4,2,4,3,-3,-2,-1,1
4,14,64,31,4,16.0,2.0,105,2,2,1,2,2,2,1,-1,0
5,17,71,35,11,20.0,0.5,95,2,9,5,9,6,5,3,1,1
6,21,74,37,2,24.0,1.5,105,3,12,7,0,1,1,1,1,2
7,25,71,35,11,28.0,2.0,95,3,9,5,9,6,-3,-2,-1,1
8,27,62,30,2,32.0,2.0,105,4,0,0,0,1,-12,-7,-1,0
9,30,66,32,6,36.0,0.5,95,4,4,2,4,3,0,0,1,1
10,34,69,34,9,40.0,1.5,105,5,7,4,7,5,-2,-1,1,2
11,38,66,32,6,44.0,2.0,95,5,4,2,4,3,-3,-2,-1,1
12,41,67,33,7,48.0,0.5,105,6,5,3,5,4,5,3,1,2
13,45,66,32,6,52.0,0.5,95,6,4,2,4,3,-5,-3,-1,1
14,49,64,31,4,56.0,1.5,105,7,2,1,2,2,-5,-3,-1,0
15,53,71,35,11,60.0,1.5,95,7,9,5,9,6,2,1,1,1
16,57,74,37,2,64.0,2.0,105,8,12,7,0,1,1,1,1,2
17,60,74,37,2,68.0,0.5,95,8,12,7,0,1,-2,-1,0,2
18,64,69,34,9,72.0,1.5,105,9,7,4,7,5,-2,-1,-1,1
19,68,66,32,6,76.0,2.0,95,9,4,2,4,3,-3,-2,-1,0
20,71,76,38,4,80.0,2.0,105,10,14,8,2,2,14,8,1,1
21,74,76,38,4,84.0,0.5,95,10,14,8,2,2,2,1,0,1
22,78,79,40,7,88.0,1.5,105,11,17,10,5,4,1,1,1,2
23,82,71,35,11,92.0,1.5,95,11,9,5,9,6,-3,-2,-1,1
24,86,74,37,2,96.0,2.0,105,12,12,7,0,1,1,1,1,2
25,89,74,37,2,100.0,0.5,95,12,12,7,0,1,-2,-1,0,2
26,93,69,34,9,104.0,1.5,105,13,7,4,7,5,-2,-1,-1,1
27,97,66,32,6,108.0,2.0,95,13,4,2,4,3,-3,-2,-1,0
28,100,67,33,7,112.0,0.5,105,14,5,3,5,4,5,3,1,1
29,104,66,32,6,116.0,0.5,95,14,4,2,4,3,-5,-3,-1,0
30,108,64,31,4,120.0,1.5,105,15,2,1,2,2,-5,-3,-1,-1
31,112,71,35,11,124.0,2.0,95,15,9,5,9,6,2,1,1,0
32,115,62,30,2,128.0,2.0,105,16,0,0,0,1,-12,-7,-1,-1
33,118,62,30,2,132.0,0.67,95,16,0,0,0,1,-2,-1,0,-1
34,122,62,30,2,136.0,0.5,105,17,0,0,0,1,0,0,0,-1
35,128,71,35,11,140.0,0.5,95,17,9,5,9,6,0,0,1,0
36,134,64,31,4,144.0,2.0,105,18,2,1,2,2,2,1,-1,-1
37,137,64,31,4,148.0,0.67,95,18,2,1,2,2,-2,-1,0,-1
38,142,79,40,7,152.0,0.67,105,19,17,10,5,4,1,1,1,0
39,148,73,36,1,156.0,0.67,95,19,11,6,11,7,-1,-1,-1,-1
40,154,62,30,2,160.0,2.0,105,20,0,0,0,1,-12,-7,-1,-2
41,157,62,30,2,164.0,0.67,95,20,0,0,0,1,-2,-1,0,-2
42,161,62,30,2,168.0,0.67,105,21,0,0,0,1,0,0,0,-2
43,167,71,35,11,172.0,0.67,95,21,9,5,9,6,0,0,1,-1
44,173,55,26,7,176.0,0.67,105,22,-7,-4,5,4,-7,-4,-1,-2
45,179,55,26,7,180.0,0.67,95,22,-7,-4,5,4,-14,-8,0,-2
46,185,64,31,4,184.0,0.5,105,23,2,1,2,2,-2,-1,1,-1
47,191,71,35,11,188.0,0.5,95,23,9,5,9,6,2,1,1,0
48,197,74,37,2,192.0,2.0,105,24,12,7,0,1,1,1,1,1
49,200,74,37,2,196.0,0.67,95,24,12,7,0,1,-2,-1,0,1
50,204,69,34,9,200.0,0.5,105,25,7,4,7,5,-5,-3,-1,0
51,210,71,35,11,204.0,0.5,95,25,9,5,9,6,0,0,1,1
52,216,76,38,4,208.0,2.0,105,26,14,8,2,2,14,8,1,2
53,219,76,38,4,212.0,0.67,95,26,14,8,2,2,-2,-1,0,2
54,224,79,40,7,216.0,0.67,105,27,17,10,5,4,1,1,1,3
55,230,73,36,1,220.0,0.67,95,27,11,6,11,7,-1,-1,-1,2
56,236,74,37,2,224.0,2.0,105,28,12,7,0,1,-2,-1,1,3
57,239,74,37,2,228.0,0.67,95,28,12,7,0,1,-2,-1,0,3
58,243,69,34,9,232.0,0.5,105,29,7,4,7,5,-5,-3,-1,2
59,249,71,35,11,236.0,0.5,95,29,9,5,9,6,0,0,1,3
60,255,55,26,7,240.0,0.67,105,30,-7,-4,5,4,-7,-4,-1,2
61,261,55,26,7,244.0,0.67,95,30,-7,-4,5,4,-14,-8,0,2
62,267,64,31,4,248.0,0.67,105,31,2,1,2,2,-2,-1,1,3
63,273,71,35,11,252.0,0.67,95,31,9,5,9,6,2,1,1,4
