,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,0.5,105,0,0,0,0,1,0,0,0,0
1,5,74,37,2,2.0,0.5,105,1,12,7,0,1,1,1,1,1
2,10,57,27,9,4.0,0.5,105,2,-5,-3,7,5,-12,-7,-1,0
3,14,67,33,7,6.0,0.5,105,3,5,3,5,4,1,1,1,1
4,20,62,30,2,8.0,0.5,105,4,0,0,0,1,-2,-1,-1,0
5,25,74,37,2,10.0,0.5,105,5,12,7,0,1,1,1,1,1
6,30,57,27,9,12.0,0.5,105,6,-5,-3,7,5,-12,-7,-1,0
7,34,64,31,4,14.0,0.5,105,7,2,1,2,2,-2,-1,1,1
8,42,74,37,2,18.0,0.5,105,8,12,7,0,1,1,1,1,2
9,47,57,27,9,20.0,0.5,105,9,-5,-3,7,5,-12,-7,-1,1
10,51,67,33,7,22.0,0.5,105,10,5,3,5,4,1,1,1,2
11,57,62,30,2,24.0,0.5,105,11,0,0,0,1,-2,-1,-1,1
12,62,74,37,2,26.0,0.5,105,12,12,7,0,1,1,1,1,2
13,67,57,27,9,28.0,0.5,105,13,-5,-3,7,5,-12,-7,-1,1
14,71,64,31,4,30.0,0.5,105,14,2,1,2,2,-2,-1,1,2
15,78,78,39,6,34.0,1.5,105,15,16,9,4,3,9,5,1,3
16,81,76,38,4,36.0,0.5,105,16,14,8,2,2,-2,-1,-1,2
17,85,76,38,4,38.0,1.5,105,17,14,8,2,2,7,4,0,2
18,88,78,39,6,40.0,0.5,105,18,16,9,4,3,2,1,1,3
19,92,78,39,6,42.0,1.0,105,19,16,9,4,3,9,5,0,3
20,97,73,36,1,44.0,0.5,105,20,11,6,11,7,-1,-1,-1,2
21,101,74,37,2,46.0,0.5,105,21,12,7,0,1,1,1,1,3
22,110,78,39,6,50.0,1.5,105,22,16,9,4,3,9,5,1,4
23,113,76,38,4,52.0,0.5,105,23,14,8,2,2,-2,-1,-1,3
24,117,76,38,4,54.0,1.5,105,24,14,8,2,2,7,4,0,3
25,120,78,39,6,56.0,0.5,105,25,16,9,4,3,2,1,1,4
26,124,78,39,6,58.0,1.0,105,26,16,9,4,3,9,5,0,4
27,129,73,36,1,60.0,0.5,105,27,11,6,11,7,-1,-1,-1,3
28,133,74,37,2,62.0,0.5,105,28,12,7,0,1,1,1,1,4
