,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,69,34,9,3.0,1.0,95,0,2,1,2,2,2,1,1,1
2,6,74,37,2,6.0,2.0,105,1,7,4,7,5,3,2,1,2
3,8,74,37,2,9.0,1.0,95,1,7,4,7,5,-2,-1,0,2
4,11,72,36,0,12.0,2.0,105,2,5,3,5,4,-2,-1,-1,1
5,13,72,36,0,15.0,1.0,95,2,5,3,5,4,1,1,0,1
6,16,66,32,6,18.0,2.0,105,3,-1,-1,11,7,-3,-2,-1,0
7,18,66,32,6,21.0,1.0,95,3,-1,-1,11,7,-3,-2,0,0
8,21,67,33,7,24.0,1.0,105,4,0,0,0,1,5,3,1,1
9,24,69,34,9,27.0,1.0,95,4,2,1,2,2,2,1,1,2
10,27,74,37,2,30.0,2.0,105,5,7,4,7,5,3,2,1,3
11,29,74,37,2,33.0,1.0,95,5,7,4,7,5,-2,-1,0,3
12,32,72,36,0,36.0,2.0,105,6,5,3,5,4,-2,-1,-1,2
13,34,62,30,2,39.0,3.0,95,6,-5,-3,7,5,-7,-4,-1,1
14,35,69,34,9,42.0,1.0,105,7,2,1,2,2,7,4,1,2
15,38,67,33,7,45.0,3.0,95,7,0,0,0,1,0,0,-1,1
16,39,67,33,7,48.0,1.0,105,8,0,0,0,1,0,0,0,1
17,42,69,34,9,51.0,1.0,95,8,2,1,2,2,2,1,1,2
18,45,74,37,2,54.0,2.0,105,9,7,4,7,5,3,2,1,3
19,47,74,37,2,57.0,1.0,95,9,7,4,7,5,-2,-1,0,3
20,50,72,36,0,60.0,2.0,105,10,5,3,5,4,-2,-1,-1,2
21,52,72,36,0,63.0,1.0,95,10,5,3,5,4,1,1,0,2
22,55,66,32,6,66.0,2.0,105,11,-1,-1,11,7,-3,-2,-1,1
23,57,66,32,6,69.0,1.0,95,11,-1,-1,11,7,-3,-2,0,1
24,60,67,33,7,72.0,1.0,105,12,0,0,0,1,5,3,1,2
25,63,69,34,9,75.0,1.0,95,12,2,1,2,2,2,1,1,3
26,66,74,37,2,78.0,2.0,105,13,7,4,7,5,3,2,1,4
27,68,74,37,2,81.0,1.0,95,13,7,4,7,5,-2,-1,0,4
28,71,72,36,0,84.0,2.0,105,14,5,3,5,4,-2,-1,-1,3
29,73,62,30,2,87.0,3.0,95,14,-5,-3,7,5,-7,-4,-1,2
30,74,69,34,9,90.0,1.0,105,15,2,1,2,2,7,4,1,3
31,77,67,33,7,93.0,3.0,95,15,0,0,0,1,0,0,-1,2
32,78,74,37,2,96.0,3.0,105,16,7,4,7,5,7,4,1,3
33,79,74,37,2,99.0,1.0,95,16,7,4,7,5,0,0,0,3
34,82,79,40,7,102.0,3.0,105,17,12,7,0,1,5,3,1,4
35,83,74,37,2,105.0,1.0,95,17,7,4,7,5,-5,-3,-1,3
36,87,72,36,0,108.0,2.0,105,18,5,3,5,4,-2,-1,-1,2
37,89,72,36,0,111.0,1.0,95,18,5,3,5,4,1,1,0,2
38,92,78,39,6,114.0,3.0,105,19,11,6,11,7,9,5,1,3
39,93,78,39,6,117.0,1.0,95,19,11,6,11,7,0,0,0,3
40,96,74,37,2,120.0,3.0,105,20,7,4,7,5,0,0,-1,2
41,97,74,37,2,123.0,1.0,95,20,7,4,7,5,0,0,0,2
42,101,79,40,7,126.0,3.0,105,21,12,7,0,1,5,3,1,3
43,102,74,37,2,129.0,1.0,95,21,7,4,7,5,-5,-3,-1,2
44,105,72,36,0,132.0,2.0,105,22,5,3,5,4,5,3,-1,1
45,107,66,32,6,135.0,1.0,95,22,-1,-1,11,7,-3,-2,-1,0
46,110,69,34,9,138.0,1.0,105,23,2,1,2,2,7,4,1,1
47,113,67,33,7,141.0,2.0,95,23,0,0,0,1,0,0,-1,0
48,115,74,37,2,144.0,3.0,105,24,7,4,7,5,3,2,1,1
49,116,74,37,2,147.0,1.0,95,24,7,4,7,5,0,0,0,1
50,120,79,40,7,150.0,3.0,105,25,12,7,0,1,5,3,1,2
51,121,74,37,2,153.0,1.0,95,25,7,4,7,5,-5,-3,-1,1
52,125,72,36,0,156.0,2.0,105,26,5,3,5,4,-2,-1,-1,0
53,127,71,35,11,159.0,2.0,95,26,4,2,4,3,2,1,-1,-1
54,129,69,34,9,162.0,3.0,105,27,2,1,2,2,2,1,-1,-2
55,130,66,32,6,165.0,1.0,95,27,-1,-1,11,7,-3,-2,-1,-3
56,133,67,33,7,168.0,3.0,105,28,0,0,0,1,5,3,1,-2
57,134,71,35,11,171.0,1.0,95,28,4,2,4,3,4,2,1,-1
58,137,74,37,2,174.0,1.0,105,29,7,4,7,5,7,4,1,0
59,141,79,40,7,177.0,2.0,95,29,12,7,0,1,5,3,1,1
60,143,72,36,0,180.0,2.0,105,30,5,3,5,4,-2,-1,-1,0
61,145,62,30,2,183.0,3.0,95,30,-5,-3,7,5,-7,-4,-1,-1
62,146,69,34,9,186.0,1.0,105,31,2,1,2,2,7,4,1,0
63,149,67,33,7,189.0,3.0,95,31,0,0,0,1,0,0,-1,-1
