,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,76,38,4,2.0,1.33,105,0,9,5,9,6,0,0,0,0
1,6,71,35,11,6.0,2.0,95,0,4,2,4,3,-3,-2,-1,-1
2,9,69,34,9,10.0,1.33,105,1,2,1,2,2,-2,-1,-1,-2
3,14,69,34,9,14.0,1.33,95,1,2,1,2,2,2,1,0,-2
4,18,67,33,7,18.0,1.33,105,2,0,0,0,1,-2,-1,-1,-3
5,22,71,35,11,22.0,1.33,95,2,4,2,4,3,2,1,1,-2
6,27,76,38,4,26.0,2.0,105,3,9,5,9,6,2,1,1,-1
7,29,69,34,9,30.0,2.0,95,3,2,1,2,2,0,0,-1,-2
8,32,76,38,4,34.0,1.33,105,4,9,5,9,6,-2,-1,1,-1
9,36,71,35,11,38.0,2.0,95,4,4,2,4,3,-3,-2,-1,-2
10,39,69,34,9,42.0,1.33,105,5,2,1,2,2,-2,-1,-1,-3
11,44,69,34,9,46.0,1.33,95,5,2,1,2,2,2,1,0,-3
12,48,67,33,7,50.0,1.33,105,6,0,0,0,1,-2,-1,-1,-4
13,52,71,35,11,54.0,0.67,95,6,4,2,4,3,2,1,1,-3
14,57,71,35,11,58.0,2.0,105,7,4,2,4,3,-1,-1,0,-3
15,59,67,33,7,62.0,2.0,95,7,0,0,0,1,0,0,-1,-4
16,62,76,38,4,66.0,1.33,105,8,9,5,9,6,-2,-1,1,-3
17,66,71,35,11,70.0,2.0,95,8,4,2,4,3,-3,-2,-1,-4
18,69,69,34,9,74.0,1.33,105,9,2,1,2,2,-2,-1,-1,-5
19,74,69,34,9,78.0,1.33,95,9,2,1,2,2,2,1,0,-5
20,78,67,33,7,82.0,1.33,105,10,0,0,0,1,-2,-1,-1,-6
21,82,71,35,11,86.0,1.33,95,10,4,2,4,3,2,1,1,-5
22,87,76,38,4,90.0,2.0,105,11,9,5,9,6,2,1,1,-4
23,89,69,34,9,94.0,2.0,95,11,2,1,2,2,0,0,-1,-5
24,92,76,38,4,98.0,1.33,105,12,9,5,9,6,-2,-1,1,-4
25,96,71,35,11,102.0,2.0,95,12,4,2,4,3,-3,-2,-1,-5
26,99,69,34,9,106.0,1.33,105,13,2,1,2,2,-2,-1,-1,-6
27,104,69,34,9,110.0,1.33,95,13,2,1,2,2,2,1,0,-6
28,108,67,33,7,114.0,1.33,105,14,0,0,0,1,-2,-1,-1,-7
29,112,71,35,11,118.0,0.67,95,14,4,2,4,3,2,1,1,-6
30,117,71,35,11,122.0,2.0,105,15,4,2,4,3,-1,-1,0,-6
31,119,67,33,7,126.0,2.0,95,15,0,0,0,1,0,0,-1,-7
32,122,71,35,11,130.0,1.33,105,16,4,2,4,3,2,1,1,-6
33,126,79,40,7,134.0,0.67,95,16,12,7,0,1,5,3,1,-5
34,131,81,41,9,138.0,1.33,105,17,14,8,2,2,2,1,1,-4
35,135,76,38,4,142.0,0.67,95,17,9,5,9,6,-3,-2,-1,-5
36,140,79,40,7,146.0,0.67,105,18,12,7,0,1,3,2,1,-4
37,145,76,38,4,150.0,1.33,95,18,9,5,9,6,-3,-2,-1,-5
38,150,76,38,4,154.0,2.0,105,19,9,5,9,6,2,1,0,-5
39,152,69,34,9,158.0,2.0,95,19,2,1,2,2,0,0,-1,-6
40,155,76,38,4,162.0,0.67,105,20,9,5,9,6,-2,-1,1,-5
41,160,79,40,7,166.0,0.67,95,20,12,7,0,1,1,1,1,-4
42,165,74,37,2,170.0,1.33,105,21,7,4,7,5,-2,-1,-1,-5
43,169,69,34,9,174.0,0.67,95,21,2,1,2,2,2,1,-1,-6
44,174,67,33,7,178.0,1.33,105,22,0,0,0,1,-2,-1,-1,-7
45,178,71,35,11,182.0,0.67,95,22,4,2,4,3,2,1,1,-6
46,183,71,35,11,186.0,2.0,105,23,4,2,4,3,-1,-1,0,-6
47,185,67,33,7,190.0,2.0,95,23,0,0,0,1,0,0,-1,-7
48,188,71,35,11,194.0,1.33,105,24,4,2,4,3,2,1,1,-6
49,192,79,40,7,198.0,0.67,95,24,12,7,0,1,5,3,1,-5
50,197,81,41,9,202.0,1.33,105,25,14,8,2,2,2,1,1,-4
51,201,76,38,4,206.0,0.67,95,25,9,5,9,6,-3,-2,-1,-5
52,206,79,40,7,210.0,0.67,105,26,12,7,0,1,3,2,1,-4
53,211,76,38,4,214.0,1.33,95,26,9,5,9,6,-3,-2,-1,-5
54,216,76,38,4,218.0,2.0,105,27,9,5,9,6,2,1,0,-5
55,218,69,34,9,222.0,2.0,95,27,2,1,2,2,0,0,-1,-6
56,221,76,38,4,226.0,0.67,105,28,9,5,9,6,-2,-1,1,-5
57,226,79,40,7,230.0,0.67,95,28,12,7,0,1,1,1,1,-4
58,231,74,37,2,234.0,1.33,105,29,7,4,7,5,-2,-1,-1,-5
59,235,69,34,9,238.0,0.67,95,29,2,1,2,2,2,1,-1,-6
60,240,67,33,7,242.0,1.33,105,30,0,0,0,1,-2,-1,-1,-7
61,244,71,35,11,246.0,0.67,95,30,4,2,4,3,2,1,1,-6
62,249,71,35,11,250.0,2.0,105,31,4,2,4,3,-1,-1,0,-6
63,251,67,33,7,254.0,2.0,95,31,0,0,0,1,0,0,-1,-7
