,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,83,42,11,0.0,0.5,105,0,12,7,0,1,0,0,0,0
1,5,76,38,4,7.0,1.0,105,1,5,3,5,4,-2,-1,-1,-1
2,12,81,41,9,14.0,1.0,105,2,10,6,10,7,3,2,1,0
3,19,71,35,11,21.0,1.0,105,3,0,0,0,1,-7,-4,-1,-1
4,25,76,38,4,28.0,1.0,105,4,5,3,5,4,7,4,1,0
5,32,76,38,4,35.0,1.0,105,5,5,3,5,4,2,1,0,0
6,38,76,38,4,42.0,1.0,105,6,5,3,5,4,2,1,0,0
7,45,76,38,4,49.0,1.0,105,7,5,3,5,4,2,1,0,0
8,52,83,42,11,56.0,0.5,105,8,12,7,0,1,9,5,1,1
9,57,76,38,4,63.0,1.0,105,9,5,3,5,4,-2,-1,-1,0
10,64,81,41,9,70.0,1.0,105,10,10,6,10,7,3,2,1,1
11,71,71,35,11,77.0,1.0,105,11,0,0,0,1,-7,-4,-1,0
12,77,76,38,4,84.0,1.0,105,12,5,3,5,4,7,4,1,1
13,84,76,38,4,91.0,1.0,105,13,5,3,5,4,2,1,0,1
14,90,76,38,4,98.0,1.0,105,14,5,3,5,4,2,1,0,1
15,97,76,38,4,105.0,1.0,105,15,5,3,5,4,2,1,0,1
16,104,81,41,9,112.0,0.5,105,16,10,6,10,7,7,4,1,2
17,111,76,38,4,119.0,2.0,105,17,5,3,5,4,-2,-1,-1,1
18,117,73,36,1,126.0,2.0,105,18,2,1,2,2,-1,-1,-1,0
19,122,67,33,7,133.0,1.0,105,19,-4,-2,8,6,1,1,-1,-1
20,130,62,30,2,140.0,1.0,105,20,-9,-5,3,3,-4,-2,-1,-2
21,137,71,35,11,147.0,1.0,105,21,0,0,0,1,2,1,1,-1
22,144,79,40,7,154.0,0.5,105,22,8,5,8,6,3,2,1,0
23,151,69,34,9,161.0,0.5,105,23,-2,-1,10,7,-2,-1,-1,-1
24,159,81,41,9,168.0,0.5,105,24,10,6,10,7,-2,-1,1,0
25,166,76,38,4,175.0,2.0,105,25,5,3,5,4,-2,-1,-1,-1
26,172,73,36,1,182.0,2.0,105,26,2,1,2,2,-1,-1,-1,-2
27,177,67,33,7,189.0,1.0,105,27,-4,-2,8,6,1,1,-1,-3
28,185,62,30,2,196.0,1.0,105,28,-9,-5,3,3,-4,-2,-1,-4
29,192,71,35,11,203.0,1.0,105,29,0,0,0,1,2,1,1,-3
30,199,79,40,7,210.0,0.5,105,30,8,5,8,6,3,2,1,-2
31,206,71,35,11,217.0,7.0,105,31,0,0,0,1,0,0,-1,-3
