,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,55,26,7,0.0,2.0,105,0,-12,-7,0,1,0,0,0,0
1,2,57,27,9,3.0,1.0,95,0,-10,-6,2,2,2,1,1,1
2,5,64,31,4,6.0,1.0,105,1,-3,-2,9,6,2,1,1,2
3,8,62,30,2,9.0,1.0,95,1,-5,-3,7,5,3,2,-1,1
4,11,67,33,7,12.0,2.0,105,2,0,0,0,1,10,6,1,2
5,13,64,31,4,15.0,1.0,95,2,-3,-2,9,6,-3,-2,-1,1
6,16,55,26,7,18.0,1.0,105,3,-12,-7,0,1,-4,-2,-1,0
7,19,64,31,4,21.0,1.0,95,3,-3,-2,9,6,2,1,1,1
8,22,55,26,7,24.0,2.0,105,4,-12,-7,0,1,-4,-2,-1,0
9,24,57,27,9,27.0,1.0,95,4,-10,-6,2,2,2,1,1,1
10,27,64,31,4,30.0,1.0,105,5,-3,-2,9,6,2,1,1,2
11,30,62,30,2,33.0,1.0,95,5,-5,-3,7,5,3,2,-1,1
12,33,67,33,7,36.0,2.0,105,6,0,0,0,1,10,6,1,2
13,35,64,31,4,39.0,1.0,95,6,-3,-2,9,6,-3,-2,-1,1
14,38,69,34,9,42.0,1.0,105,7,2,1,2,2,-2,-1,1,2
15,41,62,30,2,45.0,1.0,95,7,-5,-3,7,5,-2,-1,-1,1
16,44,55,26,7,48.0,2.0,105,8,-12,-7,0,1,-2,-1,-1,0
17,46,57,27,9,51.0,1.0,95,8,-10,-6,2,2,2,1,1,1
18,49,64,31,4,54.0,1.0,105,9,-3,-2,9,6,2,1,1,2
19,52,62,30,2,57.0,1.0,95,9,-5,-3,7,5,3,2,-1,1
20,55,67,33,7,60.0,2.0,105,10,0,0,0,1,10,6,1,2
21,57,64,31,4,63.0,1.0,95,10,-3,-2,9,6,-3,-2,-1,1
22,60,55,26,7,66.0,1.0,105,11,-12,-7,0,1,-4,-2,-1,0
23,63,64,31,4,69.0,1.0,95,11,-3,-2,9,6,2,1,1,1
24,66,55,26,7,72.0,2.0,105,12,-12,-7,0,1,-4,-2,-1,0
25,68,57,27,9,75.0,1.0,95,12,-10,-6,2,2,2,1,1,1
26,71,64,31,4,78.0,1.0,105,13,-3,-2,9,6,2,1,1,2
27,74,62,30,2,81.0,1.0,95,13,-5,-3,7,5,3,2,-1,1
28,77,67,33,7,84.0,2.0,105,14,0,0,0,1,10,6,1,2
29,79,64,31,4,87.0,1.0,95,14,-3,-2,9,6,-3,-2,-1,1
30,82,69,34,9,90.0,1.0,105,15,2,1,2,2,-2,-1,1,2
31,85,62,30,2,93.0,1.0,95,15,-5,-3,7,5,-2,-1,-1,1
32,88,69,34,9,96.0,2.0,105,16,2,1,2,2,12,7,1,2
33,90,67,33,7,99.0,1.0,95,16,0,0,0,1,-2,-1,-1,1
34,93,60,29,0,102.0,1.0,105,17,-7,-4,5,4,-2,-1,-1,0
35,96,62,30,2,105.0,1.0,95,17,-5,-3,7,5,-3,-2,1,1
36,99,57,27,9,108.0,0.5,105,18,-10,-6,2,2,-1,-1,-1,0
37,102,58,28,10,111.0,1.0,95,18,-9,-5,3,3,3,2,1,1
38,105,65,32,5,114.0,1.0,105,19,-2,-1,10,7,3,2,1,2
39,108,58,28,10,117.0,1.0,95,19,-9,-5,3,3,-2,-1,-1,1
40,111,69,34,9,120.0,2.0,105,20,2,1,2,2,14,8,1,2
41,113,67,33,7,123.0,1.0,95,20,0,0,0,1,-2,-1,-1,1
42,116,60,29,0,126.0,1.0,105,21,-7,-4,5,4,-2,-1,-1,0
43,119,62,30,2,129.0,1.0,95,21,-5,-3,7,5,-3,-2,1,1
44,122,57,27,9,132.0,0.5,105,22,-10,-6,2,2,-1,-1,-1,0
45,125,58,28,10,135.0,1.0,95,22,-9,-5,3,3,3,2,1,1
46,128,65,32,5,138.0,1.0,105,23,-2,-1,10,7,3,2,1,2
47,131,55,26,7,141.0,2.0,95,23,-12,-7,0,1,-5,-3,-1,1
48,133,69,34,9,144.0,2.0,105,24,2,1,2,2,14,8,1,2
49,135,67,33,7,147.0,1.0,95,24,0,0,0,1,-2,-1,-1,1
50,138,60,29,0,150.0,1.0,105,25,-7,-4,5,4,-2,-1,-1,0
51,141,62,30,2,153.0,1.0,95,25,-5,-3,7,5,-3,-2,1,1
52,144,57,27,9,156.0,0.5,105,26,-10,-6,2,2,-1,-1,-1,0
53,147,58,28,10,159.0,1.0,95,26,-9,-5,3,3,3,2,1,1
54,150,65,32,5,162.0,1.0,105,27,-2,-1,10,7,3,2,1,2
55,153,58,28,10,165.0,1.0,95,27,-9,-5,3,3,-2,-1,-1,1
56,156,69,34,9,168.0,2.0,105,28,2,1,2,2,14,8,1,2
57,158,67,33,7,171.0,1.0,95,28,0,0,0,1,-2,-1,-1,1
58,161,60,29,0,174.0,1.0,105,29,-7,-4,5,4,-2,-1,-1,0
59,164,62,30,2,177.0,1.0,95,29,-5,-3,7,5,-3,-2,1,1
60,167,57,27,9,180.0,0.5,105,30,-10,-6,2,2,-1,-1,-1,0
61,170,58,28,10,183.0,1.0,95,30,-9,-5,3,3,3,2,1,1
62,173,65,32,5,186.0,1.0,105,31,-2,-1,10,7,3,2,1,2
63,176,55,26,7,189.0,2.0,95,31,-12,-7,0,1,-5,-3,-1,1
