,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,71,35,11,3.0,1.0,95,0,4,2,4,3,-3,-2,1,1
2,6,67,33,7,6.0,1.0,105,1,0,0,0,1,-7,-4,-1,0
3,9,72,36,0,9.0,2.0,95,1,5,3,5,4,-2,-1,1,1
4,11,67,33,7,12.0,1.0,105,2,0,0,0,1,-4,-2,-1,0
5,14,72,36,0,15.0,1.0,95,2,5,3,5,4,-2,-1,1,1
6,17,74,37,2,18.0,1.0,105,3,7,4,7,5,2,1,1,2
7,21,78,39,6,21.0,1.0,95,3,11,6,11,7,4,2,1,3
8,24,67,33,7,24.0,1.0,105,4,0,0,0,1,-14,-8,-1,2
9,27,71,35,11,27.0,1.0,95,4,4,2,4,3,-3,-2,1,3
10,30,72,36,0,30.0,1.0,105,5,5,3,5,4,-2,-1,1,4
11,33,74,37,2,33.0,1.0,95,5,7,4,7,5,2,1,1,5
12,36,81,41,9,36.0,1.0,105,6,14,8,2,2,3,2,1,6
13,39,79,40,7,39.0,1.0,95,6,12,7,0,1,1,1,-1,5
14,42,74,37,2,42.0,1.0,105,7,7,4,7,5,-2,-1,-1,4
15,45,69,34,9,45.0,1.0,95,7,2,1,2,2,2,1,-1,3
16,48,67,33,7,48.0,1.0,105,8,0,0,0,1,-2,-1,-1,2
17,51,71,35,11,51.0,1.0,95,8,4,2,4,3,-3,-2,1,3
18,54,67,33,7,54.0,1.0,105,9,0,0,0,1,-7,-4,-1,2
19,57,72,36,0,57.0,2.0,95,9,5,3,5,4,-2,-1,1,3
20,59,67,33,7,60.0,1.0,105,10,0,0,0,1,-4,-2,-1,2
21,62,72,36,0,63.0,1.0,95,10,5,3,5,4,-2,-1,1,3
22,65,74,37,2,66.0,1.0,105,11,7,4,7,5,2,1,1,4
23,69,78,39,6,69.0,1.0,95,11,11,6,11,7,4,2,1,5
24,72,67,33,7,72.0,1.0,105,12,0,0,0,1,-14,-8,-1,4
25,75,71,35,11,75.0,1.0,95,12,4,2,4,3,-3,-2,1,5
26,78,72,36,0,78.0,1.0,105,13,5,3,5,4,-2,-1,1,6
27,81,74,37,2,81.0,1.0,95,13,7,4,7,5,2,1,1,7
28,84,81,41,9,84.0,1.0,105,14,14,8,2,2,3,2,1,8
29,87,79,40,7,87.0,1.0,95,14,12,7,0,1,1,1,-1,7
30,90,74,37,2,90.0,1.0,105,15,7,4,7,5,-2,-1,-1,6
31,93,69,34,9,93.0,1.0,95,15,2,1,2,2,2,1,-1,5
32,96,67,33,7,96.0,1.0,105,16,0,0,0,1,-2,-1,-1,4
33,99,79,40,7,99.0,1.0,95,16,12,7,0,1,5,3,1,5
34,102,67,33,7,102.0,1.0,105,17,0,0,0,1,-12,-7,-1,4
35,105,72,36,0,105.0,2.0,95,17,5,3,5,4,-2,-1,1,5
36,107,67,33,7,108.0,1.0,105,18,0,0,0,1,-4,-2,-1,4
37,110,79,40,7,111.0,1.0,95,18,12,7,0,1,5,3,1,5
38,115,81,41,9,114.0,1.0,105,19,14,8,2,2,2,1,1,6
39,118,76,38,4,117.0,1.0,95,19,9,5,9,6,2,1,-1,5
40,121,67,33,7,120.0,1.0,105,20,0,0,0,1,-2,-1,-1,4
41,124,79,40,7,123.0,1.0,95,20,12,7,0,1,5,3,1,5
42,129,74,37,2,126.0,1.0,105,21,7,4,7,5,-5,-3,-1,4
43,132,76,38,4,129.0,1.0,95,21,9,5,9,6,2,1,1,5
44,135,83,42,11,132.0,1.0,105,22,16,9,4,3,4,2,1,6
45,138,79,40,7,135.0,1.0,95,22,12,7,0,1,0,0,-1,5
46,141,74,37,2,138.0,1.0,105,23,7,4,7,5,-2,-1,-1,4
47,144,69,34,9,141.0,1.0,95,23,2,1,2,2,2,1,-1,3
48,147,67,33,7,144.0,1.0,105,24,0,0,0,1,-2,-1,-1,2
49,150,79,40,7,147.0,1.0,95,24,12,7,0,1,5,3,1,3
50,153,67,33,7,150.0,1.0,105,25,0,0,0,1,-12,-7,-1,2
51,156,72,36,0,153.0,2.0,95,25,5,3,5,4,-2,-1,1,3
52,158,67,33,7,156.0,1.0,105,26,0,0,0,1,-4,-2,-1,2
53,161,79,40,7,159.0,1.0,95,26,12,7,0,1,5,3,1,3
54,166,81,41,9,162.0,1.0,105,27,14,8,2,2,2,1,1,4
55,169,76,38,4,165.0,1.0,95,27,9,5,9,6,2,1,-1,3
56,172,67,33,7,168.0,1.0,105,28,0,0,0,1,-2,-1,-1,2
57,175,79,40,7,171.0,1.0,95,28,12,7,0,1,5,3,1,3
58,180,74,37,2,174.0,1.0,105,29,7,4,7,5,-5,-3,-1,2
59,183,76,38,4,177.0,1.0,95,29,9,5,9,6,2,1,1,3
60,186,83,42,11,180.0,1.0,105,30,16,9,4,3,4,2,1,4
61,189,79,40,7,183.0,1.0,95,30,12,7,0,1,0,0,-1,3
62,192,74,37,2,186.0,1.0,105,31,7,4,7,5,-2,-1,-1,2
63,195,69,34,9,189.0,1.0,95,31,2,1,2,2,2,1,-1,1
