,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,1.5,105,0,7,4,7,5,0,0,0,0
1,5,72,36,0,5.0,0.5,95,0,5,3,5,4,0,0,-1,-1
2,9,67,33,7,9.0,1.5,105,1,0,0,0,1,-2,-1,-1,-2
3,13,71,35,11,13.0,0.5,95,1,4,2,4,3,4,2,1,-1
4,16,76,38,4,17.0,1.5,105,2,9,5,9,6,2,1,1,0
5,20,71,35,11,21.0,0.5,95,2,4,2,4,3,-3,-2,-1,-1
6,24,74,37,2,25.0,1.5,105,3,7,4,7,5,-2,-1,1,0
7,28,76,38,4,29.0,3.0,95,3,9,5,9,6,5,3,1,1
8,30,74,37,2,33.0,1.5,105,4,7,4,7,5,-5,-3,-1,0
9,34,72,36,0,37.0,0.5,95,4,5,3,5,4,0,0,-1,-1
10,38,67,33,7,41.0,1.5,105,5,0,0,0,1,-2,-1,-1,-2
11,42,71,35,11,45.0,0.5,95,5,4,2,4,3,4,2,1,-1
12,45,79,40,7,49.0,1.5,105,6,12,7,0,1,5,3,1,0
13,49,74,37,2,53.0,1.5,95,6,7,4,7,5,-5,-3,-1,-1
14,53,71,35,11,57.0,1.5,105,7,4,2,4,3,-8,-5,-1,-2
15,57,67,33,7,61.0,3.0,95,7,0,0,0,1,-12,-7,-1,-3
16,59,74,37,2,65.0,1.5,105,8,7,4,7,5,3,2,1,-2
17,63,71,35,11,69.0,0.5,95,8,4,2,4,3,-3,-2,-1,-3
18,67,67,33,7,73.0,1.5,105,9,0,0,0,1,0,0,-1,-4
19,71,71,35,11,77.0,0.5,95,9,4,2,4,3,4,2,1,-3
20,75,76,38,4,81.0,2.0,105,10,9,5,9,6,9,5,1,-2
21,78,72,36,0,85.0,0.5,95,10,5,3,5,4,-2,-1,-1,-3
22,82,79,40,7,89.0,1.5,105,11,12,7,0,1,1,1,1,-2
23,86,74,37,2,93.0,3.0,95,11,7,4,7,5,-5,-3,-1,-3
24,88,74,37,2,97.0,1.5,105,12,7,4,7,5,3,2,0,-3
25,92,71,35,11,101.0,0.5,95,12,4,2,4,3,-3,-2,-1,-4
26,96,67,33,7,105.0,1.5,105,13,0,0,0,1,0,0,-1,-5
27,100,71,35,11,109.0,0.5,95,13,4,2,4,3,4,2,1,-4
28,104,79,40,7,113.0,1.5,105,14,12,7,0,1,12,7,1,-3
29,108,74,37,2,117.0,1.5,95,14,7,4,7,5,-5,-3,-1,-4
30,112,71,35,11,121.0,1.5,105,15,4,2,4,3,-8,-5,-1,-5
31,116,67,33,7,125.0,3.0,95,15,0,0,0,1,-12,-7,-1,-6
32,118,74,37,2,129.0,1.5,105,16,7,4,7,5,-2,-1,1,-5
33,123,67,33,7,133.0,0.67,95,16,0,0,0,1,0,0,-1,-6
34,128,71,35,11,137.0,1.5,105,17,4,2,4,3,4,2,1,-5
35,133,71,35,11,141.0,0.5,95,17,4,2,4,3,4,2,0,-5
36,137,76,38,4,145.0,1.5,105,18,9,5,9,6,-3,-2,1,-4
37,142,69,34,9,149.0,0.67,95,18,2,1,2,2,0,0,-1,-5
38,147,72,36,0,153.0,1.5,105,19,5,3,5,4,1,1,1,-4
39,152,72,36,0,157.0,1.5,95,19,5,3,5,4,3,2,0,-4
40,156,74,37,2,161.0,1.5,105,20,7,4,7,5,-2,-1,1,-3
41,161,67,33,7,165.0,0.67,95,20,0,0,0,1,0,0,-1,-4
42,166,71,35,11,169.0,1.5,105,21,4,2,4,3,4,2,1,-3
43,171,71,35,11,173.0,0.5,95,21,4,2,4,3,4,2,0,-3
44,175,79,40,7,177.0,1.5,105,22,12,7,0,1,0,0,1,-2
45,179,74,37,2,181.0,1.5,95,22,7,4,7,5,-5,-3,-1,-3
46,183,71,35,11,185.0,1.5,105,23,4,2,4,3,-8,-5,-1,-4
47,187,67,33,7,189.0,3.0,95,23,0,0,0,1,-12,-7,-1,-5
48,189,76,38,4,193.0,0.5,105,24,9,5,9,6,2,1,1,-4
49,193,71,35,11,197.0,0.5,95,24,4,2,4,3,0,0,-1,-5
50,197,67,33,7,201.0,1.5,105,25,0,0,0,1,0,0,-1,-6
51,201,71,35,11,205.0,0.5,95,25,4,2,4,3,4,2,1,-5
52,204,76,38,4,209.0,0.5,105,26,9,5,9,6,2,1,1,-4
53,208,72,36,0,213.0,0.5,95,26,5,3,5,4,0,0,-1,-5
54,212,79,40,7,217.0,1.5,105,27,12,7,0,1,1,1,1,-4
55,216,71,35,11,221.0,0.5,95,27,4,2,4,3,-8,-5,-1,-5
56,220,76,38,4,225.0,0.5,105,28,9,5,9,6,2,1,1,-4
57,224,71,35,11,229.0,0.5,95,28,4,2,4,3,0,0,-1,-5
58,228,67,33,7,233.0,1.5,105,29,0,0,0,1,0,0,-1,-6
59,232,71,35,11,237.0,0.5,95,29,4,2,4,3,4,2,1,-5
60,235,79,40,7,241.0,1.5,105,30,12,7,0,1,5,3,1,-4
61,239,74,37,2,245.0,1.5,95,30,7,4,7,5,-5,-3,-1,-5
62,243,71,35,11,249.0,1.5,105,31,4,2,4,3,-8,-5,-1,-6
63,247,67,33,7,253.0,3.0,95,31,0,0,0,1,-12,-7,-1,-7
