,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,2.0,105,0,9,5,9,6,0,0,0,0
1,2,67,33,7,3.0,1.0,95,0,5,3,5,4,-2,-1,-1,-1
2,5,67,33,7,6.0,2.0,95,0,5,3,5,4,1,1,0,-1
3,7,71,35,11,9.0,1.0,105,1,9,5,9,6,2,1,1,0
4,12,71,35,11,12.0,1.0,95,1,9,5,9,6,0,0,0,0
5,15,74,37,2,15.0,1.0,95,1,12,7,0,1,3,2,1,1
6,18,71,35,11,18.0,2.0,105,2,9,5,9,6,2,1,-1,0
7,20,67,33,7,21.0,1.0,95,2,5,3,5,4,-2,-1,-1,-1
8,23,67,33,7,24.0,2.0,95,2,5,3,5,4,1,1,0,-1
9,25,71,35,11,27.0,1.0,105,3,9,5,9,6,2,1,1,0
10,28,76,38,4,30.0,1.0,95,3,14,8,2,2,0,0,1,1
11,31,74,37,2,33.0,1.0,95,3,12,7,0,1,-2,-1,-1,0
12,34,71,35,11,36.0,2.0,105,4,9,5,9,6,2,1,-1,-1
13,36,67,33,7,39.0,1.0,95,4,5,3,5,4,-2,-1,-1,-2
14,39,67,33,7,42.0,2.0,95,4,5,3,5,4,1,1,0,-2
15,41,71,35,11,45.0,1.0,105,5,9,5,9,6,2,1,1,-1
16,46,71,35,11,48.0,1.0,95,5,9,5,9,6,0,0,0,-1
17,49,74,37,2,51.0,1.0,95,5,12,7,0,1,3,2,1,0
18,52,71,35,11,54.0,2.0,105,6,9,5,9,6,2,1,-1,-1
19,54,67,33,7,57.0,1.0,95,6,5,3,5,4,-2,-1,-1,-2
20,57,67,33,7,60.0,2.0,95,6,5,3,5,4,1,1,0,-2
21,59,71,35,11,63.0,1.0,105,7,9,5,9,6,2,1,1,-1
22,62,76,38,4,66.0,1.0,95,7,14,8,2,2,0,0,1,0
23,65,74,37,2,69.0,1.0,95,7,12,7,0,1,-2,-1,-1,-1
24,68,71,35,11,72.0,1.0,105,8,9,5,9,6,2,1,-1,-2
25,71,76,38,4,75.0,2.0,95,8,14,8,2,2,0,0,1,-1
26,73,79,40,7,78.0,1.0,95,8,17,10,5,4,1,1,1,0
27,78,71,35,11,81.0,1.0,105,9,9,5,9,6,-8,-5,-1,-1
28,81,76,38,4,84.0,1.0,95,9,14,8,2,2,0,0,1,0
29,84,74,37,2,87.0,1.0,95,9,12,7,0,1,-2,-1,-1,-1
30,87,71,35,11,90.0,1.0,105,10,9,5,9,6,2,1,-1,-2
31,90,76,38,4,93.0,2.0,95,10,14,8,2,2,0,0,1,-1
32,92,79,40,7,96.0,2.0,95,10,17,10,5,4,1,1,1,0
33,94,83,42,11,99.0,1.0,105,11,21,12,9,6,2,1,1,1
34,97,81,41,9,102.0,1.0,95,11,19,11,7,5,2,1,-1,0
35,100,74,37,2,105.0,1.0,95,11,12,7,0,1,-2,-1,-1,-1
36,103,71,35,11,108.0,1.0,105,12,9,5,9,6,2,1,-1,-2
37,106,76,38,4,111.0,2.0,95,12,14,8,2,2,0,0,1,-1
38,108,79,40,7,114.0,1.0,95,12,17,10,5,4,1,1,1,0
39,113,71,35,11,117.0,1.0,105,13,9,5,9,6,-8,-5,-1,-1
40,116,76,38,4,120.0,1.0,95,13,14,8,2,2,0,0,1,0
41,119,74,37,2,123.0,1.0,95,13,12,7,0,1,-2,-1,-1,-1
42,122,76,38,4,126.0,1.0,105,14,14,8,2,2,7,4,1,0
43,125,76,38,4,129.0,2.0,95,14,14,8,2,2,5,3,0,0
44,127,79,40,7,132.0,2.0,95,14,17,10,5,4,1,1,1,1
45,129,83,42,11,135.0,1.0,105,15,21,12,9,6,2,1,1,2
46,132,81,41,9,138.0,1.0,95,15,19,11,7,5,2,1,-1,1
47,135,74,37,2,141.0,1.0,95,15,12,7,0,1,-2,-1,-1,0
