,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,78,39,6,0.0,3.0,105,0,7,4,7,5,0,0,0,0
1,3,71,35,11,6.0,2.0,105,1,0,0,0,1,-7,-4,-1,-1
2,6,81,41,9,12.0,4.0,105,2,10,6,10,7,3,2,1,0
3,8,74,37,2,18.0,3.0,105,3,3,2,3,3,-4,-2,-1,-1
4,11,76,38,4,24.0,2.0,105,4,5,3,5,4,2,1,1,0
5,15,74,37,2,30.0,2.0,105,5,3,2,3,3,-2,-1,-1,-1
6,18,69,34,9,36.0,3.0,105,6,-2,-1,10,7,-2,-1,-1,-2
7,21,73,36,1,42.0,2.0,105,7,2,1,2,2,4,2,1,-1
8,24,78,39,6,48.0,4.0,105,8,7,4,7,5,2,1,1,0
9,26,71,35,11,54.0,2.0,105,9,0,0,0,1,-7,-4,-1,-1
10,29,81,41,9,60.0,4.0,105,10,10,6,10,7,3,2,1,0
11,31,74,37,2,66.0,3.0,105,11,3,2,3,3,-4,-2,-1,-1
12,34,76,38,4,72.0,2.0,105,12,5,3,5,4,2,1,1,0
13,38,74,37,2,78.0,3.0,105,13,3,2,3,3,-2,-1,-1,-1
14,41,71,35,11,84.0,6.0,105,14,0,0,0,1,0,0,-1,-2
15,42,71,35,11,90.0,4.0,105,15,0,0,0,1,0,0,0,-2
16,45,78,39,6,96.0,3.0,105,16,7,4,7,5,-1,-1,1,-1
17,48,71,35,11,102.0,2.0,105,17,0,0,0,1,-7,-4,-1,-2
18,51,81,41,9,108.0,4.0,105,18,10,6,10,7,3,2,1,-1
19,53,74,37,2,114.0,3.0,105,19,3,2,3,3,-4,-2,-1,-2
20,56,76,38,4,120.0,2.0,105,20,5,3,5,4,2,1,1,-1
21,60,74,37,2,126.0,2.0,105,21,3,2,3,3,-2,-1,-1,-2
22,63,69,34,9,132.0,3.0,105,22,-2,-1,10,7,-2,-1,-1,-3
23,66,73,36,1,138.0,2.0,105,23,2,1,2,2,4,2,1,-2
24,69,78,39,6,144.0,4.0,105,24,7,4,7,5,2,1,1,-1
25,71,71,35,11,150.0,2.0,105,25,0,0,0,1,-7,-4,-1,-2
26,74,81,41,9,156.0,4.0,105,26,10,6,10,7,3,2,1,-1
27,76,74,37,2,162.0,3.0,105,27,3,2,3,3,-4,-2,-1,-2
28,79,76,38,4,168.0,2.0,105,28,5,3,5,4,2,1,1,-1
29,83,74,37,2,174.0,3.0,105,29,3,2,3,3,-2,-1,-1,-2
30,86,71,35,11,180.0,6.0,105,30,0,0,0,1,0,0,-1,-3
31,87,71,35,11,186.0,2.0,105,31,0,0,0,1,0,0,0,-3
32,91,78,39,6,192.0,3.0,105,32,7,4,7,5,2,1,1,-2
33,94,69,34,9,198.0,3.0,105,33,-2,-1,10,7,0,0,-1,-3
34,97,76,38,4,204.0,3.0,105,34,5,3,5,4,-2,-1,1,-2
35,100,73,36,1,210.0,3.0,105,35,2,1,2,2,0,0,-1,-3
36,103,71,35,11,216.0,3.0,105,36,0,0,0,1,-2,-1,-1,-4
37,106,73,36,1,222.0,3.0,105,37,2,1,2,2,-1,-1,1,-3
38,109,74,37,2,228.0,3.0,105,38,3,2,3,3,-2,-1,1,-2
39,112,78,39,6,234.0,3.0,105,39,7,4,7,5,0,0,1,-1
40,115,78,39,6,240.0,2.0,105,40,7,4,7,5,4,2,0,-1
41,119,69,34,9,246.0,3.0,105,41,-2,-1,10,7,-9,-5,-1,-2
42,122,76,38,4,252.0,3.0,105,42,5,3,5,4,-2,-1,1,-1
43,125,73,36,1,258.0,2.0,105,43,2,1,2,2,0,0,-1,-2
44,128,71,35,11,264.0,2.0,105,44,0,0,0,1,-2,-1,-1,-3
45,132,78,39,6,270.0,2.0,105,45,7,4,7,5,2,1,1,-2
46,135,71,35,11,276.0,6.0,105,46,0,0,0,1,-3,-2,-1,-3
47,136,71,35,11,282.0,3.0,105,47,0,0,0,1,0,0,0,-3
48,139,78,39,6,288.0,3.0,105,48,7,4,7,5,2,1,1,-2
49,142,69,34,9,294.0,3.0,105,49,-2,-1,10,7,0,0,-1,-3
50,145,76,38,4,300.0,3.0,105,50,5,3,5,4,-2,-1,1,-2
51,148,73,36,1,306.0,3.0,105,51,2,1,2,2,0,0,-1,-3
52,151,71,35,11,312.0,3.0,105,52,0,0,0,1,-2,-1,-1,-4
53,154,73,36,1,318.0,3.0,105,53,2,1,2,2,-1,-1,1,-3
54,157,74,37,2,324.0,3.0,105,54,3,2,3,3,-2,-1,1,-2
55,160,78,39,6,330.0,3.0,105,55,7,4,7,5,0,0,1,-1
56,163,78,39,6,336.0,2.0,105,56,7,4,7,5,4,2,0,-1
57,167,69,34,9,342.0,3.0,105,57,-2,-1,10,7,-9,-5,-1,-2
58,170,76,38,4,348.0,3.0,105,58,5,3,5,4,-2,-1,1,-1
59,173,73,36,1,354.0,2.0,105,59,2,1,2,2,0,0,-1,-2
60,176,71,35,11,360.0,2.0,105,60,0,0,0,1,-2,-1,-1,-3
61,180,78,39,6,366.0,2.0,105,61,7,4,7,5,2,1,1,-2
62,183,71,35,11,372.0,6.0,105,62,0,0,0,1,-3,-2,-1,-3
63,184,71,35,11,378.0,2.0,105,63,0,0,0,1,0,0,0,-3
