,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,73,36,1,1.0,1.0,105,0,4,2,4,3,0,0,0,0
1,4,64,31,4,4.0,2.0,95,0,-5,-3,7,5,-5,-3,-1,-1
2,6,66,32,6,7.0,2.0,105,1,-3,-2,9,6,-3,-2,1,0
3,8,64,31,4,10.0,2.0,95,1,-5,-3,7,5,-5,-3,-1,-1
4,10,76,38,4,13.0,1.0,105,2,7,4,7,5,3,2,1,0
5,13,76,38,4,16.0,1.0,95,2,7,4,7,5,0,0,0,0
6,16,74,37,2,19.0,2.0,105,3,5,3,5,4,1,1,-1,-1
7,18,71,35,11,22.0,1.0,95,3,2,1,2,2,-2,-1,-1,-2
8,21,73,36,1,25.0,1.0,105,4,4,2,4,3,-1,-1,1,-1
9,24,64,31,4,28.0,2.0,95,4,-5,-3,7,5,-5,-3,-1,-2
10,26,66,32,6,31.0,2.0,105,5,-3,-2,9,6,-3,-2,1,-1
11,28,64,31,4,34.0,2.0,95,5,-5,-3,7,5,-5,-3,-1,-2
12,30,76,38,4,37.0,1.0,105,6,7,4,7,5,3,2,1,-1
13,33,76,38,4,40.0,1.0,95,6,7,4,7,5,0,0,0,-1
14,36,71,35,11,43.0,1.0,105,7,2,1,2,2,2,1,-1,-2
15,39,69,34,9,46.0,2.0,95,7,0,0,0,1,-2,-1,-1,-3
16,41,73,36,1,49.0,1.0,105,8,4,2,4,3,2,1,1,-2
17,44,64,31,4,52.0,2.0,95,8,-5,-3,7,5,-5,-3,-1,-3
18,46,66,32,6,55.0,2.0,105,9,-3,-2,9,6,-3,-2,1,-2
19,48,64,31,4,58.0,2.0,95,9,-5,-3,7,5,-5,-3,-1,-3
20,50,76,38,4,61.0,1.0,105,10,7,4,7,5,3,2,1,-2
21,53,76,38,4,64.0,1.0,95,10,7,4,7,5,0,0,0,-2
22,56,74,37,2,67.0,2.0,105,11,5,3,5,4,1,1,-1,-3
23,58,71,35,11,70.0,1.0,95,11,2,1,2,2,-2,-1,-1,-4
24,61,73,36,1,73.0,1.0,105,12,4,2,4,3,-1,-1,1,-3
25,64,64,31,4,76.0,2.0,95,12,-5,-3,7,5,-5,-3,-1,-4
26,66,66,32,6,79.0,2.0,105,13,-3,-2,9,6,-3,-2,1,-3
27,68,64,31,4,82.0,2.0,95,13,-5,-3,7,5,-5,-3,-1,-4
28,70,76,38,4,85.0,1.0,105,14,7,4,7,5,3,2,1,-3
29,73,76,38,4,88.0,1.0,95,14,7,4,7,5,0,0,0,-3
30,76,71,35,11,91.0,1.0,105,15,2,1,2,2,2,1,-1,-4
31,79,69,34,9,94.0,2.0,95,15,0,0,0,1,-2,-1,-1,-5
32,81,76,38,4,97.0,1.0,105,16,7,4,7,5,3,2,1,-4
33,84,69,34,9,100.0,1.0,95,16,0,0,0,1,-2,-1,-1,-5
34,87,78,39,6,103.0,1.0,105,17,9,5,9,6,2,1,1,-4
35,92,78,39,6,106.0,1.0,95,17,9,5,9,6,0,0,0,-4
36,95,76,38,4,109.0,1.0,105,18,7,4,7,5,-5,-3,-1,-5
37,98,69,34,9,112.0,1.0,95,18,0,0,0,1,0,0,-1,-6
38,101,71,35,11,115.0,1.0,105,19,2,1,2,2,2,1,1,-5
39,104,64,31,4,118.0,2.0,95,19,-5,-3,7,5,0,0,-1,-6
40,106,76,38,4,121.0,1.0,105,20,7,4,7,5,3,2,1,-5
41,109,69,34,9,124.0,1.0,95,20,0,0,0,1,-2,-1,-1,-6
42,112,81,41,9,127.0,1.0,105,21,12,7,0,1,5,3,1,-5
43,115,76,38,4,130.0,3.0,95,21,7,4,7,5,-2,-1,-1,-6
44,116,69,34,9,133.0,1.0,105,22,0,0,0,1,-7,-4,-1,-7
45,119,69,34,9,136.0,2.0,95,22,0,0,0,1,-2,-1,0,-7
46,121,71,35,11,139.0,1.0,105,23,2,1,2,2,-2,-1,1,-6
47,124,69,34,9,142.0,2.0,95,23,0,0,0,1,-2,-1,-1,-7
48,126,76,38,4,145.0,1.0,105,24,7,4,7,5,3,2,1,-6
49,129,69,34,9,148.0,1.0,95,24,0,0,0,1,-2,-1,-1,-7
50,132,78,39,6,151.0,1.0,105,25,9,5,9,6,2,1,1,-6
51,137,78,39,6,154.0,1.0,95,25,9,5,9,6,0,0,0,-6
52,140,76,38,4,157.0,1.0,105,26,7,4,7,5,-5,-3,-1,-7
53,143,69,34,9,160.0,1.0,95,26,0,0,0,1,0,0,-1,-8
54,146,71,35,11,163.0,1.0,105,27,2,1,2,2,2,1,1,-7
55,149,64,31,4,166.0,2.0,95,27,-5,-3,7,5,0,0,-1,-8
56,151,76,38,4,169.0,1.0,105,28,7,4,7,5,3,2,1,-7
57,154,69,34,9,172.0,1.0,95,28,0,0,0,1,-2,-1,-1,-8
58,157,81,41,9,175.0,1.0,105,29,12,7,0,1,5,3,1,-7
59,160,76,38,4,178.0,3.0,95,29,7,4,7,5,-2,-1,-1,-8
60,161,69,34,9,181.0,1.0,105,30,0,0,0,1,-7,-4,-1,-9
61,164,69,34,9,184.0,2.0,95,30,0,0,0,1,-2,-1,0,-9
62,166,71,35,11,187.0,1.0,105,31,2,1,2,2,-2,-1,1,-8
63,169,69,34,9,190.0,2.0,95,31,0,0,0,1,-2,-1,-1,-9
