,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,2.0,105,0,0,0,0,1,0,0,0,0
1,5,74,37,2,6.0,1.0,95,0,3,2,3,3,1,1,1,1
2,8,67,33,7,10.0,1.0,105,1,-4,-2,8,6,-4,-2,-1,0
3,12,74,37,2,14.0,1.0,95,1,3,2,3,3,3,2,1,1
4,16,71,35,11,18.0,2.0,105,2,0,0,0,1,2,1,-1,0
5,19,74,37,2,22.0,1.0,95,2,3,2,3,3,1,1,1,1
6,22,73,36,1,26.0,1.0,105,3,2,1,2,2,2,1,-1,0
7,26,78,39,6,30.0,1.0,95,3,7,4,7,5,2,1,1,1
8,30,71,35,11,34.0,2.0,105,4,0,0,0,1,-2,-1,-1,0
9,33,74,37,2,38.0,1.0,95,4,3,2,3,3,1,1,1,1
10,36,67,33,7,42.0,1.0,105,5,-4,-2,8,6,-4,-2,-1,0
11,40,74,37,2,46.0,1.0,95,5,3,2,3,3,3,2,1,1
12,44,71,35,11,50.0,1.0,105,6,0,0,0,1,2,1,-1,0
13,48,74,37,2,54.0,1.0,95,6,3,2,3,3,-2,-1,1,1
14,52,74,37,2,58.0,1.0,105,7,3,2,3,3,1,1,0,1
15,56,71,35,11,62.0,4.0,95,7,0,0,0,1,2,1,-1,0
16,57,71,35,11,66.0,1.0,105,8,0,0,0,1,0,0,0,0
17,59,71,35,11,68.0,2.0,105,9,0,0,0,1,-2,-1,0,0
18,62,74,37,2,72.0,1.0,95,9,3,2,3,3,1,1,1,1
19,65,67,33,7,76.0,1.0,105,10,-4,-2,8,6,-4,-2,-1,0
20,69,74,37,2,80.0,1.0,95,10,3,2,3,3,3,2,1,1
21,73,71,35,11,84.0,2.0,105,11,0,0,0,1,2,1,-1,0
22,76,74,37,2,88.0,1.0,95,11,3,2,3,3,1,1,1,1
23,79,73,36,1,92.0,1.0,105,12,2,1,2,2,2,1,-1,0
24,83,78,39,6,96.0,1.0,95,12,7,4,7,5,2,1,1,1
25,87,71,35,11,100.0,2.0,105,13,0,0,0,1,-2,-1,-1,0
26,90,74,37,2,104.0,1.0,95,13,3,2,3,3,1,1,1,1
27,93,67,33,7,108.0,1.0,105,14,-4,-2,8,6,-4,-2,-1,0
28,97,74,37,2,112.0,1.0,95,14,3,2,3,3,3,2,1,1
29,101,71,35,11,116.0,1.0,105,15,0,0,0,1,2,1,-1,0
30,105,74,37,2,120.0,1.0,95,15,3,2,3,3,-2,-1,1,1
31,109,74,37,2,124.0,1.0,105,16,3,2,3,3,1,1,0,1
32,113,71,35,11,128.0,4.0,95,16,0,0,0,1,2,1,-1,0
33,114,71,35,11,132.0,1.0,105,17,0,0,0,1,0,0,0,0
34,116,74,37,2,134.0,2.0,105,18,3,2,3,3,1,1,1,1
35,119,78,39,6,138.0,1.0,95,18,7,4,7,5,2,1,1,2
36,122,73,36,1,142.0,1.0,105,19,2,1,2,2,-1,-1,-1,1
37,126,78,39,6,146.0,1.0,95,19,7,4,7,5,2,1,1,2
38,130,74,37,2,150.0,2.0,105,20,3,2,3,3,-2,-1,-1,1
39,133,78,39,6,154.0,1.0,95,20,7,4,7,5,2,1,1,2
40,136,73,36,1,158.0,1.0,105,21,2,1,2,2,-1,-1,-1,1
41,140,71,35,11,162.0,2.0,95,21,0,0,0,1,-2,-1,-1,0
42,142,74,37,2,166.0,2.0,105,22,3,2,3,3,1,1,1,1
43,145,78,39,6,170.0,1.0,95,22,7,4,7,5,2,1,1,2
44,148,73,36,1,174.0,1.0,105,23,2,1,2,2,-1,-1,-1,1
45,152,78,39,6,178.0,1.0,95,23,7,4,7,5,2,1,1,2
46,156,74,37,2,182.0,1.0,105,24,3,2,3,3,-2,-1,-1,1
47,160,73,36,1,186.0,1.0,95,24,2,1,2,2,-1,-1,-1,0
48,164,71,35,11,190.0,1.0,105,25,0,0,0,1,-2,-1,-1,-1
49,168,71,35,11,194.0,2.0,95,25,0,0,0,1,2,1,0,-1
50,171,74,37,2,198.0,2.0,105,26,3,2,3,3,1,1,1,0
51,174,78,39,6,202.0,1.0,95,26,7,4,7,5,2,1,1,1
52,177,73,36,1,206.0,1.0,105,27,2,1,2,2,-1,-1,-1,0
53,181,78,39,6,210.0,1.0,95,27,7,4,7,5,2,1,1,1
54,185,74,37,2,214.0,2.0,105,28,3,2,3,3,-2,-1,-1,0
55,188,78,39,6,218.0,1.0,95,28,7,4,7,5,2,1,1,1
56,191,73,36,1,222.0,1.0,105,29,2,1,2,2,-1,-1,-1,0
57,195,71,35,11,226.0,2.0,95,29,0,0,0,1,-2,-1,-1,-1
58,197,74,37,2,230.0,2.0,105,30,3,2,3,3,1,1,1,0
59,200,78,39,6,234.0,1.0,95,30,7,4,7,5,2,1,1,1
60,203,73,36,1,238.0,1.0,105,31,2,1,2,2,-1,-1,-1,0
61,207,78,39,6,242.0,1.0,95,31,7,4,7,5,2,1,1,1
62,211,74,37,2,246.0,1.0,105,32,3,2,3,3,-2,-1,-1,0
63,215,73,36,1,250.0,1.0,95,32,2,1,2,2,-1,-1,-1,-1
64,219,71,35,11,254.0,1.0,105,33,0,0,0,1,-2,-1,-1,-2
65,223,71,35,11,258.0,2.0,95,33,0,0,0,1,2,1,0,-2
