,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,-5,-3,7,5,0,0,0,0
1,2,67,33,7,3.0,1.0,95,0,0,0,0,1,0,0,1,1
2,5,66,32,6,6.0,1.0,95,0,-1,-1,11,7,-1,-1,-1,0
3,8,71,35,11,9.0,1.0,105,1,4,2,4,3,2,1,1,1
4,11,67,33,7,12.0,1.0,95,1,0,0,0,1,-4,-2,-1,0
5,14,72,36,0,15.0,2.0,95,1,5,3,5,4,1,1,1,1
6,16,62,30,2,18.0,1.0,105,2,-5,-3,7,5,-12,-7,-1,0
7,19,67,33,7,21.0,1.0,95,2,0,0,0,1,0,0,1,1
8,22,66,32,6,24.0,1.0,95,2,-1,-1,11,7,-1,-1,-1,0
9,25,71,35,11,27.0,1.0,105,3,4,2,4,3,2,1,1,1
10,28,72,36,0,30.0,1.0,95,3,5,3,5,4,1,1,1,2
11,31,67,33,7,33.0,2.0,95,3,0,0,0,1,1,1,-1,1
12,33,62,30,2,36.0,2.0,105,4,-5,-3,7,5,-12,-7,-1,0
13,35,67,33,7,39.0,1.0,95,4,0,0,0,1,0,0,1,1
14,38,66,32,6,42.0,1.0,95,4,-1,-1,11,7,-1,-1,-1,0
15,41,71,35,11,45.0,1.0,105,5,4,2,4,3,2,1,1,1
16,44,67,33,7,48.0,1.0,95,5,0,0,0,1,-4,-2,-1,0
17,47,72,36,0,51.0,2.0,95,5,5,3,5,4,1,1,1,1
18,49,62,30,2,54.0,1.0,105,6,-5,-3,7,5,-12,-7,-1,0
19,52,67,33,7,57.0,1.0,95,6,0,0,0,1,0,0,1,1
20,55,66,32,6,60.0,1.0,95,6,-1,-1,11,7,-1,-1,-1,0
21,58,71,35,11,63.0,1.0,105,7,4,2,4,3,2,1,1,1
22,61,72,36,0,66.0,1.0,95,7,5,3,5,4,1,1,1,2
23,64,67,33,7,69.0,2.0,95,7,0,0,0,1,1,1,-1,1
24,66,74,37,2,72.0,1.0,105,8,7,4,7,5,0,0,1,2
25,70,72,36,0,75.0,1.0,95,8,5,3,5,4,-2,-1,-1,1
26,73,66,32,6,78.0,1.0,95,8,-1,-1,11,7,-1,-1,-1,0
27,76,74,37,2,81.0,1.0,105,9,7,4,7,5,12,7,1,1
28,80,72,36,0,84.0,1.0,95,9,5,3,5,4,-2,-1,-1,0
29,83,72,36,0,87.0,2.0,95,9,5,3,5,4,1,1,0,0
30,85,74,37,2,90.0,1.0,105,10,7,4,7,5,2,1,1,1
31,89,72,36,0,93.0,1.0,95,10,5,3,5,4,-2,-1,-1,0
32,92,66,32,6,96.0,1.0,95,10,-1,-1,11,7,-1,-1,-1,-1
33,95,71,35,11,99.0,1.0,105,11,4,2,4,3,2,1,1,0
34,98,72,36,0,102.0,1.0,95,11,5,3,5,4,1,1,1,1
35,101,67,33,7,105.0,3.0,95,11,0,0,0,1,1,1,-1,0
36,102,74,37,2,108.0,1.0,105,12,7,4,7,5,7,4,1,1
37,106,72,36,0,111.0,1.0,95,12,5,3,5,4,-2,-1,-1,0
38,109,66,32,6,114.0,1.0,95,12,-1,-1,11,7,-1,-1,-1,-1
39,112,74,37,2,117.0,1.0,105,13,7,4,7,5,12,7,1,0
40,116,72,36,0,120.0,1.0,95,13,5,3,5,4,-2,-1,-1,-1
41,119,72,36,0,123.0,2.0,95,13,5,3,5,4,1,1,0,-1
42,121,74,37,2,126.0,1.0,105,14,7,4,7,5,2,1,1,0
43,125,72,36,0,129.0,1.0,95,14,5,3,5,4,-2,-1,-1,-1
44,128,66,32,6,132.0,1.0,95,14,-1,-1,11,7,-1,-1,-1,-2
45,131,71,35,11,135.0,1.0,105,15,4,2,4,3,2,1,1,-1
46,134,72,36,0,138.0,1.0,95,15,5,3,5,4,1,1,1,0
47,137,67,33,7,141.0,3.0,95,15,0,0,0,1,1,1,-1,-1
