,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,48,22,0,0.0,2.0,105,0,-12,-7,0,1,0,0,0,0
1,3,60,29,0,4.0,2.0,95,0,0,0,0,1,5,3,1,1
2,6,60,29,0,8.0,1.0,105,1,0,0,0,1,5,3,0,1
3,10,72,36,0,12.0,3.0,95,1,12,7,0,1,9,5,1,2
4,12,70,35,10,16.0,2.0,105,2,10,6,10,7,-2,-1,-1,1
5,15,70,35,10,20.0,1.0,95,2,10,6,10,7,0,0,0,1
6,20,72,36,0,24.0,2.0,105,3,12,7,0,1,2,1,1,2
7,23,67,33,7,28.0,1.0,95,3,7,4,7,5,-3,-2,-1,1
8,27,48,22,0,32.0,2.0,105,4,-12,-7,0,1,-12,-7,-1,0
9,30,60,29,0,36.0,2.0,95,4,0,0,0,1,5,3,1,1
10,33,60,29,0,40.0,1.0,105,5,0,0,0,1,5,3,0,1
11,37,72,36,0,44.0,3.0,95,5,12,7,0,1,9,5,1,2
12,39,70,35,10,48.0,2.0,105,6,10,6,10,7,-2,-1,-1,1
13,42,70,35,10,52.0,1.0,95,6,10,6,10,7,0,0,0,1
14,47,72,36,0,56.0,2.0,105,7,12,7,0,1,2,1,1,2
15,49,72,36,0,60.0,4.0,95,7,12,7,0,1,0,0,0,2
16,50,48,22,0,64.0,2.0,105,8,-12,-7,0,1,-24,-14,-1,1
17,53,60,29,0,68.0,2.0,95,8,0,0,0,1,5,3,1,2
18,56,60,29,0,72.0,1.0,105,9,0,0,0,1,5,3,0,2
19,60,72,36,0,76.0,3.0,95,9,12,7,0,1,9,5,1,3
20,62,70,35,10,80.0,2.0,105,10,10,6,10,7,-2,-1,-1,2
21,65,70,35,10,84.0,1.0,95,10,10,6,10,7,0,0,0,2
22,70,72,36,0,88.0,2.0,105,11,12,7,0,1,2,1,1,3
23,73,67,33,7,92.0,1.0,95,11,7,4,7,5,-3,-2,-1,2
24,77,48,22,0,96.0,2.0,105,12,-12,-7,0,1,-12,-7,-1,1
25,80,60,29,0,100.0,2.0,95,12,0,0,0,1,5,3,1,2
26,83,60,29,0,104.0,1.0,105,13,0,0,0,1,5,3,0,2
27,87,72,36,0,108.0,3.0,95,13,12,7,0,1,9,5,1,3
28,89,70,35,10,112.0,2.0,105,14,10,6,10,7,-2,-1,-1,2
29,92,70,35,10,116.0,1.0,95,14,10,6,10,7,0,0,0,2
30,97,72,36,0,120.0,2.0,105,15,12,7,0,1,2,1,1,3
31,99,72,36,0,124.0,2.0,95,15,12,7,0,1,0,0,0,3
32,101,79,40,7,128.0,1.0,105,16,19,11,7,5,0,0,1,4
33,105,77,39,5,132.0,2.0,95,16,17,10,5,4,2,1,-1,3
34,108,77,39,5,136.0,1.0,105,17,17,10,5,4,-2,-1,0,3
35,112,75,38,3,140.0,2.0,95,17,15,9,3,3,1,1,-1,2
36,115,75,38,3,144.0,1.0,105,18,15,9,3,3,-2,-1,0,2
37,119,70,35,10,148.0,1.0,95,18,10,6,10,7,-2,-1,-1,1
38,124,72,36,0,152.0,1.0,105,19,12,7,0,1,2,1,1,2
39,128,67,33,7,156.0,1.0,95,19,7,4,7,5,2,1,-1,1
40,132,79,40,7,160.0,1.0,105,20,19,11,7,5,4,2,1,2
41,136,77,39,5,164.0,2.0,95,20,17,10,5,4,2,1,-1,1
42,139,77,39,5,168.0,1.0,105,21,17,10,5,4,-2,-1,0,1
43,143,75,38,3,172.0,2.0,95,21,15,9,3,3,1,1,-1,0
44,146,75,38,3,176.0,1.0,105,22,15,9,3,3,-2,-1,0,0
45,150,70,35,10,180.0,1.0,95,22,10,6,10,7,-2,-1,-1,-1
46,155,72,36,0,184.0,2.0,105,23,12,7,0,1,2,1,1,0
47,157,72,36,0,188.0,2.0,95,23,12,7,0,1,0,0,0,0
48,159,79,40,7,192.0,1.0,105,24,19,11,7,5,0,0,1,1
49,163,77,39,5,196.0,2.0,95,24,17,10,5,4,2,1,-1,0
50,166,77,39,5,200.0,1.0,105,25,17,10,5,4,-2,-1,0,0
51,170,75,38,3,204.0,2.0,95,25,15,9,3,3,1,1,-1,-1
52,173,75,38,3,208.0,1.0,105,26,15,9,3,3,-2,-1,0,-1
53,177,70,35,10,212.0,1.0,95,26,10,6,10,7,-2,-1,-1,-2
54,182,72,36,0,216.0,1.0,105,27,12,7,0,1,2,1,1,-1
55,186,67,33,7,220.0,1.0,95,27,7,4,7,5,2,1,-1,-2
56,190,67,33,7,224.0,1.0,105,28,7,4,7,5,2,1,0,-2
57,194,67,33,7,228.0,1.0,95,28,7,4,7,5,0,0,0,-2
58,198,65,32,5,232.0,1.0,105,29,5,3,5,4,-2,-1,-1,-3
59,202,65,32,5,236.0,1.0,95,29,5,3,5,4,0,0,0,-3
60,206,60,29,0,240.0,2.0,105,30,0,0,0,1,-3,-2,-1,-4
61,210,55,26,7,244.0,2.0,95,30,-5,-3,7,5,-1,0,-1,-5
62,214,48,22,0,248.0,2.0,105,31,-12,-7,0,1,-2,-1,-1,-6
63,216,48,22,0,252.0,4.0,95,31,-12,-7,0,1,0,0,0,-6
