,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.0,105,0,14,8,2,2,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,7,4,7,5,0,0,-1,-1
2,8,76,38,4,8.0,1.0,105,1,14,8,2,2,2,1,1,0
3,12,69,34,9,12.0,1.0,95,1,7,4,7,5,0,0,-1,-1
4,15,76,38,4,16.0,1.0,105,2,14,8,2,2,9,5,1,0
5,19,69,34,9,20.0,1.0,95,2,7,4,7,5,0,0,-1,-1
6,23,76,38,4,24.0,1.0,105,3,14,8,2,2,2,1,1,0
7,27,71,35,11,28.0,1.0,95,3,9,5,9,6,2,1,-1,-1
8,30,76,38,4,32.0,1.0,105,4,14,8,2,2,7,4,1,0
9,34,69,34,9,36.0,1.0,95,4,7,4,7,5,0,0,-1,-1
10,38,76,38,4,40.0,1.0,105,5,14,8,2,2,2,1,1,0
11,42,69,34,9,44.0,1.0,95,5,7,4,7,5,0,0,-1,-1
12,45,76,38,4,48.0,1.0,105,6,14,8,2,2,9,5,1,0
13,49,69,34,9,52.0,1.0,95,6,7,4,7,5,0,0,-1,-1
14,53,76,38,4,56.0,1.0,105,7,14,8,2,2,2,1,1,0
15,57,71,35,11,60.0,1.0,95,7,9,5,9,6,2,1,-1,-1
16,60,81,41,9,64.0,1.0,105,8,19,11,7,5,12,7,1,0
17,64,81,41,9,68.0,1.0,95,8,19,11,7,5,0,0,0,0
18,67,76,38,4,72.0,1.0,105,9,14,8,2,2,0,0,-1,-1
19,71,76,38,4,76.0,1.0,95,9,14,8,2,2,2,1,0,-1
20,74,78,39,6,80.0,1.0,105,10,16,9,4,3,-1,-1,1,0
21,78,81,41,9,84.0,1.0,95,10,19,11,7,5,0,0,1,1
22,81,76,38,4,88.0,1.0,105,11,14,8,2,2,0,0,-1,0
23,85,71,35,11,92.0,1.0,95,11,9,5,9,6,2,1,-1,-1
24,88,81,41,9,96.0,1.0,105,12,19,11,7,5,12,7,1,0
25,92,81,41,9,100.0,1.0,95,12,19,11,7,5,0,0,0,0
26,95,76,38,4,104.0,1.0,105,13,14,8,2,2,0,0,-1,-1
27,99,76,38,4,108.0,1.0,95,13,14,8,2,2,2,1,0,-1
28,102,78,39,6,112.0,1.0,105,14,16,9,4,3,-1,-1,1,0
29,106,81,41,9,116.0,1.0,95,14,19,11,7,5,0,0,1,1
30,109,76,38,4,120.0,1.0,105,15,14,8,2,2,0,0,-1,0
31,113,71,35,11,124.0,1.0,95,15,9,5,9,6,2,1,-1,-1
