,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,64,31,4,1.0,2.0,105,0,-3,-2,9,6,0,0,0,0
1,3,69,34,9,4.0,1.0,95,0,2,1,2,2,0,0,1,1
2,6,72,36,0,7.0,2.0,95,0,5,3,5,4,3,2,1,2
3,8,76,38,4,10.0,3.0,95,0,9,5,9,6,2,1,1,3
4,9,74,37,2,13.0,1.0,105,1,7,4,7,5,-2,-1,-1,2
5,12,74,37,2,16.0,1.0,95,1,7,4,7,5,0,0,0,2
6,15,71,35,11,19.0,2.0,95,1,4,2,4,3,-3,-2,-1,1
7,17,79,40,7,22.0,2.0,95,1,12,7,0,1,5,3,1,2
8,19,64,31,4,25.0,2.0,105,2,-3,-2,9,6,-3,-2,-1,1
9,21,69,34,9,28.0,2.0,95,2,2,1,2,2,0,0,1,2
10,23,72,36,0,31.0,2.0,95,2,5,3,5,4,1,1,1,3
11,25,76,38,4,34.0,2.0,95,2,9,5,9,6,2,1,1,4
12,27,74,37,2,37.0,2.0,105,3,7,4,7,5,1,1,-1,3
13,29,69,34,9,40.0,2.0,95,3,2,1,2,2,-3,-2,-1,2
14,31,69,34,9,43.0,3.0,95,3,2,1,2,2,1,1,0,2
15,32,69,34,9,46.0,2.0,95,3,2,1,2,2,0,0,0,2
16,34,64,31,4,49.0,2.0,105,4,-3,-2,9,6,-3,-2,-1,1
17,36,69,34,9,52.0,1.0,95,4,2,1,2,2,0,0,1,2
18,39,72,36,0,55.0,2.0,95,4,5,3,5,4,3,2,1,3
19,41,76,38,4,58.0,3.0,95,4,9,5,9,6,2,1,1,4
20,42,74,37,2,61.0,1.0,105,5,7,4,7,5,-2,-1,-1,3
21,45,74,37,2,64.0,1.0,95,5,7,4,7,5,0,0,0,3
22,48,71,35,11,67.0,2.0,95,5,4,2,4,3,-3,-2,-1,2
23,50,79,40,7,70.0,2.0,95,5,12,7,0,1,5,3,1,3
24,52,64,31,4,73.0,2.0,105,6,-3,-2,9,6,-3,-2,-1,2
25,54,69,34,9,76.0,2.0,95,6,2,1,2,2,0,0,1,3
26,56,72,36,0,79.0,2.0,95,6,5,3,5,4,1,1,1,4
27,58,76,38,4,82.0,2.0,95,6,9,5,9,6,2,1,1,5
28,60,74,37,2,85.0,2.0,105,7,7,4,7,5,1,1,-1,4
29,62,69,34,9,88.0,2.0,95,7,2,1,2,2,-3,-2,-1,3
30,64,69,34,9,91.0,3.0,95,7,2,1,2,2,1,1,0,3
31,65,69,34,9,94.0,2.0,95,7,2,1,2,2,0,0,0,3
32,67,76,38,4,97.0,1.0,105,8,9,5,9,6,2,1,1,4
33,70,74,37,2,100.0,1.0,95,8,7,4,7,5,-2,-1,-1,3
34,73,72,36,0,103.0,1.0,95,8,5,3,5,4,-2,-1,-1,2
35,76,71,35,11,106.0,3.0,95,8,4,2,4,3,-1,-1,-1,1
36,77,69,34,9,109.0,1.0,105,9,2,1,2,2,-2,-1,-1,0
37,80,72,36,0,112.0,1.0,95,9,5,3,5,4,3,2,1,1
38,83,67,33,7,115.0,2.0,95,9,0,0,0,1,-2,-1,-1,0
39,85,64,31,4,118.0,2.0,95,9,-3,-2,9,6,0,0,-1,-1
40,87,64,31,4,121.0,2.0,105,10,-3,-2,9,6,2,1,0,-1
41,90,72,36,0,127.0,2.0,95,10,5,3,5,4,1,1,1,0
42,92,76,38,4,130.0,3.0,95,10,9,5,9,6,2,1,1,1
43,93,72,36,0,133.0,1.0,105,11,5,3,5,4,-4,-2,-1,0
44,96,71,35,11,136.0,2.0,95,11,4,2,4,3,2,1,-1,-1
45,98,69,34,9,139.0,2.0,95,11,2,1,2,2,2,1,-1,-2
46,100,72,36,0,142.0,2.0,95,11,5,3,5,4,1,1,1,-1
47,102,76,38,4,145.0,2.0,105,12,9,5,9,6,2,1,1,0
48,104,74,37,2,148.0,1.0,95,12,7,4,7,5,-2,-1,-1,-1
49,107,72,36,0,151.0,2.0,95,12,5,3,5,4,-2,-1,-1,-2
50,109,71,35,11,154.0,1.0,95,12,4,2,4,3,-1,-1,-1,-3
51,112,69,34,9,157.0,2.0,105,13,2,1,2,2,-2,-1,-1,-4
52,114,72,36,0,160.0,1.0,95,13,5,3,5,4,3,2,1,-3
53,117,67,33,7,163.0,2.0,95,13,0,0,0,1,-2,-1,-1,-4
54,119,64,31,4,166.0,2.0,95,13,-3,-2,9,6,0,0,-1,-5
55,121,64,31,4,169.0,2.0,105,14,-3,-2,9,6,1,0,0,-5
56,123,69,34,9,172.0,1.0,95,14,2,1,2,2,0,0,1,-4
57,126,72,36,0,175.0,2.0,95,14,5,3,5,4,3,2,1,-3
58,128,76,38,4,178.0,2.0,95,14,9,5,9,6,2,1,1,-2
59,130,74,37,2,181.0,2.0,105,15,7,4,7,5,1,1,-1,-3
60,132,69,34,9,184.0,2.0,95,15,2,1,2,2,-3,-2,-1,-4
61,134,69,34,9,187.0,3.0,95,15,2,1,2,2,1,1,0,-4
62,135,69,34,9,190.0,2.0,95,15,2,1,2,2,0,0,0,-4
