,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,3.0,105,0,2,1,2,2,0,0,0,0
1,1,74,37,2,3.0,1.0,95,0,9,5,9,6,7,4,1,1
2,6,74,37,2,6.0,1.0,105,1,9,5,9,6,0,0,0,1
3,9,74,37,2,9.0,3.0,95,1,9,5,9,6,2,1,0,1
4,10,74,37,2,12.0,1.0,105,2,9,5,9,6,0,0,0,1
5,13,74,37,2,15.0,1.0,95,2,9,5,9,6,-3,-2,0,1
6,16,69,34,9,18.0,3.0,105,3,4,2,4,3,2,1,-1,0
7,17,69,34,9,21.0,3.0,95,3,4,2,4,3,0,0,0,0
8,18,67,33,7,24.0,3.0,105,4,2,1,2,2,-2,-1,-1,-1
9,19,74,37,2,27.0,1.0,95,4,9,5,9,6,7,4,1,0
10,24,74,37,2,30.0,1.0,105,5,9,5,9,6,0,0,0,0
11,27,74,37,2,33.0,3.0,95,5,9,5,9,6,2,1,0,0
12,28,79,40,7,36.0,1.0,105,6,14,8,2,2,5,3,1,1
13,31,72,36,0,39.0,1.0,95,6,7,4,7,5,-2,-1,-1,0
14,34,65,32,5,42.0,3.0,105,7,0,0,0,1,-2,-1,-1,-1
15,35,67,33,7,45.0,3.0,95,7,2,1,2,2,2,1,1,0
16,36,67,33,7,48.0,3.0,105,8,2,1,2,2,0,0,0,0
17,37,74,37,2,51.0,1.0,95,8,9,5,9,6,7,4,1,1
18,42,74,37,2,54.0,1.0,105,9,9,5,9,6,0,0,0,1
19,45,74,37,2,57.0,3.0,95,9,9,5,9,6,2,1,0,1
20,46,74,37,2,60.0,1.0,105,10,9,5,9,6,0,0,0,1
21,49,74,37,2,63.0,1.0,95,10,9,5,9,6,-3,-2,0,1
22,52,69,34,9,66.0,3.0,105,11,4,2,4,3,2,1,-1,0
23,53,69,34,9,69.0,3.0,95,11,4,2,4,3,0,0,0,0
24,54,67,33,7,72.0,3.0,105,12,2,1,2,2,-2,-1,-1,-1
25,55,74,37,2,75.0,1.0,95,12,9,5,9,6,7,4,1,0
26,60,74,37,2,78.0,1.0,105,13,9,5,9,6,0,0,0,0
27,63,74,37,2,81.0,3.0,95,13,9,5,9,6,2,1,0,0
28,64,79,40,7,84.0,1.0,105,14,14,8,2,2,5,3,1,1
29,67,72,36,0,87.0,1.0,95,14,7,4,7,5,-2,-1,-1,0
30,70,65,32,5,90.0,3.0,105,15,0,0,0,1,-2,-1,-1,-1
31,71,67,33,7,93.0,3.0,95,15,2,1,2,2,2,1,1,0
32,72,67,33,7,96.0,3.0,105,16,2,1,2,2,0,0,0,0
33,73,79,40,7,99.0,1.0,95,16,14,8,2,2,12,7,1,1
34,78,79,40,7,102.0,1.0,105,17,14,8,2,2,0,0,0,1
35,81,79,40,7,105.0,3.0,95,17,14,8,2,2,2,1,0,1
36,82,79,40,7,108.0,1.0,105,18,14,8,2,2,0,0,0,1
37,85,79,40,7,111.0,1.0,95,18,14,8,2,2,-3,-2,0,1
38,88,72,36,0,114.0,3.0,105,19,7,4,7,5,-2,-1,-1,0
39,89,74,37,2,117.0,3.0,95,19,9,5,9,6,2,1,1,1
40,90,67,33,7,120.0,3.0,105,20,2,1,2,2,-7,-4,-1,0
41,91,79,40,7,123.0,1.0,95,20,14,8,2,2,12,7,1,1
42,96,79,40,7,126.0,1.0,105,21,14,8,2,2,0,0,0,1
43,99,79,40,7,129.0,3.0,95,21,14,8,2,2,2,1,0,1
44,100,79,40,7,132.0,1.0,105,22,14,8,2,2,0,0,0,1
45,103,72,36,0,135.0,1.0,95,22,7,4,7,5,-2,-1,-1,0
46,106,65,32,5,138.0,3.0,105,23,0,0,0,1,-2,-1,-1,-1
47,107,67,33,7,141.0,3.0,95,23,2,1,2,2,2,1,1,0
48,108,67,33,7,144.0,3.0,105,24,2,1,2,2,0,0,0,0
49,109,79,40,7,147.0,1.0,95,24,14,8,2,2,12,7,1,1
50,114,79,40,7,150.0,1.0,105,25,14,8,2,2,0,0,0,1
51,117,79,40,7,153.0,3.0,95,25,14,8,2,2,2,1,0,1
52,118,79,40,7,156.0,1.0,105,26,14,8,2,2,0,0,0,1
53,121,79,40,7,159.0,1.0,95,26,14,8,2,2,-3,-2,0,1
54,124,72,36,0,162.0,3.0,105,27,7,4,7,5,-2,-1,-1,0
55,125,74,37,2,165.0,3.0,95,27,9,5,9,6,2,1,1,1
56,126,67,33,7,168.0,3.0,105,28,2,1,2,2,-7,-4,-1,0
57,127,79,40,7,171.0,1.0,95,28,14,8,2,2,12,7,1,1
58,132,79,40,7,174.0,1.0,105,29,14,8,2,2,0,0,0,1
59,135,79,40,7,177.0,3.0,95,29,14,8,2,2,2,1,0,1
60,136,79,40,7,180.0,1.0,105,30,14,8,2,2,0,0,0,1
61,139,72,36,0,183.0,1.0,95,30,7,4,7,5,-2,-1,-1,0
62,142,65,32,5,186.0,3.0,105,31,0,0,0,1,-2,-1,-1,-1
63,143,67,33,7,189.0,3.0,95,31,2,1,2,2,2,1,1,0
