,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,0.5,0.5,105,0,12,7,0,1,0,0,0,0
1,6,74,37,2,2.5,0.5,105,1,12,7,0,1,5,3,0,0
2,11,74,37,2,4.5,0.5,105,2,12,7,0,1,1,1,0,0
3,15,76,38,4,6.5,0.5,105,3,14,8,2,2,7,4,1,1
4,20,74,37,2,8.5,0.5,105,4,12,7,0,1,1,1,-1,0
5,24,71,35,11,10.5,0.5,105,5,9,5,9,6,2,1,-1,-1
6,28,74,37,2,12.5,0.5,105,6,12,7,0,1,-2,-1,1,0
7,34,74,37,2,14.5,0.5,105,7,12,7,0,1,1,1,0,0
8,39,74,37,2,16.5,0.5,105,8,12,7,0,1,1,1,0,0
9,43,74,37,2,18.5,0.5,105,9,12,7,0,1,5,3,0,0
10,48,74,37,2,20.5,0.5,105,10,12,7,0,1,1,1,0,0
11,52,76,38,4,22.5,0.5,105,11,14,8,2,2,7,4,1,1
12,57,74,37,2,24.5,0.5,105,12,12,7,0,1,1,1,-1,0
13,61,71,35,11,26.5,0.5,105,13,9,5,9,6,2,1,-1,-1
14,65,74,37,2,28.5,0.5,105,14,12,7,0,1,-2,-1,1,0
15,71,74,37,2,30.5,0.5,105,15,12,7,0,1,1,1,0,0
16,76,81,41,9,32.5,0.67,105,16,19,11,7,5,2,1,1,1
17,80,78,39,6,34.5,0.5,105,17,16,9,4,3,2,1,-1,0
18,85,81,41,9,36.5,0.5,105,18,19,11,7,5,2,1,1,1
19,91,83,42,11,38.5,0.5,105,19,21,12,9,6,2,1,1,2
20,96,81,41,9,40.5,0.5,105,20,19,11,7,5,2,1,-1,1
21,100,78,39,6,42.5,0.5,105,21,16,9,4,3,2,1,-1,0
22,104,74,37,2,44.5,0.5,105,22,12,7,0,1,-2,-1,-1,-1
23,112,78,39,6,46.5,0.5,105,23,16,9,4,3,2,1,1,0
24,117,81,41,9,48.5,0.67,105,24,19,11,7,5,2,1,1,1
25,121,78,39,6,50.5,0.5,105,25,16,9,4,3,2,1,-1,0
26,126,81,41,9,52.5,0.5,105,26,19,11,7,5,2,1,1,1
27,132,83,42,11,54.5,0.5,105,27,21,12,9,6,2,1,1,2
28,137,81,41,9,56.5,0.5,105,28,19,11,7,5,2,1,-1,1
29,141,78,39,6,58.5,0.5,105,29,16,9,4,3,2,1,-1,0
30,145,74,37,2,60.5,0.5,105,30,12,7,0,1,-2,-1,-1,-1
31,153,78,39,6,62.5,0.5,105,31,16,9,4,3,2,1,1,0
