,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,74,37,2,0.0,1.0,105,0,5,3,5,4,0,0,0,0
1,4,76,38,4,4.0,1.0,95,0,7,4,7,5,2,1,1,1
2,8,78,39,6,8.0,1.0,105,1,9,5,9,6,2,1,1,2
3,12,78,39,6,12.0,1.0,95,1,9,5,9,6,7,4,0,2
4,16,74,37,2,16.0,1.0,105,2,5,3,5,4,-2,-1,-1,1
5,20,76,38,4,20.0,1.0,95,2,7,4,7,5,2,1,1,2
6,24,76,38,4,24.0,1.0,105,3,7,4,7,5,-2,-1,0,2
7,28,76,38,4,28.0,1.0,95,3,7,4,7,5,7,4,0,2
8,32,74,37,2,32.0,1.0,105,4,5,3,5,4,-2,-1,-1,1
9,36,76,38,4,36.0,1.0,95,4,7,4,7,5,2,1,1,2
10,40,78,39,6,40.0,1.0,105,5,9,5,9,6,2,1,1,3
11,44,78,39,6,44.0,1.0,95,5,9,5,9,6,7,4,0,3
12,48,74,37,2,48.0,1.0,105,6,5,3,5,4,-2,-1,-1,2
13,52,76,38,4,52.0,1.0,95,6,7,4,7,5,2,1,1,3
14,56,76,38,4,56.0,1.0,105,7,7,4,7,5,-5,-3,0,3
15,60,76,38,4,60.0,1.0,95,7,7,4,7,5,7,4,0,3
16,64,81,41,9,64.0,2.0,105,8,12,7,0,1,5,3,1,4
17,67,78,39,6,68.0,1.0,95,8,9,5,9,6,-3,-2,-1,3
18,71,78,39,6,72.0,1.0,105,9,9,5,9,6,-3,-2,0,3
19,75,78,39,6,76.0,1.0,95,9,9,5,9,6,7,4,0,3
20,79,81,41,9,80.0,2.0,105,10,12,7,0,1,5,3,1,4
21,82,78,39,6,84.0,1.0,95,10,9,5,9,6,-3,-2,-1,3
22,86,73,36,1,88.0,1.0,105,11,4,2,4,3,-1,-1,-1,2
23,90,76,38,4,92.0,1.0,95,11,7,4,7,5,7,4,1,3
24,94,81,41,9,96.0,2.0,105,12,12,7,0,1,5,3,1,4
25,97,78,39,6,100.0,1.0,95,12,9,5,9,6,-3,-2,-1,3
26,101,78,39,6,104.0,1.0,105,13,9,5,9,6,-3,-2,0,3
27,105,78,39,6,108.0,1.0,95,13,9,5,9,6,7,4,0,3
28,109,81,41,9,112.0,2.0,105,14,12,7,0,1,5,3,1,4
29,112,78,39,6,116.0,1.0,95,14,9,5,9,6,-3,-2,-1,3
30,116,71,35,11,120.0,0.67,105,15,2,1,2,2,-3,-2,-1,2
31,121,79,40,7,124.0,1.0,95,15,10,6,10,7,1,1,1,3
32,125,74,37,2,128.0,1.0,105,16,5,3,5,4,-2,-1,-1,2
33,129,76,38,4,132.0,1.0,95,16,7,4,7,5,2,1,1,3
34,133,78,39,6,136.0,1.0,105,17,9,5,9,6,2,1,1,4
35,137,78,39,6,140.0,1.0,95,17,9,5,9,6,7,4,0,4
36,141,74,37,2,144.0,1.0,105,18,5,3,5,4,-2,-1,-1,3
37,145,76,38,4,148.0,1.0,95,18,7,4,7,5,2,1,1,4
38,149,76,38,4,152.0,1.0,105,19,7,4,7,5,-2,-1,0,4
39,153,76,38,4,156.0,1.0,95,19,7,4,7,5,7,4,0,4
40,157,74,37,2,160.0,1.0,105,20,5,3,5,4,-2,-1,-1,3
41,161,76,38,4,164.0,1.0,95,20,7,4,7,5,2,1,1,4
42,165,78,39,6,168.0,1.0,105,21,9,5,9,6,2,1,1,5
43,169,78,39,6,172.0,1.0,95,21,9,5,9,6,7,4,0,5
44,173,74,37,2,176.0,1.0,105,22,5,3,5,4,-2,-1,-1,4
45,177,76,38,4,180.0,1.0,95,22,7,4,7,5,2,1,1,5
46,181,76,38,4,184.0,1.0,105,23,7,4,7,5,-5,-3,0,5
47,185,76,38,4,188.0,1.0,95,23,7,4,7,5,7,4,0,5
48,189,81,41,9,192.0,2.0,105,24,12,7,0,1,5,3,1,6
49,192,78,39,6,196.0,1.0,95,24,9,5,9,6,-3,-2,-1,5
50,196,78,39,6,200.0,1.0,105,25,9,5,9,6,-3,-2,0,5
51,200,78,39,6,204.0,1.0,95,25,9,5,9,6,7,4,0,5
52,204,81,41,9,208.0,2.0,105,26,12,7,0,1,5,3,1,6
53,207,78,39,6,212.0,1.0,95,26,9,5,9,6,-3,-2,-1,5
54,211,73,36,1,216.0,1.0,105,27,4,2,4,3,-1,-1,-1,4
55,215,76,38,4,220.0,1.0,95,27,7,4,7,5,7,4,1,5
56,219,81,41,9,224.0,2.0,105,28,12,7,0,1,5,3,1,6
57,222,78,39,6,228.0,1.0,95,28,9,5,9,6,-3,-2,-1,5
58,226,78,39,6,232.0,1.0,105,29,9,5,9,6,-3,-2,0,5
59,230,78,39,6,236.0,1.0,95,29,9,5,9,6,7,4,0,5
60,234,81,41,9,240.0,2.0,105,30,12,7,0,1,5,3,1,6
61,237,78,39,6,244.0,1.0,95,30,9,5,9,6,-3,-2,-1,5
62,241,71,35,11,248.0,0.67,105,31,2,1,2,2,-3,-2,-1,4
63,246,79,40,7,252.0,1.0,95,31,10,6,10,7,1,1,1,5
