,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,64,31,4,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,64,31,4,4.0,1.0,95,0,0,0,0,1,0,0,0,0
2,7,66,32,6,7.0,1.0,105,1,2,1,2,2,-1,-1,1,1
3,10,67,33,7,10.0,1.0,95,1,3,2,3,3,5,3,1,2
4,13,69,34,9,13.0,1.0,105,2,5,3,5,4,2,1,1,3
5,16,71,35,11,16.0,1.0,95,2,7,4,7,5,-1,-1,1,4
6,19,69,34,9,19.0,1.0,105,3,5,3,5,4,2,1,-1,3
7,22,67,33,7,22.0,1.0,95,3,3,2,3,3,1,1,-1,2
8,25,64,31,4,25.0,1.0,105,4,0,0,0,1,2,1,-1,1
9,28,64,31,4,28.0,1.0,95,4,0,0,0,1,0,0,0,1
10,31,66,32,6,31.0,1.0,105,5,2,1,2,2,-1,-1,1,2
11,34,74,37,2,34.0,1.0,95,5,10,6,10,7,12,7,1,3
12,37,66,32,6,37.0,1.0,105,6,2,1,2,2,-1,-1,-1,2
13,40,62,30,2,40.0,1.0,95,6,-2,-1,10,7,-2,-1,-1,1
14,43,64,31,4,43.0,1.0,105,7,0,0,0,1,-2,-1,1,2
15,46,64,31,4,46.0,2.0,95,7,0,0,0,1,0,0,0,2
16,48,64,31,4,49.0,1.0,105,8,0,0,0,1,2,1,0,2
17,51,64,31,4,52.0,1.0,95,8,0,0,0,1,0,0,0,2
18,54,66,32,6,55.0,1.0,105,9,2,1,2,2,-1,-1,1,3
19,57,67,33,7,58.0,1.0,95,9,3,2,3,3,5,3,1,4
20,60,69,34,9,61.0,1.0,105,10,5,3,5,4,2,1,1,5
21,63,71,35,11,64.0,1.0,95,10,7,4,7,5,-1,-1,1,6
22,66,69,34,9,67.0,1.0,105,11,5,3,5,4,2,1,-1,5
23,69,67,33,7,70.0,1.0,95,11,3,2,3,3,1,1,-1,4
24,72,64,31,4,73.0,1.0,105,12,0,0,0,1,2,1,-1,3
25,75,64,31,4,76.0,1.0,95,12,0,0,0,1,0,0,0,3
26,78,66,32,6,79.0,1.0,105,13,2,1,2,2,-1,-1,1,4
27,81,74,37,2,82.0,1.0,95,13,10,6,10,7,12,7,1,5
28,84,66,32,6,85.0,1.0,105,14,2,1,2,2,-1,-1,-1,4
29,87,62,30,2,88.0,1.0,95,14,-2,-1,10,7,-2,-1,-1,3
30,90,64,31,4,91.0,1.0,105,15,0,0,0,1,-2,-1,1,4
31,93,64,31,4,94.0,2.0,95,15,0,0,0,1,0,0,0,4
32,95,64,31,4,97.0,1.0,105,16,0,0,0,1,2,1,0,4
33,98,74,37,2,100.0,1.0,95,16,10,6,10,7,10,6,1,5
34,101,64,31,4,103.0,1.0,105,17,0,0,0,1,-8,-5,-1,4
35,104,71,35,11,106.0,0.5,95,17,7,4,7,5,7,4,1,5
36,107,67,33,7,109.0,1.0,105,18,3,2,3,3,1,1,-1,4
37,110,69,34,9,112.0,1.0,95,18,5,3,5,4,-2,-1,1,5
38,113,67,33,7,115.0,1.0,105,19,3,2,3,3,1,1,-1,4
39,116,66,32,6,118.0,1.0,95,19,2,1,2,2,2,1,-1,3
40,119,64,31,4,121.0,1.0,105,20,0,0,0,1,2,1,-1,2
41,122,74,37,2,124.0,1.0,95,20,10,6,10,7,10,6,1,3
42,125,64,31,4,127.0,1.0,105,21,0,0,0,1,-8,-5,-1,2
43,128,71,35,11,130.0,0.5,95,21,7,4,7,5,7,4,1,3
44,131,67,33,7,133.0,1.0,105,22,3,2,3,3,1,1,-1,2
45,134,62,30,2,136.0,1.0,95,22,-2,-1,10,7,-2,-1,-1,1
46,137,64,31,4,139.0,1.0,105,23,0,0,0,1,-2,-1,1,2
47,140,64,31,4,142.0,2.0,95,23,0,0,0,1,0,0,0,2
48,142,64,31,4,145.0,1.0,105,24,0,0,0,1,2,1,0,2
49,145,74,37,2,148.0,1.0,95,24,10,6,10,7,10,6,1,3
50,148,64,31,4,151.0,1.0,105,25,0,0,0,1,-8,-5,-1,2
51,151,71,35,11,154.0,0.5,95,25,7,4,7,5,7,4,1,3
52,154,67,33,7,157.0,1.0,105,26,3,2,3,3,1,1,-1,2
53,157,69,34,9,160.0,1.0,95,26,5,3,5,4,-2,-1,1,3
54,160,67,33,7,163.0,1.0,105,27,3,2,3,3,1,1,-1,2
55,163,66,32,6,166.0,1.0,95,27,2,1,2,2,2,1,-1,1
56,166,64,31,4,169.0,1.0,105,28,0,0,0,1,2,1,-1,0
57,169,74,37,2,172.0,1.0,95,28,10,6,10,7,10,6,1,1
58,172,64,31,4,175.0,1.0,105,29,0,0,0,1,-8,-5,-1,0
59,175,71,35,11,178.0,0.5,95,29,7,4,7,5,7,4,1,1
60,178,67,33,7,181.0,1.0,105,30,3,2,3,3,1,1,-1,0
61,181,62,30,2,184.0,1.0,95,30,-2,-1,10,7,-2,-1,-1,-1
62,184,64,31,4,187.0,1.0,105,31,0,0,0,1,-2,-1,1,0
63,187,64,31,4,190.0,2.0,95,31,0,0,0,1,0,0,0,0
