,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.0,105,0,12,7,0,1,0,0,0,0
1,3,71,35,11,2.0,0.5,105,1,7,4,7,5,-1,-1,-1,-1
2,10,67,33,7,4.0,0.5,105,2,3,2,3,3,1,1,-1,-2
3,14,72,36,0,6.0,0.5,105,3,8,5,8,6,1,1,1,-1
4,20,76,38,4,8.0,1.0,105,4,12,7,0,1,2,1,1,0
5,23,71,35,11,10.0,0.5,105,5,7,4,7,5,-1,-1,-1,-1
6,30,67,33,7,12.0,0.5,105,6,3,2,3,3,1,1,-1,-2
7,35,64,31,4,14.0,1.0,105,7,0,0,0,1,-2,-1,-1,-3
8,42,71,35,11,18.0,0.5,105,8,7,4,7,5,-1,-1,1,-2
9,49,67,33,7,20.0,0.5,105,9,3,2,3,3,1,1,-1,-3
10,53,72,36,0,22.0,0.5,105,10,8,5,8,6,1,1,1,-2
11,59,76,38,4,24.0,1.0,105,11,12,7,0,1,2,1,1,-1
12,62,71,35,11,26.0,0.5,105,12,7,4,7,5,-1,-1,-1,-2
13,69,67,33,7,28.0,0.5,105,13,3,2,3,3,1,1,-1,-3
14,74,64,31,4,30.0,0.67,105,14,0,0,0,1,-2,-1,-1,-4
15,81,74,37,2,34.0,0.5,105,15,10,6,10,7,-2,-1,1,-3
16,89,74,37,2,36.0,0.5,105,16,10,6,10,7,2,1,0,-3
17,93,69,34,9,38.0,0.5,105,17,5,3,5,4,-2,-1,-1,-4
18,100,67,33,7,40.0,0.5,105,18,3,2,3,3,1,1,-1,-5
19,104,72,36,0,42.0,0.5,105,19,8,5,8,6,1,1,1,-4
20,110,76,38,4,44.0,0.5,105,20,12,7,0,1,2,1,1,-3
21,115,76,38,4,46.0,1.0,105,21,12,7,0,1,2,1,0,-3
