,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,66,32,6,4.0,1.0,95,0,4,2,4,3,2,1,-1,-1
2,7,72,36,0,8.0,1.0,105,1,10,6,10,7,1,1,1,0
3,11,73,36,1,12.0,1.0,95,1,11,6,11,7,-1,-1,1,1
4,15,78,39,6,16.0,2.0,105,2,16,9,4,3,-1,-1,1,2
5,19,81,41,9,20.0,1.0,95,2,19,11,7,5,5,3,1,3
6,23,74,37,2,24.0,2.0,105,3,12,7,0,1,1,1,-1,2
7,26,67,33,7,28.0,1.0,95,3,5,3,5,4,1,1,-1,1
8,30,66,32,6,32.0,2.0,105,4,4,2,4,3,-1,-1,-1,0
9,33,66,32,6,36.0,1.0,95,4,4,2,4,3,2,1,0,0
10,37,72,36,0,40.0,1.0,105,5,10,6,10,7,1,1,1,1
11,41,73,36,1,44.0,1.0,95,5,11,6,11,7,-1,-1,1,2
12,45,81,41,9,48.0,1.0,105,6,19,11,7,5,2,1,1,3
13,49,74,37,2,52.0,2.0,95,6,12,7,0,1,1,1,-1,2
14,53,67,33,7,56.0,2.0,105,7,5,3,5,4,-2,-1,-1,1
15,56,73,36,1,60.0,0.67,95,7,11,6,11,7,-1,-1,1,2
16,61,69,34,9,64.0,2.0,105,8,7,4,7,5,5,3,-1,1
17,65,74,37,2,68.0,1.0,95,8,12,7,0,1,5,3,1,2
18,69,76,38,4,72.0,1.0,105,9,14,8,2,2,2,1,1,3
19,73,74,37,2,76.0,1.0,95,9,12,7,0,1,-2,-1,-1,2
20,77,73,36,1,80.0,1.0,105,10,11,6,11,7,2,1,-1,1
21,81,66,32,6,84.0,0.67,95,10,4,2,4,3,-1,-1,-1,0
22,86,76,38,4,88.0,1.0,105,11,14,8,2,2,-2,-1,1,1
23,90,74,37,2,92.0,1.0,95,11,12,7,0,1,-2,-1,-1,0
24,94,69,34,9,96.0,2.0,105,12,7,4,7,5,-2,-1,-1,-1
25,98,74,37,2,100.0,1.0,95,12,12,7,0,1,5,3,1,0
26,102,76,38,4,104.0,1.0,105,13,14,8,2,2,2,1,1,1
27,106,74,37,2,108.0,1.0,95,13,12,7,0,1,-2,-1,-1,0
28,110,73,36,1,112.0,2.0,105,14,11,6,11,7,2,1,-1,-1
29,114,69,34,9,116.0,1.0,95,14,7,4,7,5,2,1,-1,-2
30,118,76,38,4,120.0,2.0,105,15,14,8,2,2,2,1,1,-1
31,121,73,36,1,124.0,1.0,95,15,11,6,11,7,2,1,-1,-2
