,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,3.0,105,0,0,0,0,1,0,0,0,0
1,2,74,37,2,4.0,1.0,95,0,3,2,3,3,3,2,1,1
2,5,66,32,6,8.0,1.0,105,1,-5,-3,7,5,-5,-3,-1,0
3,9,74,37,2,12.0,1.0,95,1,3,2,3,3,1,1,1,1
4,13,69,34,9,16.0,1.0,105,2,-2,-1,10,7,3,2,-1,0
5,16,69,34,9,20.0,1.0,95,2,-2,-1,10,7,-2,-1,0,0
6,20,78,39,6,24.0,1.0,105,3,7,4,7,5,2,1,1,1
7,24,76,38,4,28.0,1.0,95,3,5,3,5,4,-2,-1,-1,0
8,28,69,34,9,32.0,1.0,105,4,-2,-1,10,7,0,0,-1,-1
9,31,74,37,2,36.0,1.0,95,4,3,2,3,3,3,2,1,0
10,34,66,32,6,40.0,1.0,105,5,-5,-3,7,5,-5,-3,-1,-1
11,38,74,37,2,44.0,1.0,95,5,3,2,3,3,1,1,1,0
12,42,69,34,9,48.0,1.0,105,6,-2,-1,10,7,3,2,-1,-1
13,45,69,34,9,52.0,1.0,95,6,-2,-1,10,7,-2,-1,0,-1
14,49,78,39,6,56.0,1.0,105,7,7,4,7,5,2,1,1,0
15,53,76,38,4,60.0,1.0,95,7,5,3,5,4,-2,-1,-1,-1
16,57,71,35,11,64.0,3.0,105,8,0,0,0,1,2,1,-1,-2
17,59,74,37,2,68.0,1.0,95,8,3,2,3,3,3,2,1,-1
18,62,66,32,6,72.0,1.0,105,9,-5,-3,7,5,-5,-3,-1,-2
19,66,74,37,2,76.0,1.0,95,9,3,2,3,3,1,1,1,-1
20,70,69,34,9,80.0,1.0,105,10,-2,-1,10,7,3,2,-1,-2
21,73,69,34,9,84.0,1.0,95,10,-2,-1,10,7,-2,-1,0,-2
22,77,78,39,6,88.0,1.0,105,11,7,4,7,5,2,1,1,-1
23,81,76,38,4,92.0,1.0,95,11,5,3,5,4,-2,-1,-1,-2
24,85,69,34,9,96.0,1.0,105,12,-2,-1,10,7,0,0,-1,-3
25,88,74,37,2,100.0,1.0,95,12,3,2,3,3,3,2,1,-2
26,91,66,32,6,104.0,1.0,105,13,-5,-3,7,5,-5,-3,-1,-3
27,95,74,37,2,108.0,1.0,95,13,3,2,3,3,1,1,1,-2
28,99,69,34,9,112.0,1.0,105,14,-2,-1,10,7,3,2,-1,-3
29,102,69,34,9,116.0,1.0,95,14,-2,-1,10,7,-2,-1,0,-3
30,106,78,39,6,120.0,1.0,105,15,7,4,7,5,2,1,1,-2
31,110,76,38,4,124.0,1.0,95,15,5,3,5,4,-2,-1,-1,-3
32,114,69,34,9,128.0,2.0,105,16,-2,-1,10,7,0,0,-1,-4
33,117,78,39,6,132.0,1.0,95,16,7,4,7,5,-1,-1,1,-3
34,121,78,39,6,136.0,2.0,105,17,7,4,7,5,2,1,0,-3
35,124,78,39,6,140.0,2.0,95,17,7,4,7,5,0,0,0,-3
36,127,78,39,6,144.0,1.0,105,18,7,4,7,5,0,0,0,-3
37,130,78,39,6,148.0,1.0,95,18,7,4,7,5,-1,-1,0,-3
38,134,78,39,6,152.0,1.0,105,19,7,4,7,5,2,1,0,-3
39,138,76,38,4,156.0,1.0,95,19,5,3,5,4,-2,-1,-1,-4
40,142,69,34,9,160.0,2.0,105,20,-2,-1,10,7,0,0,-1,-5
41,145,78,39,6,164.0,1.0,95,20,7,4,7,5,-1,-1,1,-4
42,149,78,39,6,168.0,2.0,105,21,7,4,7,5,2,1,0,-4
43,152,78,39,6,172.0,2.0,95,21,7,4,7,5,0,0,0,-4
44,155,78,39,6,176.0,1.0,105,22,7,4,7,5,0,0,0,-4
45,158,78,39,6,180.0,1.0,95,22,7,4,7,5,-1,-1,0,-4
46,162,78,39,6,184.0,1.0,105,23,7,4,7,5,2,1,0,-4
47,166,76,38,4,188.0,1.0,95,23,5,3,5,4,-2,-1,-1,-5
48,170,69,34,9,192.0,2.0,105,24,-2,-1,10,7,0,0,-1,-6
49,173,78,39,6,196.0,1.0,95,24,7,4,7,5,-1,-1,1,-5
50,177,78,39,6,200.0,2.0,105,25,7,4,7,5,2,1,0,-5
51,180,78,39,6,204.0,2.0,95,25,7,4,7,5,0,0,0,-5
52,183,78,39,6,208.0,1.0,105,26,7,4,7,5,0,0,0,-5
53,186,78,39,6,212.0,1.0,95,26,7,4,7,5,-1,-1,0,-5
54,190,78,39,6,216.0,1.0,105,27,7,4,7,5,2,1,0,-5
55,194,76,38,4,220.0,1.0,95,27,5,3,5,4,-2,-1,-1,-6
56,198,69,34,9,224.0,2.0,105,28,-2,-1,10,7,0,0,-1,-7
57,201,78,39,6,228.0,1.0,95,28,7,4,7,5,-1,-1,1,-6
58,205,78,39,6,232.0,2.0,105,29,7,4,7,5,2,1,0,-6
59,208,78,39,6,236.0,2.0,95,29,7,4,7,5,0,0,0,-6
60,211,78,39,6,240.0,1.0,105,30,7,4,7,5,0,0,0,-6
61,214,78,39,6,244.0,1.0,95,30,7,4,7,5,-1,-1,0,-6
62,218,78,39,6,248.0,1.0,105,31,7,4,7,5,2,1,0,-6
63,222,76,38,4,252.0,1.0,95,31,5,3,5,4,-2,-1,-1,-7
