,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,2,69,34,9,2.0,0.5,105,1,2,1,2,2,-2,-1,-1,-1
2,7,66,32,6,4.0,0.5,105,2,-1,-1,11,7,-1,-1,-1,-2
3,11,74,37,2,6.0,0.5,105,3,7,4,7,5,3,2,1,-1
4,14,72,36,0,8.0,1.0,105,4,5,3,5,4,0,0,-1,-2
5,16,71,35,11,10.0,0.5,105,5,4,2,4,3,-1,-1,-1,-3
6,19,67,33,7,12.0,0.5,105,6,0,0,0,1,-2,-1,-1,-4
7,23,64,31,4,14.0,0.5,105,7,-3,-2,9,6,-2,-1,-1,-5
8,29,69,34,9,18.0,0.5,105,8,2,1,2,2,-2,-1,1,-4
9,34,66,32,6,20.0,0.5,105,9,-1,-1,11,7,-1,-1,-1,-5
10,38,74,37,2,22.0,0.5,105,10,7,4,7,5,3,2,1,-4
11,41,72,36,0,24.0,1.0,105,11,5,3,5,4,0,0,-1,-5
12,43,71,35,11,26.0,0.5,105,12,4,2,4,3,-1,-1,-1,-6
13,46,67,33,7,28.0,0.5,105,13,0,0,0,1,-2,-1,-1,-7
14,50,69,34,9,30.0,0.5,105,14,2,1,2,2,3,2,1,-6
15,57,74,37,2,34.0,0.5,105,15,7,4,7,5,2,1,1,-5
16,61,74,37,2,36.0,0.5,105,16,7,4,7,5,2,1,0,-5
17,65,74,37,2,38.0,0.5,105,17,7,4,7,5,3,2,0,-5
18,68,72,36,0,40.0,0.5,105,18,5,3,5,4,0,0,-1,-6
19,72,72,36,0,42.0,0.5,105,19,5,3,5,4,1,1,0,-6
20,78,74,37,2,44.0,0.5,105,20,7,4,7,5,5,3,1,-5
21,82,67,33,7,46.0,1.0,105,21,0,0,0,1,-2,-1,-1,-6
