,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,2.0,4.0,105,0,12,7,0,1,0,0,0,0
1,4,73,36,1,8.0,4.0,105,1,11,6,11,7,-1,-1,-1,-1
2,6,67,33,7,14.0,4.0,105,2,5,3,5,4,-2,-1,-1,-2
3,9,62,30,2,20.0,4.0,105,3,0,0,0,1,-4,-2,-1,-3
4,12,66,32,6,26.0,3.0,105,4,4,2,4,3,2,1,1,-2
5,15,73,36,1,32.0,3.0,105,5,11,6,11,7,4,2,1,-1
6,18,74,37,2,38.0,4.0,105,6,12,7,0,1,-2,-1,1,0
7,20,69,34,9,44.0,4.0,105,7,7,4,7,5,-4,-2,-1,-1
8,24,74,37,2,50.0,3.0,105,8,12,7,0,1,1,1,1,0
9,27,73,36,1,56.0,4.0,105,9,11,6,11,7,-1,-1,-1,-1
10,29,67,33,7,62.0,2.0,105,10,5,3,5,4,-2,-1,-1,-2
11,32,62,30,2,68.0,4.0,105,11,0,0,0,1,-4,-2,-1,-3
12,35,66,32,6,74.0,3.0,105,12,4,2,4,3,2,1,1,-2
13,39,67,33,7,80.0,2.0,105,13,5,3,5,4,1,1,1,-1
14,42,62,30,2,86.0,4.0,105,14,0,0,0,1,-4,-2,-1,-2
15,44,62,30,2,92.0,4.0,105,15,0,0,0,1,0,0,0,-2
16,47,66,32,6,98.0,2.0,105,16,4,2,4,3,-1,-1,1,-1
17,50,74,37,2,104.0,4.0,105,17,12,7,0,1,0,0,1,0
18,53,78,39,6,110.0,4.0,105,18,16,9,4,3,2,1,1,1
19,56,74,37,2,116.0,1.0,105,19,12,7,0,1,0,0,-1,0
20,59,74,37,2,122.0,3.0,105,20,12,7,0,1,5,3,0,0
21,62,76,38,4,128.0,3.0,105,21,14,8,2,2,-2,-1,1,1
22,65,74,37,2,134.0,4.0,105,22,12,7,0,1,-2,-1,-1,0
23,67,74,37,2,140.0,4.0,105,23,12,7,0,1,1,1,0,0
24,71,74,37,2,146.0,3.0,105,24,12,7,0,1,1,1,0,0
25,75,67,33,7,152.0,3.0,105,25,5,3,5,4,1,1,-1,-1
26,78,71,35,11,158.0,4.0,105,26,9,5,9,6,0,0,1,0
27,81,66,32,6,164.0,4.0,105,27,4,2,4,3,-1,-1,-1,-1
28,83,66,32,6,170.0,3.0,105,28,4,2,4,3,4,2,0,-1
29,87,67,33,7,176.0,1.0,105,29,5,3,5,4,1,1,1,0
30,90,62,30,2,182.0,4.0,105,30,0,0,0,1,-4,-2,-1,-1
31,92,62,30,2,188.0,4.0,105,31,0,0,0,1,0,0,0,-1
