,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,4,71,35,11,6.0,2.0,105,1,2,1,2,2,-1,-1,-1,-1
2,7,60,29,0,12.0,2.0,105,2,-9,-5,3,3,-4,-2,-1,-2
3,10,72,36,0,18.0,1.0,105,3,3,2,3,3,5,3,1,-1
4,15,76,38,4,24.0,2.0,105,4,7,4,7,5,0,0,1,0
5,19,71,35,11,30.0,2.0,105,5,2,1,2,2,-1,-1,-1,-1
6,22,59,28,11,36.0,2.0,105,6,-10,-6,2,2,-5,-3,-1,-2
7,26,69,34,9,42.0,2.0,105,7,0,0,0,1,-2,-1,1,-1
8,27,76,38,4,48.0,2.0,105,8,7,4,7,5,7,4,1,0
9,31,71,35,11,54.0,2.0,105,9,2,1,2,2,-1,-1,-1,-1
10,34,60,29,0,60.0,2.0,105,10,-9,-5,3,3,-4,-2,-1,-2
11,37,72,36,0,66.0,1.0,105,11,3,2,3,3,5,3,1,-1
12,42,76,38,4,72.0,2.0,105,12,7,4,7,5,0,0,1,0
13,46,71,35,11,78.0,2.0,105,13,2,1,2,2,-1,-1,-1,-1
14,49,59,28,11,84.0,2.0,105,14,-10,-6,2,2,-5,-3,-1,-2
15,53,69,34,9,90.0,2.0,105,15,0,0,0,1,-2,-1,1,-1
16,54,72,36,0,96.0,1.0,105,16,3,2,3,3,3,2,1,0
17,60,76,38,4,102.0,2.0,105,17,7,4,7,5,2,1,1,1
18,64,79,40,7,108.0,2.0,105,18,10,6,10,7,3,2,1,2
19,67,76,38,4,114.0,2.0,105,19,7,4,7,5,-3,-2,-1,1
20,68,72,36,0,120.0,1.0,105,20,3,2,3,3,-4,-2,-1,0
21,74,76,38,4,126.0,2.0,105,21,7,4,7,5,2,1,1,1
22,78,79,40,7,132.0,2.0,105,22,10,6,10,7,3,2,1,2
23,81,81,41,9,138.0,2.0,105,23,12,7,0,1,2,1,1,3
24,82,76,38,4,144.0,2.0,105,24,7,4,7,5,-5,-3,-1,2
25,86,71,35,11,150.0,2.0,105,25,2,1,2,2,-1,-1,-1,1
26,89,59,28,11,156.0,2.0,105,26,-10,-6,2,2,-5,-3,-1,0
27,93,69,34,9,162.0,2.0,105,27,0,0,0,1,-2,-1,1,1
28,94,72,36,0,168.0,1.0,105,28,3,2,3,3,3,2,1,2
29,100,76,38,4,174.0,2.0,105,29,7,4,7,5,2,1,1,3
30,104,79,40,7,180.0,2.0,105,30,10,6,10,7,3,2,1,4
31,107,76,38,4,186.0,2.0,105,31,7,4,7,5,-3,-2,-1,3
32,108,72,36,0,192.0,1.0,105,32,3,2,3,3,-4,-2,-1,2
33,114,76,38,4,198.0,2.0,105,33,7,4,7,5,2,1,1,3
34,118,79,40,7,204.0,2.0,105,34,10,6,10,7,3,2,1,4
35,121,81,41,9,210.0,2.0,105,35,12,7,0,1,2,1,1,5
36,122,76,38,4,216.0,2.0,105,36,7,4,7,5,-5,-3,-1,4
37,126,71,35,11,222.0,2.0,105,37,2,1,2,2,-1,-1,-1,3
38,129,59,28,11,228.0,2.0,105,38,-10,-6,2,2,-5,-3,-1,2
39,133,69,34,9,234.0,2.0,105,39,0,0,0,1,-2,-1,1,3
