,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.5,105,0,7,4,7,5,0,0,0,0
1,4,76,38,4,4.0,2.0,95,0,14,8,2,2,7,4,1,1
2,6,76,38,4,7.0,1.5,105,1,14,8,2,2,7,4,0,1
3,9,76,38,4,10.0,1.5,95,1,14,8,2,2,-3,-2,0,1
4,12,67,33,7,13.0,1.5,105,2,5,3,5,4,-4,-2,-1,0
5,15,74,37,2,16.0,2.0,95,2,12,7,0,1,7,4,1,1
6,17,67,33,7,19.0,1.5,105,3,5,3,5,4,-4,-2,-1,0
7,20,74,37,2,22.0,1.5,95,3,12,7,0,1,-2,-1,1,1
8,23,69,34,9,25.0,1.5,105,4,7,4,7,5,2,1,-1,0
9,26,76,38,4,28.0,2.0,95,4,14,8,2,2,7,4,1,1
10,28,76,38,4,31.0,1.5,105,5,14,8,2,2,7,4,0,1
11,31,76,38,4,34.0,1.5,95,5,14,8,2,2,-3,-2,0,1
12,34,67,33,7,37.0,1.5,105,6,5,3,5,4,-4,-2,-1,0
13,37,76,38,4,40.0,1.5,95,6,14,8,2,2,9,5,1,1
14,40,71,35,11,43.0,1.5,105,7,9,5,9,6,0,0,-1,0
15,43,69,34,9,46.0,2.0,95,7,7,4,7,5,0,0,-1,-1
16,45,69,34,9,49.0,1.5,105,8,7,4,7,5,-7,-4,0,-1
17,48,76,38,4,52.0,2.0,95,8,14,8,2,2,7,4,1,0
18,50,76,38,4,55.0,1.5,105,9,14,8,2,2,7,4,0,0
19,53,76,38,4,58.0,1.5,95,9,14,8,2,2,-3,-2,0,0
20,56,67,33,7,61.0,1.5,105,10,5,3,5,4,-4,-2,-1,-1
21,59,74,37,2,64.0,2.0,95,10,12,7,0,1,7,4,1,0
22,61,67,33,7,67.0,1.5,105,11,5,3,5,4,-4,-2,-1,-1
23,64,74,37,2,70.0,1.5,95,11,12,7,0,1,-2,-1,1,0
24,67,69,34,9,73.0,1.5,105,12,7,4,7,5,2,1,-1,-1
25,70,76,38,4,76.0,2.0,95,12,14,8,2,2,7,4,1,0
26,72,76,38,4,79.0,1.5,105,13,14,8,2,2,7,4,0,0
27,75,76,38,4,82.0,1.5,95,13,14,8,2,2,-3,-2,0,0
28,78,67,33,7,85.0,1.5,105,14,5,3,5,4,-4,-2,-1,-1
29,81,76,38,4,88.0,1.5,95,14,14,8,2,2,9,5,1,0
30,84,71,35,11,91.0,1.5,105,15,9,5,9,6,0,0,-1,-1
31,87,69,34,9,94.0,2.0,95,15,7,4,7,5,0,0,-1,-2
32,89,81,41,9,97.0,3.0,105,16,19,11,7,5,10,6,1,-1
33,90,76,38,4,100.0,2.0,95,16,14,8,2,2,-5,-3,-1,-2
34,92,79,40,7,103.0,1.5,105,17,17,10,5,4,5,3,1,-1
35,95,76,38,4,106.0,1.5,95,17,14,8,2,2,0,0,-1,-2
36,98,79,40,7,109.0,3.0,105,18,17,10,5,4,8,5,1,-1
37,99,74,37,2,112.0,2.0,95,18,12,7,0,1,-5,-3,-1,-2
38,101,67,33,7,115.0,1.5,105,19,5,3,5,4,-4,-2,-1,-3
39,104,74,37,2,118.0,1.5,95,19,12,7,0,1,-2,-1,1,-2
40,107,81,41,9,121.0,3.0,105,20,19,11,7,5,14,8,1,-1
41,108,76,38,4,124.0,2.0,95,20,14,8,2,2,-5,-3,-1,-2
42,110,79,40,7,127.0,1.5,105,21,17,10,5,4,5,3,1,-1
43,113,76,38,4,130.0,1.5,95,21,14,8,2,2,0,0,-1,-2
44,116,67,33,7,133.0,1.5,105,22,5,3,5,4,-4,-2,-1,-3
45,119,76,38,4,136.0,1.5,95,22,14,8,2,2,9,5,1,-2
46,122,71,35,11,139.0,1.5,105,23,9,5,9,6,0,0,-1,-3
47,125,69,34,9,142.0,2.0,95,23,7,4,7,5,0,0,-1,-4
48,127,81,41,9,145.0,3.0,105,24,19,11,7,5,10,6,1,-3
49,128,76,38,4,148.0,2.0,95,24,14,8,2,2,-5,-3,-1,-4
50,130,79,40,7,151.0,1.5,105,25,17,10,5,4,5,3,1,-3
51,133,76,38,4,154.0,1.5,95,25,14,8,2,2,0,0,-1,-4
52,136,79,40,7,157.0,3.0,105,26,17,10,5,4,8,5,1,-3
53,137,74,37,2,160.0,2.0,95,26,12,7,0,1,-5,-3,-1,-4
54,139,67,33,7,163.0,1.5,105,27,5,3,5,4,-4,-2,-1,-5
55,142,74,37,2,166.0,1.5,95,27,12,7,0,1,-2,-1,1,-4
56,145,81,41,9,169.0,3.0,105,28,19,11,7,5,14,8,1,-3
57,146,76,38,4,172.0,2.0,95,28,14,8,2,2,-5,-3,-1,-4
58,148,79,40,7,175.0,1.5,105,29,17,10,5,4,5,3,1,-3
59,151,76,38,4,178.0,1.5,95,29,14,8,2,2,0,0,-1,-4
60,154,67,33,7,181.0,1.5,105,30,5,3,5,4,-4,-2,-1,-5
61,157,76,38,4,184.0,1.5,95,30,14,8,2,2,9,5,1,-4
62,160,71,35,11,187.0,1.5,105,31,9,5,9,6,0,0,-1,-5
63,163,69,34,9,190.0,2.0,95,31,7,4,7,5,0,0,-1,-6
