,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,69,34,9,2.0,2.0,105,0,7,4,7,5,0,0,0,0
1,5,71,35,11,8.0,4.0,105,1,9,5,9,6,-3,-2,1,1
2,7,73,36,1,14.0,1.0,105,2,11,6,11,7,-3,-2,1,2
3,13,74,37,2,20.0,2.0,105,3,12,7,0,1,5,3,1,3
4,16,69,34,9,26.0,2.0,105,4,7,4,7,5,-12,-7,-1,2
5,19,71,35,11,32.0,4.0,105,5,9,5,9,6,-3,-2,1,3
6,21,73,36,1,38.0,1.0,105,6,11,6,11,7,-3,-2,1,4
7,27,74,37,2,44.0,4.0,105,7,12,7,0,1,5,3,1,5
8,30,69,34,9,50.0,2.0,105,8,7,4,7,5,2,1,-1,4
9,33,71,35,11,56.0,4.0,105,9,9,5,9,6,-3,-2,1,5
10,35,73,36,1,62.0,1.0,105,10,11,6,11,7,-3,-2,1,6
11,41,74,37,2,68.0,2.0,105,11,12,7,0,1,5,3,1,7
12,44,69,34,9,74.0,2.0,105,12,7,4,7,5,-12,-7,-1,6
13,47,71,35,11,80.0,4.0,105,13,9,5,9,6,-3,-2,1,7
14,49,73,36,1,86.0,1.0,105,14,11,6,11,7,-3,-2,1,8
15,55,74,37,2,92.0,4.0,105,15,12,7,0,1,5,3,1,9
16,58,79,40,7,98.0,1.0,105,16,17,10,5,4,1,1,1,10
17,64,78,39,6,104.0,1.0,105,17,16,9,4,3,-1,-1,-1,9
18,70,73,36,1,110.0,1.0,105,18,11,6,11,7,-1,-1,-1,8
19,76,74,37,2,116.0,2.0,105,19,12,7,0,1,1,1,1,9
20,80,79,40,7,122.0,1.0,105,20,17,10,5,4,1,1,1,10
21,86,78,39,6,128.0,1.0,105,21,16,9,4,3,-1,-1,-1,9
22,92,73,36,1,134.0,1.0,105,22,11,6,11,7,-1,-1,-1,8
23,98,74,37,2,140.0,4.0,105,23,12,7,0,1,1,1,1,9
24,101,79,40,7,146.0,1.0,105,24,17,10,5,4,1,1,1,10
25,107,78,39,6,152.0,1.0,105,25,16,9,4,3,-1,-1,-1,9
26,113,73,36,1,158.0,1.0,105,26,11,6,11,7,-1,-1,-1,8
27,119,74,37,2,164.0,2.0,105,27,12,7,0,1,1,1,1,9
28,123,79,40,7,170.0,1.0,105,28,17,10,5,4,1,1,1,10
29,129,78,39,6,176.0,1.0,105,29,16,9,4,3,-1,-1,-1,9
30,135,73,36,1,182.0,1.0,105,30,11,6,11,7,-1,-1,-1,8
31,141,74,37,2,188.0,4.0,105,31,12,7,0,1,1,1,1,9
32,144,69,34,9,194.0,1.0,105,32,7,4,7,5,2,1,-1,8
33,150,73,36,1,200.0,1.0,105,33,11,6,11,7,-1,-1,1,9
34,156,73,36,1,206.0,1.0,105,34,11,6,11,7,-1,-1,0,9
35,162,74,37,2,212.0,1.0,105,35,12,7,0,1,1,1,1,10
36,167,69,34,9,218.0,1.0,105,36,7,4,7,5,-5,-3,-1,9
37,173,73,36,1,224.0,1.0,105,37,11,6,11,7,-1,-1,1,10
38,179,73,36,1,230.0,1.0,105,38,11,6,11,7,-1,-1,0,10
39,185,76,38,4,236.0,2.0,105,39,14,8,2,2,3,2,1,11
40,189,69,34,9,242.0,1.0,105,40,7,4,7,5,2,1,-1,10
41,195,73,36,1,248.0,1.0,105,41,11,6,11,7,-1,-1,1,11
42,201,73,36,1,254.0,1.0,105,42,11,6,11,7,-1,-1,0,11
43,207,74,37,2,260.0,1.0,105,43,12,7,0,1,1,1,1,12
44,212,69,34,9,266.0,1.0,105,44,7,4,7,5,-5,-3,-1,11
45,218,73,36,1,272.0,1.0,105,45,11,6,11,7,-1,-1,1,12
46,224,73,36,1,278.0,1.0,105,46,11,6,11,7,-1,-1,0,12
47,230,76,38,4,284.0,2.0,105,47,14,8,2,2,3,2,1,13
48,234,69,34,9,290.0,2.0,105,48,7,4,7,5,2,1,-1,12
49,239,71,35,11,296.0,2.0,105,49,9,5,9,6,-3,-2,1,13
50,244,78,39,6,302.0,1.0,105,50,16,9,4,3,-1,-1,1,14
51,250,76,38,4,308.0,1.0,105,51,14,8,2,2,3,2,-1,13
52,256,69,34,9,314.0,2.0,105,52,7,4,7,5,3,2,-1,12
53,261,71,35,11,320.0,2.0,105,53,9,5,9,6,-3,-2,1,13
54,266,78,39,6,326.0,1.0,105,54,16,9,4,3,-1,-1,1,14
55,272,76,38,4,332.0,2.0,105,55,14,8,2,2,3,2,-1,13
56,276,69,34,9,338.0,2.0,105,56,7,4,7,5,2,1,-1,12
57,281,71,35,11,344.0,2.0,105,57,9,5,9,6,-3,-2,1,13
58,286,78,39,6,350.0,1.0,105,58,16,9,4,3,-1,-1,1,14
59,292,76,38,4,356.0,1.0,105,59,14,8,2,2,3,2,-1,13
60,298,69,34,9,362.0,2.0,105,60,7,4,7,5,3,2,-1,12
61,303,71,35,11,368.0,2.0,105,61,9,5,9,6,-3,-2,1,13
62,308,78,39,6,374.0,1.0,105,62,16,9,4,3,-1,-1,1,14
63,314,76,38,4,380.0,2.0,105,63,14,8,2,2,3,2,-1,13
