,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,2.0,105,0,2,1,2,2,0,0,0,0
1,3,72,36,0,4.0,1.0,95,0,5,3,5,4,8,5,1,1
2,7,74,37,2,8.0,1.0,105,1,7,4,7,5,0,0,1,2
3,11,72,36,0,12.0,1.0,95,1,5,3,5,4,-2,-1,-1,1
4,15,69,34,9,16.0,2.0,105,2,2,1,2,2,2,1,-1,0
5,18,72,36,0,20.0,1.0,95,2,5,3,5,4,8,5,1,1
6,22,79,40,7,24.0,1.0,105,3,12,7,0,1,0,0,1,2
7,26,76,38,4,28.0,1.0,95,3,9,5,9,6,-3,-2,-1,1
8,30,69,34,9,32.0,2.0,105,4,2,1,2,2,2,1,-1,0
9,33,72,36,0,36.0,1.0,95,4,5,3,5,4,8,5,1,1
10,37,74,37,2,40.0,1.0,105,5,7,4,7,5,0,0,1,2
11,41,72,36,0,44.0,1.0,95,5,5,3,5,4,-2,-1,-1,1
12,45,72,36,0,48.0,1.0,105,6,5,3,5,4,1,1,0,1
13,49,71,35,11,52.0,1.0,95,6,4,2,4,3,-1,-1,-1,0
14,52,71,35,11,56.0,2.0,105,7,4,2,4,3,0,0,0,0
15,54,72,36,0,60.0,1.0,95,7,5,3,5,4,1,1,1,1
16,58,69,34,9,64.0,2.0,105,8,2,1,2,2,2,1,-1,0
17,61,72,36,0,68.0,1.0,95,8,5,3,5,4,8,5,1,1
18,65,74,37,2,72.0,1.0,105,9,7,4,7,5,0,0,1,2
19,69,72,36,0,76.0,1.0,95,9,5,3,5,4,-2,-1,-1,1
20,73,69,34,9,80.0,2.0,105,10,2,1,2,2,2,1,-1,0
21,76,72,36,0,84.0,1.0,95,10,5,3,5,4,8,5,1,1
22,80,79,40,7,88.0,1.0,105,11,12,7,0,1,0,0,1,2
23,84,76,38,4,92.0,1.0,95,11,9,5,9,6,-3,-2,-1,1
24,88,69,34,9,96.0,2.0,105,12,2,1,2,2,2,1,-1,0
25,91,72,36,0,100.0,1.0,95,12,5,3,5,4,8,5,1,1
26,95,74,37,2,104.0,1.0,105,13,7,4,7,5,0,0,1,2
27,99,72,36,0,108.0,1.0,95,13,5,3,5,4,-2,-1,-1,1
28,103,72,36,0,112.0,1.0,105,14,5,3,5,4,1,1,0,1
29,107,71,35,11,116.0,1.0,95,14,4,2,4,3,-1,-1,-1,0
30,110,71,35,11,120.0,2.0,105,15,4,2,4,3,0,0,0,0
31,112,74,37,2,124.0,1.0,95,15,7,4,7,5,-2,-1,1,1
32,116,81,41,9,128.0,2.0,105,16,14,8,2,2,5,3,1,2
33,119,81,41,9,132.0,1.0,95,16,14,8,2,2,5,3,0,2
34,123,81,41,9,136.0,1.0,105,17,14,8,2,2,0,0,0,2
35,127,83,42,11,140.0,1.0,95,17,16,9,4,3,-1,-1,1,3
36,131,81,41,9,144.0,2.0,105,18,14,8,2,2,5,3,-1,2
37,134,81,41,9,148.0,1.0,95,18,14,8,2,2,5,3,0,2
38,138,74,37,2,152.0,1.0,105,19,7,4,7,5,0,0,-1,1
39,142,72,36,0,156.0,1.0,95,19,5,3,5,4,-2,-1,-1,0
40,146,81,41,9,160.0,2.0,105,20,14,8,2,2,2,1,1,1
41,149,81,41,9,164.0,1.0,95,20,14,8,2,2,5,3,0,1
42,153,81,41,9,168.0,1.0,105,21,14,8,2,2,0,0,0,1
43,157,83,42,11,172.0,1.0,95,21,16,9,4,3,-1,-1,1,2
44,161,81,41,9,176.0,1.0,105,22,14,8,2,2,5,3,-1,1
45,165,76,38,4,180.0,1.0,95,22,9,5,9,6,2,1,-1,0
46,169,72,36,0,184.0,2.0,105,23,5,3,5,4,0,0,-1,-1
47,171,74,37,2,188.0,1.0,95,23,7,4,7,5,-2,-1,1,0
48,175,81,41,9,192.0,2.0,105,24,14,8,2,2,5,3,1,1
49,178,81,41,9,196.0,1.0,95,24,14,8,2,2,5,3,0,1
50,182,81,41,9,200.0,1.0,105,25,14,8,2,2,0,0,0,1
51,186,83,42,11,204.0,1.0,95,25,16,9,4,3,-1,-1,1,2
52,190,81,41,9,208.0,2.0,105,26,14,8,2,2,5,3,-1,1
53,193,81,41,9,212.0,1.0,95,26,14,8,2,2,5,3,0,1
54,197,74,37,2,216.0,1.0,105,27,7,4,7,5,0,0,-1,0
55,201,72,36,0,220.0,1.0,95,27,5,3,5,4,-2,-1,-1,-1
56,205,81,41,9,224.0,2.0,105,28,14,8,2,2,2,1,1,0
57,208,81,41,9,228.0,1.0,95,28,14,8,2,2,5,3,0,0
58,212,81,41,9,232.0,1.0,105,29,14,8,2,2,0,0,0,0
59,216,83,42,11,236.0,1.0,95,29,16,9,4,3,-1,-1,1,1
60,220,81,41,9,240.0,1.0,105,30,14,8,2,2,5,3,-1,0
61,224,76,38,4,244.0,1.0,95,30,9,5,9,6,2,1,-1,-1
62,228,72,36,0,248.0,2.0,105,31,5,3,5,4,0,0,-1,-2
63,230,72,36,0,252.0,1.0,95,31,5,3,5,4,1,1,0,-2
