,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,3,62,30,2,3.0,2.0,95,0,0,0,0,1,-7,-4,0,0
2,5,74,37,2,6.0,1.0,105,1,12,7,0,1,1,1,1,1
3,8,69,34,9,9.0,1.0,95,1,7,4,7,5,-5,-3,-1,0
4,11,67,33,7,12.0,1.0,105,2,5,3,5,4,5,3,-1,-1
5,14,69,34,9,15.0,1.0,95,2,7,4,7,5,-2,-1,1,0
6,17,64,31,4,18.0,1.0,105,3,2,1,2,2,2,1,-1,-1
7,20,64,31,4,21.0,1.0,95,3,2,1,2,2,0,0,0,-1
8,23,57,27,9,24.0,1.0,105,4,-5,-3,7,5,-2,-1,-1,-2
9,26,64,31,4,27.0,1.0,95,4,2,1,2,2,2,1,1,-1
10,29,64,31,4,30.0,1.0,105,5,2,1,2,2,2,1,0,-1
11,32,74,37,2,33.0,1.0,95,5,12,7,0,1,5,3,1,0
12,35,71,35,11,36.0,1.0,105,6,9,5,9,6,-2,-1,-1,-1
13,38,69,34,9,39.0,1.0,95,6,7,4,7,5,-2,-1,-1,-2
14,41,64,31,4,42.0,1.0,105,7,2,1,2,2,2,1,-1,-3
15,44,64,31,4,45.0,1.0,95,7,2,1,2,2,0,0,0,-3
16,47,62,30,2,48.0,1.0,105,8,0,0,0,1,3,2,-1,-4
17,50,62,30,2,51.0,2.0,95,8,0,0,0,1,-7,-4,0,-4
18,52,74,37,2,54.0,1.0,105,9,12,7,0,1,1,1,1,-3
19,55,69,34,9,57.0,1.0,95,9,7,4,7,5,-5,-3,-1,-4
20,58,67,33,7,60.0,1.0,105,10,5,3,5,4,5,3,-1,-5
21,61,69,34,9,63.0,1.0,95,10,7,4,7,5,-2,-1,1,-4
22,64,64,31,4,66.0,1.0,105,11,2,1,2,2,2,1,-1,-5
23,67,64,31,4,69.0,1.0,95,11,2,1,2,2,0,0,0,-5
24,70,57,27,9,72.0,1.0,105,12,-5,-3,7,5,-2,-1,-1,-6
25,73,64,31,4,75.0,1.0,95,12,2,1,2,2,2,1,1,-5
26,76,64,31,4,78.0,1.0,105,13,2,1,2,2,2,1,0,-5
27,79,74,37,2,81.0,1.0,95,13,12,7,0,1,5,3,1,-4
28,82,71,35,11,84.0,1.0,105,14,9,5,9,6,-2,-1,-1,-5
29,85,69,34,9,87.0,1.0,95,14,7,4,7,5,-2,-1,-1,-6
30,88,64,31,4,90.0,1.0,105,15,2,1,2,2,2,1,-1,-7
31,91,64,31,4,93.0,1.0,95,15,2,1,2,2,0,0,0,-7
32,94,55,26,7,96.0,1.0,105,16,-7,-4,5,4,-4,-2,-1,-8
33,97,79,40,7,99.0,1.0,95,16,17,10,5,4,0,0,1,-7
34,100,59,28,11,102.0,1.0,105,17,-3,-2,9,6,-17,-10,-1,-8
35,103,78,39,6,105.0,1.0,95,17,16,9,4,3,4,2,1,-7
36,106,71,35,11,108.0,1.0,105,18,9,5,9,6,-3,-2,-1,-8
37,109,69,34,9,111.0,1.0,95,18,7,4,7,5,-2,-1,-1,-9
38,112,64,31,4,114.0,1.0,105,19,2,1,2,2,2,1,-1,-10
39,115,64,31,4,117.0,1.0,95,19,2,1,2,2,0,0,0,-10
40,118,57,27,9,120.0,1.0,105,20,-5,-3,7,5,-2,-1,-1,-11
41,121,64,31,4,123.0,1.0,95,20,2,1,2,2,2,1,1,-10
42,124,64,31,4,126.0,1.0,105,21,2,1,2,2,2,1,0,-10
43,127,74,37,2,129.0,1.0,95,21,12,7,0,1,5,3,1,-9
44,130,71,35,11,132.0,1.0,105,22,9,5,9,6,-2,-1,-1,-10
45,133,69,34,9,135.0,1.0,95,22,7,4,7,5,-2,-1,-1,-11
46,136,64,31,4,138.0,1.0,105,23,2,1,2,2,2,1,-1,-12
47,139,64,31,4,141.0,1.0,95,23,2,1,2,2,0,0,0,-12
48,142,55,26,7,144.0,1.0,105,24,-7,-4,5,4,-4,-2,-1,-13
49,145,79,40,7,147.0,1.0,95,24,17,10,5,4,0,0,1,-12
50,148,59,28,11,150.0,1.0,105,25,-3,-2,9,6,-17,-10,-1,-13
51,151,78,39,6,153.0,1.0,95,25,16,9,4,3,4,2,1,-12
52,154,71,35,11,156.0,1.0,105,26,9,5,9,6,-3,-2,-1,-13
53,157,69,34,9,159.0,1.0,95,26,7,4,7,5,-2,-1,-1,-14
54,160,64,31,4,162.0,1.0,105,27,2,1,2,2,2,1,-1,-15
55,163,64,31,4,165.0,1.0,95,27,2,1,2,2,0,0,0,-15
56,166,57,27,9,168.0,1.0,105,28,-5,-3,7,5,-2,-1,-1,-16
57,169,64,31,4,171.0,1.0,95,28,2,1,2,2,2,1,1,-15
58,172,64,31,4,174.0,1.0,105,29,2,1,2,2,2,1,0,-15
59,175,74,37,2,177.0,1.0,95,29,12,7,0,1,5,3,1,-14
60,178,71,35,11,180.0,1.0,105,30,9,5,9,6,-2,-1,-1,-15
61,181,69,34,9,183.0,1.0,95,30,7,4,7,5,-2,-1,-1,-16
62,184,64,31,4,186.0,1.0,105,31,2,1,2,2,2,1,-1,-17
63,187,64,31,4,189.0,1.0,95,31,2,1,2,2,0,0,0,-17
