,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,79,40,7,0.0,1.0,105,0,15,9,3,3,0,0,0,0
1,5,78,39,6,3.0,1.0,95,0,14,8,2,2,-1,-1,-1,-1
2,8,71,35,11,6.0,1.0,105,1,7,4,7,5,-3,-2,-1,-2
3,11,67,33,7,9.0,1.0,95,1,3,2,3,3,1,1,-1,-3
4,14,66,32,6,12.0,1.0,105,2,2,1,2,2,2,1,-1,-4
5,17,66,32,6,15.0,1.0,95,2,2,1,2,2,4,2,0,-4
6,20,71,35,11,18.0,1.0,105,3,7,4,7,5,2,1,1,-3
7,23,67,33,7,21.0,1.0,95,3,3,2,3,3,-4,-2,-1,-4
8,26,79,40,7,24.0,2.0,105,4,15,9,3,3,15,9,1,-3
9,28,78,39,6,27.0,1.0,95,4,14,8,2,2,2,1,-1,-4
10,31,71,35,11,30.0,1.0,105,5,7,4,7,5,-3,-2,-1,-5
11,34,67,33,7,33.0,1.0,95,5,3,2,3,3,1,1,-1,-6
12,37,66,32,6,36.0,1.0,105,6,2,1,2,2,2,1,-1,-7
13,40,66,32,6,39.0,1.0,95,6,2,1,2,2,4,2,0,-7
14,43,67,33,7,42.0,1.0,105,7,3,2,3,3,-2,-1,1,-6
15,46,64,31,4,45.0,3.0,95,7,0,0,0,1,2,1,-1,-7
16,47,79,40,7,48.0,1.0,105,8,15,9,3,3,15,9,1,-6
17,52,78,39,6,51.0,1.0,95,8,14,8,2,2,-1,-1,-1,-7
18,55,71,35,11,54.0,1.0,105,9,7,4,7,5,-3,-2,-1,-8
19,58,67,33,7,57.0,1.0,95,9,3,2,3,3,1,1,-1,-9
20,61,66,32,6,60.0,1.0,105,10,2,1,2,2,2,1,-1,-10
21,64,66,32,6,63.0,1.0,95,10,2,1,2,2,4,2,0,-10
22,67,71,35,11,66.0,1.0,105,11,7,4,7,5,2,1,1,-9
23,70,67,33,7,69.0,1.0,95,11,3,2,3,3,-4,-2,-1,-10
24,73,79,40,7,72.0,2.0,105,12,15,9,3,3,15,9,1,-9
25,75,78,39,6,75.0,1.0,95,12,14,8,2,2,2,1,-1,-10
26,78,71,35,11,78.0,1.0,105,13,7,4,7,5,-3,-2,-1,-11
27,81,67,33,7,81.0,1.0,95,13,3,2,3,3,1,1,-1,-12
28,84,66,32,6,84.0,1.0,105,14,2,1,2,2,2,1,-1,-13
29,87,66,32,6,87.0,1.0,95,14,2,1,2,2,4,2,0,-13
30,90,67,33,7,90.0,1.0,105,15,3,2,3,3,-2,-1,1,-12
31,93,64,31,4,93.0,2.0,95,15,0,0,0,1,2,1,-1,-13
32,95,76,38,4,96.0,1.0,105,16,12,7,0,1,5,3,1,-12
33,100,79,40,7,99.0,1.0,95,16,15,9,3,3,3,2,1,-11
34,103,76,38,4,102.0,1.0,105,17,12,7,0,1,5,3,-1,-12
35,108,79,40,7,105.0,1.0,95,17,15,9,3,3,3,2,1,-11
36,111,81,41,9,108.0,1.0,105,18,17,10,5,4,-2,-1,1,-10
37,114,74,37,2,111.0,1.0,95,18,10,6,10,7,0,0,-1,-11
38,117,62,30,2,114.0,1.0,105,19,-2,-1,10,7,-4,-2,-1,-12
39,120,74,37,2,117.0,2.0,95,19,10,6,10,7,5,3,1,-11
40,122,72,36,0,120.0,1.0,105,20,8,5,8,6,1,1,-1,-12
41,125,74,37,2,123.0,1.0,95,20,10,6,10,7,2,1,1,-11
42,128,76,38,4,126.0,1.0,105,21,12,7,0,1,2,1,1,-10
43,131,79,40,7,129.0,2.0,95,21,15,9,3,3,3,2,1,-9
44,133,74,37,2,132.0,1.0,105,22,10,6,10,7,-2,-1,-1,-10
45,136,67,33,7,135.0,1.0,95,22,3,2,3,3,-2,-1,-1,-11
46,139,64,31,4,138.0,1.0,105,23,0,0,0,1,2,1,-1,-12
47,142,64,31,4,141.0,2.0,95,23,0,0,0,1,2,1,0,-12
48,144,76,38,4,144.0,1.0,105,24,12,7,0,1,5,3,1,-11
49,149,79,40,7,147.0,1.0,95,24,15,9,3,3,3,2,1,-10
50,152,76,38,4,150.0,1.0,105,25,12,7,0,1,5,3,-1,-11
51,157,79,40,7,153.0,1.0,95,25,15,9,3,3,3,2,1,-10
52,160,81,41,9,156.0,1.0,105,26,17,10,5,4,-2,-1,1,-9
53,163,74,37,2,159.0,1.0,95,26,10,6,10,7,0,0,-1,-10
54,166,62,30,2,162.0,1.0,105,27,-2,-1,10,7,-4,-2,-1,-11
55,169,74,37,2,165.0,2.0,95,27,10,6,10,7,5,3,1,-10
56,171,72,36,0,168.0,1.0,105,28,8,5,8,6,1,1,-1,-11
57,174,74,37,2,171.0,1.0,95,28,10,6,10,7,2,1,1,-10
58,177,76,38,4,174.0,1.0,105,29,12,7,0,1,2,1,1,-9
59,180,79,40,7,177.0,2.0,95,29,15,9,3,3,3,2,1,-8
60,182,74,37,2,180.0,1.0,105,30,10,6,10,7,-2,-1,-1,-9
61,185,67,33,7,183.0,1.0,95,30,3,2,3,3,-2,-1,-1,-10
62,188,64,31,4,186.0,1.0,105,31,0,0,0,1,2,1,-1,-11
63,191,64,31,4,189.0,3.0,95,31,0,0,0,1,2,1,0,-11
