,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,55,26,7,1.0,1.5,105,0,-12,-7,0,1,0,0,0,0
1,5,62,30,2,4.0,1.0,95,0,-5,-3,7,5,0,0,1,1
2,8,64,31,4,7.0,1.0,105,1,-3,-2,9,6,2,1,1,2
3,11,67,33,7,10.0,2.0,95,1,0,0,0,1,3,2,1,3
4,13,71,35,11,13.0,2.0,105,2,4,2,4,3,2,1,1,4
5,15,72,36,0,16.0,2.0,95,2,5,3,5,4,5,3,1,5
6,17,69,34,9,19.0,1.0,105,3,2,1,2,2,-2,-1,-1,4
7,20,57,27,9,22.0,2.0,95,3,-10,-6,2,2,0,0,-1,3
8,23,55,26,7,25.0,1.5,105,4,-12,-7,0,1,-2,-1,-1,2
9,26,62,30,2,28.0,1.0,95,4,-5,-3,7,5,0,0,1,3
10,29,64,31,4,31.0,1.0,105,5,-3,-2,9,6,2,1,1,4
11,32,67,33,7,34.0,2.0,95,5,0,0,0,1,3,2,1,5
12,34,71,35,11,37.0,2.0,105,6,4,2,4,3,2,1,1,6
13,36,72,36,0,40.0,2.0,95,6,5,3,5,4,5,3,1,7
14,38,71,35,11,43.0,1.0,105,7,4,2,4,3,2,1,-1,6
15,41,67,33,7,46.0,2.0,95,7,0,0,0,1,0,0,-1,5
16,44,55,26,7,49.0,1.5,105,8,-12,-7,0,1,-2,-1,-1,4
17,47,62,30,2,52.0,1.0,95,8,-5,-3,7,5,0,0,1,5
18,50,64,31,4,55.0,1.0,105,9,-3,-2,9,6,2,1,1,6
19,53,67,33,7,58.0,2.0,95,9,0,0,0,1,3,2,1,7
20,55,71,35,11,61.0,2.0,105,10,4,2,4,3,2,1,1,8
21,57,72,36,0,64.0,2.0,95,10,5,3,5,4,5,3,1,9
22,59,69,34,9,67.0,1.0,105,11,2,1,2,2,-2,-1,-1,8
23,62,57,27,9,70.0,2.0,95,11,-10,-6,2,2,0,0,-1,7
24,65,55,26,7,73.0,1.5,105,12,-12,-7,0,1,-2,-1,-1,6
25,68,62,30,2,76.0,1.0,95,12,-5,-3,7,5,0,0,1,7
26,71,64,31,4,79.0,1.0,105,13,-3,-2,9,6,2,1,1,8
27,74,67,33,7,82.0,2.0,95,13,0,0,0,1,3,2,1,9
28,76,71,35,11,85.0,2.0,105,14,4,2,4,3,2,1,1,10
29,78,72,36,0,88.0,2.0,95,14,5,3,5,4,5,3,1,11
30,80,71,35,11,91.0,1.0,105,15,4,2,4,3,2,1,-1,10
31,83,67,33,7,94.0,2.0,95,15,0,0,0,1,0,0,-1,9
32,86,74,37,2,97.0,1.5,105,16,7,4,7,5,2,1,1,10
33,89,74,37,2,100.0,1.0,95,16,7,4,7,5,0,0,0,10
34,92,79,40,7,103.0,1.0,105,17,12,7,0,1,5,3,1,11
35,95,74,37,2,106.0,1.0,95,17,7,4,7,5,-2,-1,-1,10
36,98,72,36,0,109.0,0.5,105,18,5,3,5,4,5,3,-1,9
37,102,74,37,2,112.0,1.0,95,18,7,4,7,5,2,1,1,10
38,105,66,32,6,115.0,1.0,105,19,-1,-1,11,7,-1,-1,-1,9
39,108,69,34,9,118.0,2.0,95,19,2,1,2,2,0,0,1,10
40,111,74,37,2,121.0,1.5,105,20,7,4,7,5,2,1,1,11
41,114,74,37,2,124.0,1.0,95,20,7,4,7,5,0,0,0,11
42,117,79,40,7,127.0,1.0,105,21,12,7,0,1,5,3,1,12
43,120,74,37,2,130.0,1.0,95,21,7,4,7,5,-2,-1,-1,11
44,123,72,36,0,133.0,1.0,105,22,5,3,5,4,5,3,-1,10
45,126,69,34,9,136.0,1.0,95,22,2,1,2,2,-3,-2,-1,9
46,129,71,35,11,139.0,1.0,105,23,4,2,4,3,-1,-1,1,10
47,132,67,33,7,142.0,2.0,95,23,0,0,0,1,0,0,-1,9
48,135,74,37,2,145.0,1.5,105,24,7,4,7,5,2,1,1,10
49,138,74,37,2,148.0,1.0,95,24,7,4,7,5,0,0,0,10
50,141,79,40,7,151.0,1.0,105,25,12,7,0,1,5,3,1,11
51,144,74,37,2,154.0,1.0,95,25,7,4,7,5,-2,-1,-1,10
52,147,72,36,0,157.0,0.5,105,26,5,3,5,4,5,3,-1,9
53,151,74,37,2,160.0,1.0,95,26,7,4,7,5,2,1,1,10
54,154,66,32,6,163.0,1.0,105,27,-1,-1,11,7,-1,-1,-1,9
55,157,69,34,9,166.0,2.0,95,27,2,1,2,2,0,0,1,10
56,160,74,37,2,169.0,1.5,105,28,7,4,7,5,2,1,1,11
57,163,74,37,2,172.0,1.0,95,28,7,4,7,5,0,0,0,11
58,166,79,40,7,175.0,1.0,105,29,12,7,0,1,5,3,1,12
59,169,74,37,2,178.0,1.0,95,29,7,4,7,5,-2,-1,-1,11
60,172,72,36,0,181.0,1.0,105,30,5,3,5,4,5,3,-1,10
61,175,69,34,9,184.0,1.0,95,30,2,1,2,2,-3,-2,-1,9
62,178,71,35,11,187.0,1.0,105,31,4,2,4,3,-1,-1,1,10
63,181,67,33,7,190.0,2.0,95,31,0,0,0,1,0,0,-1,9
