,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,76,38,4,0.0,1.0,105,0,14,8,2,2,0,0,0,0
1,4,79,40,7,4.0,1.0,95,0,17,10,5,4,1,1,1,1
2,8,74,37,2,8.0,1.0,105,1,12,7,0,1,-2,-1,-1,0
3,12,71,35,11,12.0,1.0,95,1,9,5,9,6,4,2,-1,-1
4,16,76,38,4,16.0,1.0,105,2,14,8,2,2,-2,-1,1,0
5,20,79,40,7,20.0,1.0,95,2,17,10,5,4,1,1,1,1
6,24,81,41,9,24.0,1.0,105,3,19,11,7,5,5,3,1,2
7,28,73,36,1,28.0,1.0,95,3,11,6,11,7,-1,-1,-1,1
8,31,76,38,4,32.0,1.0,105,4,14,8,2,2,7,4,1,2
9,35,79,40,7,36.0,1.0,95,4,17,10,5,4,1,1,1,3
10,39,74,37,2,40.0,1.0,105,5,12,7,0,1,-2,-1,-1,2
11,43,71,35,11,44.0,1.0,95,5,9,5,9,6,4,2,-1,1
12,47,76,38,4,48.0,1.0,105,6,14,8,2,2,-2,-1,1,2
13,51,79,40,7,52.0,1.0,95,6,17,10,5,4,1,1,1,3
14,55,81,41,9,56.0,1.0,105,7,19,11,7,5,5,3,1,4
15,59,73,36,1,60.0,1.0,95,7,11,6,11,7,-1,-1,-1,3
16,62,76,38,4,64.0,1.0,105,8,14,8,2,2,7,4,1,4
17,66,76,38,4,68.0,1.0,95,8,14,8,2,2,7,4,0,4
18,70,74,37,2,72.0,1.0,105,9,12,7,0,1,5,3,-1,3
19,74,71,35,11,76.0,1.0,95,9,9,5,9,6,4,2,-1,2
20,78,76,38,4,80.0,1.0,105,10,14,8,2,2,-2,-1,1,3
21,82,76,38,4,84.0,1.0,95,10,14,8,2,2,7,4,0,3
22,86,78,39,6,88.0,1.0,105,11,16,9,4,3,2,1,1,4
23,90,73,36,1,92.0,1.0,95,11,11,6,11,7,-1,-1,-1,3
24,93,76,38,4,96.0,1.0,105,12,14,8,2,2,7,4,1,4
25,97,76,38,4,100.0,1.0,95,12,14,8,2,2,7,4,0,4
26,101,74,37,2,104.0,1.0,105,13,12,7,0,1,5,3,-1,3
27,105,71,35,11,108.0,1.0,95,13,9,5,9,6,4,2,-1,2
28,109,76,38,4,112.0,1.0,105,14,14,8,2,2,-2,-1,1,3
29,113,76,38,4,116.0,1.0,95,14,14,8,2,2,7,4,0,3
30,117,78,39,6,120.0,1.0,105,15,16,9,4,3,2,1,1,4
31,121,73,36,1,124.0,1.0,95,15,11,6,11,7,-1,-1,-1,3
